level,M,N,seed,editDistance
3,14,2,1011452233,5
3,14,2,1013002884,5
3,14,2,101645736,5
3,14,2,1025713346,5
3,14,2,1031698967,5
3,14,2,1031948134,5
3,14,2,103208195,5
3,14,2,103551481,5
3,14,2,1037600303,5
3,14,2,1037728321,5
3,14,2,1043693262,5
3,14,2,1053081626,5
3,14,2,1055072269,5
3,14,2,1059344023,9
3,14,2,1060068817,5
3,14,2,1062992412,5
3,14,2,1065869120,5
3,14,2,1070008819,5
3,14,2,1075331119,5
3,14,2,1078288371,5
3,14,2,1080304154,5
3,14,2,1088462456,5
3,14,2,1089396935,5
3,14,2,1090143313,5
3,14,2,1091763610,5
3,14,2,1094079358,5
3,14,2,109571725,5
3,14,2,1095846982,5
3,14,2,1098662423,9
3,14,2,1104166513,5
3,14,2,1111503713,5
3,14,2,1111815082,5
3,14,2,1116276044,5
3,14,2,1125541963,5
3,14,2,1132858974,5
3,14,2,1133292245,5
3,14,2,1134548914,5
3,14,2,1143646614,5
3,14,2,1145917352,5
3,14,2,1150410646,5
3,14,2,1158033292,1
3,14,2,1164150098,5
3,14,2,1169972540,5
3,14,2,1180732395,5
3,14,2,1182818789,5
3,14,2,1187424872,5
3,14,2,1187683104,5
3,14,2,12164155,5
3,14,2,1217283714,5
3,14,2,1224375700,5
3,14,2,1225679041,5
3,14,2,1227135224,5
3,14,2,1229008243,5
3,14,2,1230781829,5
3,14,2,1231778164,1
3,14,2,1240015804,9
3,14,2,1246951865,1
3,14,2,1247252526,5
3,14,2,1247401438,5
3,14,2,1249599550,5
3,14,2,1255725682,5
3,14,2,1256907556,5
3,14,2,1258675632,5
3,14,2,1258943765,5
3,14,2,1260402554,5
3,14,2,1260624231,5
3,14,2,1264097119,5
3,14,2,1273458942,5
3,14,2,1275489120,5
3,14,2,1283499611,9
3,14,2,1292500771,9
3,14,2,1304664361,5
3,14,2,1305462501,5
3,14,2,1308374254,5
3,14,2,1308898267,5
3,14,2,1312180599,5
3,14,2,1315956059,5
3,14,2,1319619155,5
3,14,2,1328762689,9
3,14,2,1330703127,5
3,14,2,1332489882,5
3,14,2,1333200975,5
3,14,2,1340508834,5
3,14,2,13405155,5
3,14,2,1343083011,5
3,14,2,1344005727,9
3,14,2,1349740694,5
3,14,2,1351688435,5
3,14,2,1368329565,5
3,14,2,1372346925,5
3,14,2,1374978215,9
3,14,2,1378366722,5
3,14,2,1381800198,5
3,14,2,1385333235,5
3,14,2,1388855356,9
3,14,2,1398622955,5
3,14,2,1408190920,9
3,14,2,1411670137,5
3,14,2,1419287359,1
3,14,2,1421829160,5
3,14,2,1434896325,9
3,14,2,1439910280,5
3,14,2,1446742139,5
3,14,2,1449318608,5
3,14,2,145023279,5
3,14,2,1454675611,5
3,14,2,1459255644,5
3,14,2,1469298070,5
3,14,2,147306252,5
3,14,2,1479517357,5
3,14,2,1482100323,5
3,14,2,1482509233,5
3,14,2,1485654606,5
3,14,2,1487118083,5
3,14,2,1487862317,5
3,14,2,1493307631,5
3,14,2,149352879,5
3,14,2,1495759909,5
3,14,2,1497162935,5
3,14,2,1497374804,5
3,14,2,1501822685,9
3,14,2,1506053049,5
3,14,2,1506982973,5
3,14,2,1510786878,5
3,14,2,1515524644,5
3,14,2,152704109,5
3,14,2,1533174433,9
3,14,2,1535058324,5
3,14,2,1537287229,5
3,14,2,1539542638,5
3,14,2,1540818842,5
3,14,2,154242998,9
3,14,2,1545232594,5
3,14,2,1545575539,5
3,14,2,1547495970,9
3,14,2,1551168816,5
3,14,2,1552109887,5
3,14,2,1556803224,9
3,14,2,1562545421,5
3,14,2,1564011684,9
3,14,2,1565414900,5
3,14,2,1566068236,5
3,14,2,1569038273,5
3,14,2,1571312834,5
3,14,2,157151746,5
3,14,2,1579662112,5
3,14,2,1584589293,5
3,14,2,1592941249,1
3,14,2,15982797,5
3,14,2,1599934545,9
3,14,2,16023602,9
3,14,2,1604164941,5
3,14,2,1604215385,5
3,14,2,1613636364,5
3,14,2,1615826616,5
3,14,2,1616068711,5
3,14,2,1619615978,5
3,14,2,1621018676,5
3,14,2,1621212701,5
3,14,2,1624343012,5
3,14,2,1624514059,5
3,14,2,1627606993,1
3,14,2,1628639025,5
3,14,2,1637505314,5
3,14,2,164284968,5
3,14,2,164856797,5
3,14,2,1650076632,5
3,14,2,1661201091,5
3,14,2,1661319475,9
3,14,2,1670111726,5
3,14,2,1671253439,9
3,14,2,1672039145,5
3,14,2,1673423428,5
3,14,2,1674565821,5
3,14,2,1675519950,1
3,14,2,1683821180,5
3,14,2,1688657448,5
3,14,2,1691734425,5
3,14,2,1693007044,5
3,14,2,1695859671,5
3,14,2,1703009547,5
3,14,2,1706020136,5
3,14,2,1716621437,5
3,14,2,1742356752,5
3,14,2,1746291146,5
3,14,2,1748866125,5
3,14,2,1763464717,5
3,14,2,1771844989,5
3,14,2,177193494,5
3,14,2,1773578516,5
3,14,2,1774356036,5
3,14,2,1777080043,5
3,14,2,1777215635,5
3,14,2,1791542201,5
3,14,2,1794353682,5
3,14,2,1796627610,5
3,14,2,1797305159,5
3,14,2,1801855087,5
3,14,2,1806806384,5
3,14,2,1811298010,5
3,14,2,1814987841,5
3,14,2,1819519695,5
3,14,2,1820254799,9
3,14,2,1832271686,5
3,14,2,1840038591,5
3,14,2,1842512894,5
3,14,2,1844342918,5
3,14,2,1847509260,5
3,14,2,1852556941,5
3,14,2,1852944346,5
3,14,2,1863475502,5
3,14,2,1863871390,5
3,14,2,1867516586,5
3,14,2,1881680104,5
3,14,2,1883430654,5
3,14,2,1884076051,5
3,14,2,1885211463,5
3,14,2,1886193386,5
3,14,2,1894031358,9
3,14,2,190348505,5
3,14,2,1907053487,5
3,14,2,1910874322,5
3,14,2,1917017332,9
3,14,2,1917684429,13
3,14,2,1919050116,5
3,14,2,192508148,5
3,14,2,1927468778,5
3,14,2,1927513683,5
3,14,2,1929380163,5
3,14,2,1930422326,1
3,14,2,1930998200,9
3,14,2,1944800355,9
3,14,2,1947726166,5
3,14,2,1950094253,9
3,14,2,1950326017,5
3,14,2,1951563856,5
3,14,2,1967870779,5
3,14,2,1975273049,5
3,14,2,1981303419,5
3,14,2,1982813788,5
3,14,2,1986744598,9
3,14,2,1996394921,5
3,14,2,1997910944,5
3,14,2,1999772539,5
3,14,2,2005687185,5
3,14,2,20086588,5
3,14,2,2011303117,5
3,14,2,2014485038,5
3,14,2,2015599975,5
3,14,2,2018923284,5
3,14,2,2021280836,5
3,14,2,2025698912,5
3,14,2,204320891,5
3,14,2,2043747421,5
3,14,2,2046072780,5
3,14,2,2047327095,5
3,14,2,2047753023,5
3,14,2,2053629357,5
3,14,2,2056726705,5
3,14,2,2057734960,5
3,14,2,2080621705,5
3,14,2,2086939468,5
3,14,2,2092563425,5
3,14,2,2094793857,9
3,14,2,2100154011,5
3,14,2,2103086606,5
3,14,2,2103902085,5
3,14,2,2110920366,5
3,14,2,211547468,5
3,14,2,2121400050,5
3,14,2,2121750515,5
3,14,2,2123093246,5
3,14,2,2124767694,5
3,14,2,2125749205,5
3,14,2,2126148337,9
3,14,2,2135271099,5
3,14,2,2136344075,5
3,14,2,2138761453,5
3,14,2,218104654,5
3,14,2,220474024,5
3,14,2,222330894,5
3,14,2,224022510,5
3,14,2,22611981,5
3,14,2,227421027,5
3,14,2,228505958,5
3,14,2,23109902,5
3,14,2,23114266,5
3,14,2,2323238,5
3,14,2,232494974,5
3,14,2,236557848,5
3,14,2,246494258,5
3,14,2,249487984,5
3,14,2,250089744,5
3,14,2,253791879,5
3,14,2,257648435,5
3,14,2,258759295,5
3,14,2,269676807,5
3,14,2,278516090,5
3,14,2,279087982,5
3,14,2,281857769,5
3,14,2,285279396,5
3,14,2,292770954,5
3,14,2,294301172,5
3,14,2,295004022,5
3,14,2,298443117,5
3,14,2,301600086,5
3,14,2,303788122,5
3,14,2,317569325,5
3,14,2,317881392,5
3,14,2,326852910,9
3,14,2,332088292,5
3,14,2,339055565,5
3,14,2,339164558,5
3,14,2,345146193,5
3,14,2,345453888,5
3,14,2,346519984,5
3,14,2,354262390,9
3,14,2,355565679,5
3,14,2,357131661,5
3,14,2,364278672,5
3,14,2,37150657,5
3,14,2,379149079,5
3,14,2,385662187,5
3,14,2,388095122,9
3,14,2,389829165,5
3,14,2,392278516,5
3,14,2,394916340,5
3,14,2,39523990,5
3,14,2,395279394,9
3,14,2,400947222,5
3,14,2,406015690,5
3,14,2,41011893,5
3,14,2,410127899,5
3,14,2,429740917,5
3,14,2,438794215,5
3,14,2,439059794,1
3,14,2,448145253,5
3,14,2,462227506,5
3,14,2,467529796,9
3,14,2,471059455,5
3,14,2,472306993,5
3,14,2,4778056,5
3,14,2,479755585,9
3,14,2,48108694,5
3,14,2,481201029,5
3,14,2,48442921,5
3,14,2,486489544,5
3,14,2,487545752,5
3,14,2,488707667,5
3,14,2,489045873,1
3,14,2,491052100,5
3,14,2,499654975,9
3,14,2,499911129,5
3,14,2,503259418,5
