level,M,N,seed,editDistance
1,4,4,1001641798,208
1,4,4,1004306364,279
1,4,4,1010978582,203
1,4,4,1022846210,260
1,4,4,1023722256,205
1,4,4,1033480057,194
1,4,4,1036474372,225
1,4,4,1037401273,207
1,4,4,1038218488,252
1,4,4,1038240813,236
1,4,4,1041135095,240
1,4,4,1052850471,217
1,4,4,1053293722,204
1,4,4,1059209602,213
1,4,4,1061751410,240
1,4,4,1062255042,219
1,4,4,1064032374,148
1,4,4,1064486697,238
1,4,4,106587538,208
1,4,4,1068183337,229
1,4,4,1082073250,219
1,4,4,1083026305,236
1,4,4,1093253708,204
1,4,4,1094988923,211
1,4,4,1096341932,277
1,4,4,1099891794,221
1,4,4,1108994755,206
1,4,4,1116182691,215
1,4,4,1121515410,212
1,4,4,112743658,246
1,4,4,1128081783,213
1,4,4,1130403943,218
1,4,4,1135500214,208
1,4,4,1138184120,196
1,4,4,1139765352,218
1,4,4,1142181782,231
1,4,4,1154008721,218
1,4,4,1157790512,225
1,4,4,1161547704,216
1,4,4,1164368824,234
1,4,4,1174427787,230
1,4,4,1174462524,208
1,4,4,1175519146,234
1,4,4,1182202028,223
1,4,4,1182440019,237
1,4,4,1201170237,233
1,4,4,1201565253,224
1,4,4,1211334439,241
1,4,4,1218616460,236
1,4,4,1218917431,220
1,4,4,1222143675,217
1,4,4,1223901321,199
1,4,4,1226275373,206
1,4,4,1226979448,206
1,4,4,1233913320,233
1,4,4,1237131333,209
1,4,4,1239558035,235
1,4,4,1244728759,242
1,4,4,1246105016,202
1,4,4,124711068,254
1,4,4,1250181728,222
1,4,4,1270720746,226
1,4,4,1288215810,208
1,4,4,1288751559,258
1,4,4,1292333361,225
1,4,4,1292918822,216
1,4,4,1293461712,256
1,4,4,1300823014,203
1,4,4,1304407919,225
1,4,4,1305376595,215
1,4,4,1310759371,256
1,4,4,1315379481,204
1,4,4,1315459146,282
1,4,4,1317062028,198
1,4,4,1317484954,205
1,4,4,1318180947,231
1,4,4,1318721770,210
1,4,4,1319364568,212
1,4,4,1320567837,242
1,4,4,1326000153,217
1,4,4,1336493410,203
1,4,4,1337026208,216
1,4,4,1341796865,190
1,4,4,1348972292,212
1,4,4,1351344834,220
1,4,4,1354571885,238
1,4,4,1355696803,204
1,4,4,1356823191,246
1,4,4,1360479120,227
1,4,4,1360595726,246
1,4,4,1367920983,262
1,4,4,1370452686,223
1,4,4,1371795951,252
1,4,4,137493304,215
1,4,4,1375056305,242
1,4,4,1380206301,235
1,4,4,138257890,215
1,4,4,1390070123,228
1,4,4,1397766369,220
1,4,4,1409932949,239
1,4,4,1410120414,216
1,4,4,1411552849,234
1,4,4,1411736710,277
1,4,4,1411740561,228
1,4,4,1412314167,241
1,4,4,1414909128,219
1,4,4,1415951383,220
1,4,4,1417221407,227
1,4,4,1417484602,215
1,4,4,1420211928,232
1,4,4,1423060993,220
1,4,4,1423682194,195
1,4,4,1424869980,216
1,4,4,142497295,198
1,4,4,1430247905,177
1,4,4,1431277483,206
1,4,4,1440176088,233
1,4,4,1444118058,220
1,4,4,1453438136,234
1,4,4,1457672976,226
1,4,4,1459827370,187
1,4,4,1460988487,222
1,4,4,1461249056,208
1,4,4,1480296753,224
1,4,4,1483337579,249
1,4,4,1486300823,218
1,4,4,1497824864,233
1,4,4,1504225597,250
1,4,4,1504822265,216
1,4,4,150604100,239
1,4,4,1507258094,217
1,4,4,1509632501,233
1,4,4,1512170075,221
1,4,4,1513047029,237
1,4,4,1518358220,222
1,4,4,1518938308,210
1,4,4,1523850398,214
1,4,4,152517913,233
1,4,4,1526915281,230
1,4,4,1529081495,184
1,4,4,1531151360,241
1,4,4,1533832136,234
1,4,4,1536985943,247
1,4,4,1540822946,212
1,4,4,1542757796,236
1,4,4,1544125195,254
1,4,4,1548060002,204
1,4,4,1550570586,243
1,4,4,1554121271,220
1,4,4,1554856959,233
1,4,4,1558458571,211
1,4,4,1558620065,217
1,4,4,1558744933,228
1,4,4,1560665819,235
1,4,4,1563161544,251
1,4,4,1566290996,225
1,4,4,1567196103,183
1,4,4,1570020736,212
1,4,4,1574474500,224
1,4,4,15748236,219
1,4,4,158096177,225
1,4,4,1588781947,163
1,4,4,1592441808,217
1,4,4,1603146689,211
1,4,4,1603190713,213
1,4,4,160467324,225
1,4,4,1607319672,238
1,4,4,1620304846,189
1,4,4,1626218762,248
