level,M,N,seed,editDistance
1,1,16,1001641798,237
1,1,16,1004306364,262
1,1,16,1010978582,225
1,1,16,1022846210,247
1,1,16,1023722256,224
1,1,16,1033480057,260
1,1,16,1036474372,239
1,1,16,1037401273,242
1,1,16,1038218488,233
1,1,16,1038240813,248
1,1,16,1041135095,228
1,1,16,1052850471,250
1,1,16,1053293722,254
1,1,16,1059209602,224
1,1,16,1061751410,254
1,1,16,1062255042,255
1,1,16,1064032374,233
1,1,16,1064486697,235
1,1,16,106587538,258
1,1,16,1068183337,247
1,1,16,1082073250,254
1,1,16,1083026305,241
1,1,16,1093253708,250
1,1,16,1094988923,239
1,1,16,1096341932,243
1,1,16,1099891794,244
1,1,16,1108994755,252
1,1,16,1116182691,251
1,1,16,1121515410,260
1,1,16,112743658,250
1,1,16,1128081783,243
1,1,16,1130403943,237
1,1,16,1135500214,254
1,1,16,1138184120,238
1,1,16,1139765352,248
1,1,16,1142181782,252
1,1,16,1154008721,246
1,1,16,1157790512,253
1,1,16,1161547704,244
1,1,16,1164368824,260
1,1,16,1174427787,252
1,1,16,1174462524,256
1,1,16,1175519146,240
1,1,16,1182202028,248
1,1,16,1182440019,233
1,1,16,1201170237,243
1,1,16,1201565253,243
1,1,16,1211334439,241
1,1,16,1218616460,264
1,1,16,1218917431,243
1,1,16,1222143675,255
1,1,16,1223901321,228
1,1,16,1226275373,253
1,1,16,1226979448,259
1,1,16,1233913320,258
1,1,16,1237131333,249
1,1,16,1239558035,241
1,1,16,1244728759,260
1,1,16,1246105016,230
1,1,16,124711068,254
1,1,16,1250181728,237
1,1,16,1270720746,240
1,1,16,1288215810,241
1,1,16,1288751559,248
1,1,16,1292333361,255
1,1,16,1292918822,247
1,1,16,1293461712,245
1,1,16,1300823014,238
1,1,16,1304407919,226
1,1,16,1305376595,240
1,1,16,1310759371,253
1,1,16,1315379481,227
1,1,16,1315459146,279
1,1,16,1317062028,236
1,1,16,1317484954,236
1,1,16,1318180947,240
1,1,16,1318721770,254
1,1,16,1319364568,238
1,1,16,1320567837,250
1,1,16,1326000153,240
1,1,16,1336493410,246
1,1,16,1337026208,249
1,1,16,1341796865,252
1,1,16,1348972292,262
1,1,16,1351344834,265
1,1,16,1354571885,255
1,1,16,1355696803,229
1,1,16,1356823191,245
1,1,16,1360479120,239
1,1,16,1360595726,234
1,1,16,1367920983,251
1,1,16,1370452686,243
1,1,16,1371795951,233
1,1,16,137493304,251
1,1,16,1375056305,247
1,1,16,1380206301,243
1,1,16,138257890,241
1,1,16,1390070123,253
1,1,16,1397766369,259
1,1,16,1409932949,239
1,1,16,1410120414,255
1,1,16,1411552849,244
1,1,16,1411736710,253
1,1,16,1411740561,252
1,1,16,1412314167,251
1,1,16,1414909128,255
1,1,16,1415951383,247
1,1,16,1417221407,240
1,1,16,1417484602,251
1,1,16,1420211928,241
1,1,16,1423060993,241
1,1,16,1423682194,256
1,1,16,1424869980,231
1,1,16,142497295,239
1,1,16,1430247905,251
1,1,16,1431277483,271
1,1,16,1440176088,256
1,1,16,1444118058,253
1,1,16,1453438136,253
1,1,16,1457672976,248
1,1,16,1459827370,256
1,1,16,1460988487,238
1,1,16,1461249056,246
1,1,16,1480296753,241
1,1,16,1483337579,239
1,1,16,1486300823,243
1,1,16,1497824864,257
1,1,16,1504225597,242
1,1,16,1504822265,242
1,1,16,150604100,243
1,1,16,1507258094,264
1,1,16,1509632501,251
1,1,16,1512170075,236
1,1,16,1513047029,238
1,1,16,1518358220,248
1,1,16,1518938308,249
1,1,16,1523850398,261
1,1,16,152517913,253
1,1,16,1526915281,237
1,1,16,1529081495,256
1,1,16,1531151360,247
1,1,16,1533832136,262
1,1,16,1536985943,256
1,1,16,1540822946,241
1,1,16,1542757796,264
1,1,16,1544125195,256
1,1,16,1548060002,240
1,1,16,1550570586,235
1,1,16,1554121271,247
1,1,16,1554856959,240
1,1,16,1558458571,241
1,1,16,1558620065,246
1,1,16,1558744933,246
1,1,16,1560665819,238
1,1,16,1563161544,247
1,1,16,1566290996,250
1,1,16,1567196103,235
1,1,16,1570020736,248
1,1,16,1574474500,256
1,1,16,15748236,241
1,1,16,158096177,245
1,1,16,1588781947,242
1,1,16,1592441808,243
1,1,16,1603146689,251
1,1,16,1603190713,234
1,1,16,160467324,267
1,1,16,1607319672,251
1,1,16,1620304846,243
1,1,16,1626218762,236
1,1,16,1628223853,252
1,1,16,1628951581,228
1,1,16,1631665248,244
1,1,16,163283632,222
1,1,16,164235501,248
1,1,16,1643328992,239
1,1,16,164852610,250
1,1,16,1656959271,244
1,1,16,1658142994,250
1,1,16,1668855359,241
1,1,16,1669481184,240
1,1,16,1671092238,255
1,1,16,1672264654,244
1,1,16,1674872915,251
1,1,16,1678038194,248
1,1,16,1685411538,243
1,1,16,1694120380,245
1,1,16,1702785442,264
1,1,16,1704858203,244
1,1,16,1712995159,250
1,1,16,1718825415,259
1,1,16,1726355006,244
1,1,16,1727614195,242
1,1,16,1729283793,259
1,1,16,1731241459,252
1,1,16,173324371,244
1,1,16,1734983820,244
1,1,16,1736927955,245
1,1,16,1741266142,243
1,1,16,1743264730,243
1,1,16,1750180420,235
1,1,16,1754382556,242
1,1,16,1754719726,261
1,1,16,1756515094,252
1,1,16,1761243351,248
1,1,16,1777983941,262
1,1,16,1779847919,244
1,1,16,1780018293,234
1,1,16,1783035865,247
1,1,16,1784400485,263
1,1,16,1785013374,270
1,1,16,1786126378,256
1,1,16,1787008643,228
1,1,16,1788846950,254
1,1,16,1792465840,260
1,1,16,1801207137,238
1,1,16,1811800664,273
1,1,16,1815806383,258
1,1,16,18161333,272
1,1,16,1818025879,252
1,1,16,1824186194,240
1,1,16,1824418536,244
1,1,16,1829040536,244
1,1,16,1829568691,241
1,1,16,1839067692,245
1,1,16,1840869935,243
1,1,16,1841583134,241
1,1,16,1852411569,239
1,1,16,185365952,255
1,1,16,1856426629,249
1,1,16,1860824840,251
1,1,16,1862133219,228
1,1,16,1862386922,259
1,1,16,1870763046,238
1,1,16,1873747624,255
1,1,16,1877706133,244
1,1,16,1880502128,251
1,1,16,1884638580,261
1,1,16,1888822265,252
1,1,16,1908253110,229
1,1,16,1909541276,238
1,1,16,1909667671,256
1,1,16,1910179968,245
1,1,16,191544278,277
1,1,16,1932700662,230
1,1,16,1933500658,256
1,1,16,1934380881,234
1,1,16,1935573920,246
1,1,16,193817994,244
1,1,16,1938393722,248
1,1,16,1943721331,247
1,1,16,1944444860,269
1,1,16,1947213365,261
1,1,16,1951063194,244
1,1,16,1959144122,258
1,1,16,1962030729,230
