level,M,N,seed,editDistance
4,14,2,1000535603,27
4,14,2,1000720779,19
4,14,2,100216697,23
4,14,2,1004071431,23
4,14,2,1005758474,19
4,14,2,1008047005,23
4,14,2,1010202339,19
4,14,2,1012106734,11
4,14,2,101509996,23
4,14,2,1016667673,23
4,14,2,1016912099,19
4,14,2,1021791104,19
4,14,2,1022583277,23
4,14,2,1034863911,23
4,14,2,1034879352,23
4,14,2,1051691778,18
4,14,2,1051804867,23
4,14,2,1052698427,27
4,14,2,1058496508,19
4,14,2,1058622478,23
4,14,2,1063517319,19
4,14,2,1069201345,27
4,14,2,1077426309,19
4,14,2,1079267983,19
4,14,2,1082219467,19
4,14,2,1084224898,19
4,14,2,1094235124,18
4,14,2,1094718250,23
4,14,2,1096228115,23
4,14,2,1096611887,15
4,14,2,111155642,19
4,14,2,1118348014,22
4,14,2,1122721646,19
4,14,2,1132527312,23
4,14,2,1142572297,19
4,14,2,114755728,23
4,14,2,1152004463,19
4,14,2,1153038499,23
4,14,2,1156402266,19
4,14,2,1165499346,19
4,14,2,116946143,23
4,14,2,1175442267,19
4,14,2,117670319,19
4,14,2,1180590821,23
4,14,2,1185218584,27
4,14,2,1186280725,23
4,14,2,1200798902,23
4,14,2,120131558,23
4,14,2,1204922012,23
4,14,2,1206685014,23
4,14,2,1208720042,18
4,14,2,1210187630,19
4,14,2,1219645715,19
4,14,2,1220839627,27
4,14,2,1222145457,19
4,14,2,1222786603,23
4,14,2,1224151692,23
4,14,2,1225099763,23
4,14,2,1225864703,19
4,14,2,1227387314,15
4,14,2,1229181006,23
4,14,2,1232725829,27
4,14,2,1233712948,14
4,14,2,1233855121,19
4,14,2,1241467071,19
4,14,2,1243889219,23
4,14,2,1247997204,23
4,14,2,1250949407,19
4,14,2,1253604555,23
4,14,2,1258849587,23
4,14,2,1261228602,23
4,14,2,1265394192,23
4,14,2,1268841353,23
4,14,2,1269427024,27
4,14,2,1273523651,14
4,14,2,1276219746,27
4,14,2,1277696353,19
4,14,2,1278338309,18
4,14,2,127945544,19
4,14,2,1300368019,19
4,14,2,1301289640,18
4,14,2,1303269382,23
4,14,2,1305319526,19
4,14,2,131609750,19
4,14,2,1318371501,23
4,14,2,1322803391,19
4,14,2,1334568500,23
4,14,2,1334603958,27
4,14,2,1347925263,19
4,14,2,1355927108,19
4,14,2,1355979418,15
4,14,2,1359032259,23
4,14,2,1363296388,23
4,14,2,1363443376,19
4,14,2,1370705225,31
4,14,2,1376464650,19
4,14,2,1383225355,27
4,14,2,1386253184,19
4,14,2,138898637,19
4,14,2,1403164634,31
4,14,2,1413432733,23
4,14,2,1415463780,15
4,14,2,1418379375,19
4,14,2,1420766733,23
4,14,2,1421096878,31
4,14,2,1422249684,23
4,14,2,1427364027,23
4,14,2,1430475521,15
4,14,2,1437905513,19
4,14,2,1438529058,27
4,14,2,1470858451,19
4,14,2,1472766090,15
4,14,2,1474176159,19
