level,M,N,seed,editDistance
13modified,2,2,1783803413,266
13modified,2,2,1783904619,258
13modified,2,2,1787634100,255
13modified,2,2,1788470910,252
13modified,2,2,1802225254,249
13modified,2,2,1806786271,261
13modified,2,2,180789243,299
13modified,2,2,1810257406,280
13modified,2,2,1811421511,268
13modified,2,2,1814228121,258
13modified,2,2,182216137,274
13modified,2,2,1826631462,267
13modified,2,2,1830678009,261
13modified,2,2,1832144932,269
13modified,2,2,183419651,269
13modified,2,2,1847457651,250
13modified,2,2,184945281,250
13modified,2,2,1850250508,253
13modified,2,2,1857561842,265
13modified,2,2,1859854661,269
13modified,2,2,1860004022,256
13modified,2,2,1866329999,257
13modified,2,2,1870969858,247
13modified,2,2,1871792025,250
13modified,2,2,1875479968,270
13modified,2,2,1878727327,274
13modified,2,2,1881996031,259
13modified,2,2,1897867746,248
13modified,2,2,1899332987,251
13modified,2,2,1899616485,271
13modified,2,2,1902172151,274
13modified,2,2,1905607607,267
13modified,2,2,1907336851,252
13modified,2,2,1910531511,251
13modified,2,2,1914291450,250
13modified,2,2,1915134789,261
13modified,2,2,1916943627,264
13modified,2,2,1924240071,264
13modified,2,2,1925525807,260
13modified,2,2,192577671,255
13modified,2,2,1929218352,251
13modified,2,2,1931976251,261
13modified,2,2,1937816086,249
13modified,2,2,1937827682,273
13modified,2,2,1938500294,266
13modified,2,2,193879586,257
13modified,2,2,1942749039,244
13modified,2,2,1943261232,243
13modified,2,2,1952225308,266
13modified,2,2,1960555934,257
13modified,2,2,1962320612,256
13modified,2,2,1968901410,259
13modified,2,2,1969389892,259
13modified,2,2,1972513283,265
13modified,2,2,1982083757,264
13modified,2,2,1983805141,266
13modified,2,2,1985446787,275
13modified,2,2,1987651981,253
13modified,2,2,1988172034,264
13modified,2,2,198837763,249
13modified,2,2,1989953625,257
13modified,2,2,1993138114,264
13modified,2,2,1993481542,250
13modified,2,2,1994312858,252
13modified,2,2,1996698252,278
13modified,2,2,2001101864,256
13modified,2,2,2002338203,257
