level,M,N,seed,editDistance
13modified,1,16,100334696,288
13modified,1,16,1005713264,283
13modified,1,16,1010932164,276
13modified,1,16,1012869568,294
13modified,1,16,1021967227,292
13modified,1,16,1033033434,289
13modified,1,16,1033854624,256
13modified,1,16,1034628327,269
13modified,1,16,1041640248,266
13modified,1,16,1042768624,258
13modified,1,16,1044706667,267
13modified,1,16,1045197443,268
13modified,1,16,1045985721,277
13modified,1,16,1049469142,275
13modified,1,16,104993245,248
13modified,1,16,1051467736,261
13modified,1,16,1055293516,279
13modified,1,16,106470709,262
13modified,1,16,1066819082,327
13modified,1,16,1071405622,240
13modified,1,16,1072816653,280
13modified,1,16,1074205656,263
13modified,1,16,107858546,264
13modified,1,16,1081831131,232
13modified,1,16,1085292328,240
13modified,1,16,1086993038,263
13modified,1,16,1090021741,244
13modified,1,16,1095229560,292
13modified,1,16,1099242507,315
13modified,1,16,1119739660,257
13modified,1,16,1119913660,295
13modified,1,16,1121788155,274
13modified,1,16,1122891000,267
13modified,1,16,1123116722,286
13modified,1,16,1125748041,229
13modified,1,16,112714695,245
13modified,1,16,112803900,279
13modified,1,16,1131392376,265
13modified,1,16,1137791056,291
13modified,1,16,1140268074,280
13modified,1,16,1142192008,300
13modified,1,16,1149310547,263
13modified,1,16,1149395731,293
13modified,1,16,1149675945,294
13modified,1,16,1151948236,282
13modified,1,16,1159043200,265
13modified,1,16,1167164095,262
13modified,1,16,1168528864,281
13modified,1,16,1170387944,290
13modified,1,16,1170753960,288
13modified,1,16,1183217684,257
13modified,1,16,1183839141,268
13modified,1,16,1186326919,248
13modified,1,16,1198305612,274
13modified,1,16,1200800358,262
13modified,1,16,1205118578,276
13modified,1,16,1208064624,272
13modified,1,16,1208894535,237
13modified,1,16,1220846468,267
13modified,1,16,1222949588,293
13modified,1,16,1232002747,250
13modified,1,16,1235717330,242
13modified,1,16,1235792259,252
13modified,1,16,123988852,286
13modified,1,16,1240105649,252
13modified,1,16,1245146245,237
13modified,1,16,12481666,289
13modified,1,16,1248990245,261
13modified,1,16,1271901802,253
