level,M,N,seed,editDistance
all,6,6,1906721907,296
all,6,6,1908253110,272
all,6,6,1909667671,681
all,6,6,1910179968,280
all,6,6,1913967513,252
all,6,6,191544278,249
all,6,6,1933500658,266
all,6,6,1934380881,249
all,6,6,1935573920,569
all,6,6,193817994,250
all,6,6,1938393722,274
all,6,6,1944444860,258
all,6,6,1947213365,246
all,6,6,1951682096,272
all,6,6,1959144122,248
all,6,6,1962030729,288
all,6,6,196678503,256
all,6,6,1969283497,276
all,6,6,1979947027,249
all,6,6,1986960173,236
all,6,6,1989218905,694
all,6,6,1991756781,258
all,6,6,1998835997,234
all,6,6,2002329122,390
all,6,6,2003194834,402
all,6,6,2006648343,260
all,6,6,2008129550,259
all,6,6,2012597537,244
all,6,6,2017579353,256
all,6,6,2018523250,276
all,6,6,2027728826,266
all,6,6,2028711105,245
all,6,6,2030551235,265
all,6,6,2032613547,252
all,6,6,2032709290,268
all,6,6,2037277650,246
all,6,6,2042598215,276
all,6,6,2047260970,259
all,6,6,2049513134,257
all,6,6,2056543553,252
all,6,6,2061859894,275
all,6,6,2063672426,247
all,6,6,2065215352,272
all,6,6,2067349480,673
all,6,6,2069326171,242
all,6,6,2072683941,232
all,6,6,2073032659,298
all,6,6,2077841788,267
all,6,6,2084778478,249
all,6,6,2086595122,445
all,6,6,2089336133,256
all,6,6,2090721879,313
all,6,6,2090749135,278
all,6,6,2090954088,254
all,6,6,2091484725,224
all,6,6,2092361915,251
all,6,6,209515778,266
all,6,6,2103026780,307
all,6,6,2105993330,254
all,6,6,2108898892,263
all,6,6,2114264718,242
all,6,6,2115404849,245
all,6,6,2117413851,293
all,6,6,2124090669,445
all,6,6,2127934901,295
all,6,6,2128996900,245
all,6,6,2138390668,281
all,6,6,2139588327,271
all,6,6,2141009491,269
all,6,6,2142329768,267
all,6,6,21492040,246
all,6,6,21930459,251
all,6,6,22353703,431
all,6,6,225999372,265
all,6,6,228832894,232
all,6,6,235907694,264
all,6,6,235925162,244
all,6,6,238979097,258
all,6,6,240806326,593
all,6,6,243573700,246
all,6,6,245480496,236
all,6,6,258976179,261
all,6,6,260318576,259
all,6,6,264279916,272
all,6,6,264663592,265
all,6,6,265717410,218
all,6,6,271483271,252
all,6,6,274764836,253
all,6,6,278340220,255
all,6,6,284405506,560
all,6,6,284814185,277
all,6,6,285564450,268
all,6,6,287790814,682
all,6,6,289601912,380
all,6,6,29449191,266
all,6,6,294796082,278
all,6,6,296328417,247
all,6,6,296427284,254
all,6,6,297609666,251
all,6,6,301730690,237
all,6,6,302208530,264
all,6,6,307834051,236
all,6,6,324011762,239
all,6,6,33638186,252
all,6,6,341624428,262
all,6,6,345247305,253
all,6,6,359794293,251
all,6,6,3656297,273
all,6,6,366484697,247
all,6,6,368129150,264
all,6,6,368625471,266
all,6,6,370025683,257
all,6,6,371309519,251
all,6,6,374447600,275
all,6,6,374930229,263
all,6,6,379926920,305
all,6,6,383668415,235
all,6,6,383766180,236
all,6,6,385250073,265
all,6,6,38827726,255
all,6,6,391403007,224
all,6,6,392731427,257
all,6,6,398152021,273
all,6,6,405620869,246
all,6,6,410300769,327
all,6,6,414818884,463
all,6,6,414893779,240
all,6,6,416875994,252
all,6,6,424661845,255
all,6,6,424694963,248
all,6,6,427683939,231
all,6,6,43661461,266
all,6,6,437622381,257
all,6,6,440045570,268
all,6,6,445233199,473
all,6,6,452369723,259
all,6,6,455321581,257
all,6,6,455350629,271
all,6,6,456454537,279
all,6,6,460638624,244
all,6,6,466995634,286
all,6,6,471784060,248
all,6,6,473031507,266
all,6,6,475308570,249
all,6,6,478745059,268
all,6,6,478872772,246
all,6,6,485240562,247
all,6,6,487804032,590
all,6,6,488729533,254
all,6,6,496550176,253
all,6,6,501480951,248
all,6,6,507605578,269
all,6,6,511027599,249
all,6,6,51216678,523
all,6,6,5122976,247
all,6,6,513719574,248
all,6,6,515130950,274
all,6,6,52445556,651
all,6,6,531925169,257
all,6,6,533917039,246
all,6,6,548857900,279
all,6,6,553741966,261
all,6,6,557424792,237
all,6,6,560717774,233
all,6,6,563364277,253
all,6,6,570945810,248
all,6,6,576690593,296
all,6,6,578028889,236
all,6,6,581522155,289
all,6,6,587469330,284
all,6,6,590054297,267
all,6,6,592498032,250
all,6,6,598249054,269
all,6,6,615500284,271
all,6,6,616101528,237
all,6,6,616240291,258
all,6,6,622682182,320
all,6,6,623147825,247
all,6,6,631695468,275
all,6,6,642849686,247
all,6,6,643618536,279
all,6,6,645304625,252
all,6,6,651364503,282
all,6,6,658836001,268
all,6,6,661104555,235
all,6,6,661168573,280
all,6,6,661459443,239
all,6,6,664854618,268
all,6,6,665839572,260
all,6,6,668442062,270
all,6,6,672322340,247
all,6,6,674345469,251
all,6,6,681693207,247
all,6,6,681844325,262
all,6,6,686363807,268
all,6,6,686678415,263
all,6,6,696138076,262
all,6,6,696700444,252
all,6,6,699331790,250
all,6,6,707108887,235
all,6,6,707550653,319
all,6,6,708853029,290
all,6,6,714649183,252
all,6,6,716427139,265
all,6,6,716867186,676
all,6,6,732880934,255
all,6,6,734505695,256
all,6,6,738304691,239
all,6,6,7445546,251
all,6,6,745759253,243
all,6,6,745861786,230
all,6,6,748639450,236
all,6,6,752573483,230
all,6,6,756662132,546
all,6,6,758381002,266
all,6,6,760929006,276
all,6,6,765322355,242
all,6,6,767315175,266
all,6,6,773538536,245
all,6,6,779718122,299
all,6,6,786885497,522
all,6,6,792610206,271
all,6,6,802570417,246
all,6,6,805386862,283
all,6,6,809512818,259
all,6,6,811593263,282
all,6,6,81502520,273
all,6,6,817591817,263
all,6,6,818683957,289
all,6,6,819204420,249
all,6,6,825147154,251
all,6,6,833240229,240
all,6,6,838360500,249
all,6,6,83847564,513
all,6,6,839057652,252
all,6,6,853820239,249
all,6,6,854944677,250
all,6,6,85656603,503
all,6,6,862472425,257
all,6,6,865726786,256
all,6,6,869835073,244
all,6,6,881196557,232
all,6,6,890854882,551
all,6,6,893915591,271
all,6,6,896433604,255
all,6,6,898610774,251
all,6,6,899342202,235
all,6,6,903556876,236
all,6,6,906723990,256
all,6,6,912539759,259
all,6,6,921321337,251
all,6,6,922207577,255
all,6,6,927101831,273
all,6,6,929134249,300
all,6,6,936705076,256
all,6,6,940382637,242
all,6,6,941360757,258
all,6,6,943488965,266
all,6,6,944841913,271
all,6,6,951573147,252
all,6,6,95276463,246
all,6,6,958412791,233
all,6,6,960864545,246
all,6,6,963667406,251
all,6,6,963733305,248
all,6,6,963744626,255
all,6,6,985590583,240
all,6,6,992618231,258
all,6,6,997363620,259
all,6,6,1007366497,268
all,6,6,1011567003,246
all,6,6,1012012773,276
all,6,6,1012966232,310
all,6,6,1013004600,252
all,6,6,1015440888,256
all,6,6,1016666927,258
all,6,6,1027608383,239
all,6,6,1039945894,508
all,6,6,1041003529,259
all,6,6,1042214707,284
all,6,6,1043124369,452
all,6,6,1047191324,282
all,6,6,1047930356,570
all,6,6,1060260341,288
all,6,6,106504493,280
all,6,6,1066273454,288
all,6,6,10723707,434
all,6,6,1083418150,251
all,6,6,1084418149,293
all,6,6,1088842824,509
all,6,6,109015518,263
all,6,6,1093178828,261
all,6,6,1093443648,256
all,6,6,1115963802,264
all,6,6,1120017672,251
all,6,6,1126156478,266
all,6,6,1128070351,237
all,6,6,1132795024,270
all,6,6,113807004,287
all,6,6,1140437640,258
all,6,6,114547171,275
all,6,6,1146254029,247
all,6,6,1154460180,244
all,6,6,1158860778,483
all,6,6,1159335042,231
all,6,6,1160460884,270
all,6,6,1173992572,251
all,6,6,1177440044,233
all,6,6,118092674,259
all,6,6,1186026598,244
all,6,6,1187156785,288
all,6,6,1192201,252
all,6,6,1192513163,226
all,6,6,1194877921,424
all,6,6,1197043983,257
all,6,6,1214014878,249
all,6,6,1215609700,251
all,6,6,1217948985,290
all,6,6,1220371580,262
all,6,6,1220532283,252
all,6,6,1221417850,259
all,6,6,1223133942,272
all,6,6,1223610368,266
all,6,6,1236955281,255
all,6,6,1239042658,259
all,6,6,1239944688,254
all,6,6,1244730043,239
all,6,6,1245567209,269
all,6,6,1251327432,254
all,6,6,1251359113,238
all,6,6,1252016966,263
all,6,6,1252380417,238
all,6,6,1254579297,242
all,6,6,1259435401,239
all,6,6,126743168,255
all,6,6,1268024334,259
all,6,6,1269798208,247
all,6,6,1270592743,266
all,6,6,1280555239,259
all,6,6,1283165443,233
all,6,6,1285800652,672
all,6,6,1310069330,281
all,6,6,1310938849,257
all,6,6,1311109679,264
all,6,6,1312253936,264
all,6,6,1324942098,242
all,6,6,1325603311,264
all,6,6,132858796,241
all,6,6,1336914056,265
all,6,6,1346480913,281
all,6,6,1358613540,245
all,6,6,1369268605,433
all,6,6,1371921981,251
all,6,6,1374942037,544
all,6,6,1376996146,303
all,6,6,1378325955,283
all,6,6,1387100808,261
all,6,6,1394878018,281
all,6,6,1402202751,703
all,6,6,1402600680,241
all,6,6,140593133,273
all,6,6,1409946047,330
all,6,6,1415923339,249
all,6,6,1420950107,283
all,6,6,1426784040,254
all,6,6,1428144759,293
all,6,6,1428447742,645
all,6,6,1429342757,535
all,6,6,1429367741,250
all,6,6,1442116807,271
all,6,6,144553863,278
all,6,6,1447091856,268
all,6,6,1453464562,271
all,6,6,1458317563,226
all,6,6,1460399984,265
all,6,6,1472519785,277
all,6,6,1475822054,263
all,6,6,1486134430,288
all,6,6,1491601708,265
all,6,6,1491837140,254
all,6,6,149402193,620
all,6,6,1495812485,256
all,6,6,1497341512,421
all,6,6,1499439034,266
all,6,6,150003645,273
all,6,6,1506941806,226
all,6,6,1515491052,250
all,6,6,151766778,285
all,6,6,1523332101,410
all,6,6,1527983421,257
all,6,6,1528725164,254
all,6,6,1532248033,236
all,6,6,1535902079,251
all,6,6,1537249979,256
all,6,6,1545454136,232
all,6,6,1545754438,270
all,6,6,154842449,242
all,6,6,1549960256,241
all,6,6,1553932502,259
all,6,6,1557376909,237
all,6,6,1560491078,272
all,6,6,1564145142,274
all,6,6,156571102,241
all,6,6,1567134334,291
all,6,6,1575324253,278
all,6,6,1580277552,248
all,6,6,1580781148,280
all,6,6,1584240356,247
all,6,6,1585697870,263
all,6,6,158842907,286
all,6,6,1588852410,216
all,6,6,1590547014,264
all,6,6,1592482057,226
all,6,6,1596164509,264
all,6,6,1602836944,257
all,6,6,160541376,252
all,6,6,1612354173,242
all,6,6,1615150894,240
all,6,6,161804169,232
all,6,6,1622527981,264
all,6,6,1624765118,256
all,6,6,1626660603,237
all,6,6,1628569142,290
all,6,6,1631313019,319
all,6,6,1634586371,248
all,6,6,1635038212,271
all,6,6,1636998586,266
all,6,6,1638779493,251
all,6,6,1640976693,262
all,6,6,1642285350,279
all,6,6,1659319565,261
all,6,6,1659681847,231
all,6,6,1659788427,232
all,6,6,1660116134,248
