level,M,N,seed,editDistance
7,2,2,1001638330,548
7,2,2,1004239811,491
7,2,2,1006974512,512
7,2,2,1008270054,538
7,2,2,1013432441,580
7,2,2,1016921506,546
7,2,2,1018891292,561
7,2,2,102098671,504
7,2,2,1028515517,518
7,2,2,102960499,534
7,2,2,1060062020,545
7,2,2,1066149829,534
7,2,2,1067504604,561
7,2,2,1068509115,571
7,2,2,1068970228,600
7,2,2,1071150030,511
7,2,2,1072633241,538
7,2,2,1077623985,518
7,2,2,1086823014,522
7,2,2,1087025073,516
7,2,2,1089525505,550
7,2,2,1091606188,556
7,2,2,1093240956,558
7,2,2,1093903480,542
7,2,2,1095378063,574
7,2,2,1095835839,448
7,2,2,1097460878,553
7,2,2,110182227,562
7,2,2,1110254272,548
7,2,2,1110723245,524
7,2,2,1117264835,572
7,2,2,1125779311,552
7,2,2,1126747195,552
7,2,2,1128746987,553
7,2,2,1146095553,512
7,2,2,11520671,538
7,2,2,1153722014,529
7,2,2,1160445725,539
7,2,2,1160758225,612
7,2,2,1163576775,548
7,2,2,1177792585,555
7,2,2,1183345214,528
7,2,2,118454172,532
7,2,2,1186196203,528
7,2,2,1189182424,525
7,2,2,1192668172,520
7,2,2,120018352,483
7,2,2,1213383238,528
7,2,2,1216599388,573
7,2,2,1218634916,518
7,2,2,1219294602,528
7,2,2,1227535742,515
7,2,2,1232898717,570
7,2,2,1240663087,535
7,2,2,125544131,528
7,2,2,1262932591,543
7,2,2,1264762340,491
7,2,2,1266279532,499
7,2,2,1268031495,561
7,2,2,1272899085,539
7,2,2,1273985955,549
7,2,2,1276506797,523
7,2,2,1295160573,541
7,2,2,1296104687,535
7,2,2,1300287810,535
7,2,2,1301795816,591
7,2,2,1303027903,514
7,2,2,1306871759,523
7,2,2,1310016403,562
7,2,2,1321488007,554
7,2,2,1322013659,526
7,2,2,1322963882,501
7,2,2,1328116806,546
7,2,2,1328139643,542
7,2,2,1329076451,556
7,2,2,1329412,514
7,2,2,1332528888,543
7,2,2,1335381239,542
7,2,2,1338202248,535
7,2,2,1338968289,501
7,2,2,1341136234,534
7,2,2,1345843321,536
7,2,2,1349964487,500
7,2,2,1356366221,528
7,2,2,1357568744,519
7,2,2,1358687573,534
7,2,2,1364970099,552
7,2,2,1368368215,540
7,2,2,1370766593,521
7,2,2,1370997845,528
7,2,2,1373865584,530
7,2,2,1376450958,502
7,2,2,1376654402,556
7,2,2,1377134233,497
7,2,2,1377526203,511
7,2,2,1377921102,465
7,2,2,138282715,535
7,2,2,1384606700,601
7,2,2,1387865902,553
7,2,2,1388475310,592
7,2,2,1390645435,506
7,2,2,1393117584,466
7,2,2,1400722236,533
7,2,2,1404924219,513
7,2,2,1409989499,524
7,2,2,1414473539,509
7,2,2,1414795059,551
7,2,2,1422190117,562
7,2,2,1422935123,518
7,2,2,1426351315,450
7,2,2,1438994028,508
7,2,2,1440602929,553
7,2,2,1442200411,575
7,2,2,144430618,591
7,2,2,1446835868,562
7,2,2,1449216826,526
7,2,2,1452256376,560
7,2,2,1456261967,564
7,2,2,1462231888,490
7,2,2,1463427759,536
7,2,2,1466242648,565
7,2,2,1466523173,499
7,2,2,1476713707,526
7,2,2,1478041662,585
7,2,2,1480776711,559
7,2,2,1484252532,532
7,2,2,1486648712,527
7,2,2,1497798986,499
7,2,2,1505067816,516
7,2,2,1508808479,541
7,2,2,1513950853,509
7,2,2,1514561538,542
7,2,2,1522082417,535
7,2,2,1530509050,552
7,2,2,1535807365,611
7,2,2,1540138698,545
7,2,2,1547876493,527
7,2,2,1555442704,538
7,2,2,1555782807,525
7,2,2,1559144223,491
7,2,2,1562549352,560
7,2,2,1574767863,556
7,2,2,1577438460,545
7,2,2,1579380333,534
7,2,2,158159825,535
7,2,2,1583017645,566
7,2,2,158627521,529
7,2,2,1611477169,526
7,2,2,1613981524,502
7,2,2,1620890293,509
7,2,2,1625346714,522
7,2,2,1627910333,537
7,2,2,1633775838,505
7,2,2,1647822787,521
7,2,2,1649090767,588
7,2,2,1652393648,523
7,2,2,165915644,546
7,2,2,166706129,572
7,2,2,1668629342,491
7,2,2,1668659635,519
7,2,2,1669555446,515
7,2,2,1672286945,553
7,2,2,1673865694,591
7,2,2,1677986309,543
