level,M,N,seed,densityMetric
7,14,6,1001638330,0.9505
7,14,6,1004239811,0.9505
7,14,6,1006974512,0.9505
7,14,6,1008270054,0.9505
7,14,6,1013432441,0.9505
7,14,6,1016921506,0.9505
7,14,6,1018891292,0.9505
7,14,6,102098671,0.9505
7,14,6,1028515517,0.9505
7,14,6,102960499,0.9505
7,14,6,1060062020,0.9505
7,14,6,1066149829,0.9505
7,14,6,1067504604,0.9505
7,14,6,1068509115,0.9505
7,14,6,1068970228,0.9505
7,14,6,1071150030,0.9505
7,14,6,1072633241,0.9505
7,14,6,1077623985,0.9505
7,14,6,1086823014,0.9505
7,14,6,1087025073,0.9505
7,14,6,1089525505,0.9505
7,14,6,1091606188,0.9505
7,14,6,1093240956,0.9505
7,14,6,1093903480,0.9505
7,14,6,1095378063,0.9505
7,14,6,1095835839,0.9505
7,14,6,1097460878,0.9505
7,14,6,110182227,0.9505
7,14,6,1110254272,0.9505
7,14,6,1110723245,0.9505
7,14,6,1117264835,0.9505
7,14,6,1125779311,0.9505
7,14,6,1126747195,0.9505
7,14,6,1128746987,0.9505
7,14,6,1140812706,0.9505
7,14,6,1146095553,0.9505
7,14,6,11520671,0.9505
7,14,6,1153722014,0.9505
7,14,6,1160445725,0.9505
7,14,6,1160758225,0.9505
7,14,6,1163576775,0.9505
7,14,6,1177792585,0.9505
7,14,6,1183345214,0.9505
7,14,6,118454172,0.9505
7,14,6,1186196203,0.9505
7,14,6,1189182424,0.9505
7,14,6,1190431863,0.9505
7,14,6,1192668172,0.9505
7,14,6,120018352,0.9505
7,14,6,1213383238,0.9505
7,14,6,1216599388,0.9505
7,14,6,1218634916,0.9505
7,14,6,1219294602,0.9505
7,14,6,1227535742,0.9505
7,14,6,1232898717,0.9505
7,14,6,1240663087,0.9505
7,14,6,125544131,0.9505
7,14,6,1262932591,0.9505
7,14,6,1264762340,0.9505
7,14,6,1266279532,0.9505
7,14,6,1268031495,0.9505
7,14,6,1272899085,0.9505
7,14,6,1273985955,0.9505
7,14,6,1276506797,0.9505
7,14,6,1295160573,0.9505
7,14,6,1296104687,0.9505
7,14,6,1300287810,0.9505
7,14,6,1301795816,0.9505
7,14,6,1303027903,0.9505
7,14,6,1306871759,0.9505
7,14,6,1310016403,0.9505
