level,M,N,seed,densityMetric
13modified,2,2,1628647456,0.6121
13modified,2,2,1629482376,0.7212
13modified,2,2,1634652975,0.6667
13modified,2,2,1652401447,0.6061
13modified,2,2,1652650581,0.5030
13modified,2,2,1662992992,0.6788
13modified,2,2,1666216751,0.7394
13modified,2,2,1670639419,0.5758
13modified,2,2,1672446981,0.5697
13modified,2,2,1674010505,0.7273
13modified,2,2,1676942378,0.6121
13modified,2,2,1677752354,0.6061
13modified,2,2,1692069932,0.6545
13modified,2,2,1693272981,0.6909
13modified,2,2,1695411640,0.5515
13modified,2,2,1698163619,0.4424
13modified,2,2,1698845061,0.7818
13modified,2,2,1710804631,0.6848
13modified,2,2,1715881790,0.6970
13modified,2,2,1719068081,0.6485
13modified,2,2,1724803975,0.7091
13modified,2,2,1729547969,0.6121
13modified,2,2,1739807908,0.7879
13modified,2,2,1740360962,0.5939
13modified,2,2,1749190164,0.5939
13modified,2,2,175484159,0.7455
13modified,2,2,1756758712,0.6667
13modified,2,2,1758501093,0.5455
13modified,2,2,1768078034,0.5515
13modified,2,2,1770666646,0.6788
13modified,2,2,1771148841,0.5758
13modified,2,2,1771567484,0.6485
13modified,2,2,1775484855,0.6485
13modified,2,2,1777306666,0.7152
13modified,2,2,1782619294,0.6727
13modified,2,2,1783803413,0.6667
13modified,2,2,1783904619,0.6182
13modified,2,2,1787634100,0.5697
13modified,2,2,1788470910,0.5333
13modified,2,2,1802225254,0.4667
13modified,2,2,1806786271,0.5758
13modified,2,2,180789243,0.8242
13modified,2,2,1810257406,0.6545
13modified,2,2,1811421511,0.7091
13modified,2,2,1814228121,0.6061
13modified,2,2,182216137,0.6303
13modified,2,2,1826631462,0.6727
13modified,2,2,1830678009,0.5636
13modified,2,2,1832144932,0.6606
13modified,2,2,183419651,0.6909
13modified,2,2,1847457651,0.7091
13modified,2,2,184945281,0.4970
13modified,2,2,1850250508,0.5818
13modified,2,2,1857561842,0.6545
13modified,2,2,1859854661,0.6909
13modified,2,2,1860004022,0.6606
13modified,2,2,1866329999,0.6909
13modified,2,2,1870969858,0.5515
13modified,2,2,1871792025,0.6182
13modified,2,2,1875479968,0.7636
13modified,2,2,1878727327,0.8364
13modified,2,2,1881996031,0.6121
13modified,2,2,1897867746,0.5030
13modified,2,2,1899332987,0.5939
13modified,2,2,1899616485,0.7333
13modified,2,2,1902172151,0.7394
13modified,2,2,1905607607,0.6121
13modified,2,2,1907336851,0.7333
13modified,2,2,1910531511,0.6424
13modified,2,2,1914291450,0.5455
13modified,2,2,1915134789,0.7091
13modified,2,2,1916943627,0.6242
13modified,2,2,1924240071,0.6121
13modified,2,2,1925525807,0.5515
13modified,2,2,192577671,0.5879
13modified,2,2,1929218352,0.6364
13modified,2,2,1931976251,0.6909
13modified,2,2,1937816086,0.6364
13modified,2,2,1937827682,0.6303
13modified,2,2,1938500294,0.6727
13modified,2,2,193879586,0.6848
13modified,2,2,1942749039,0.5273
13modified,2,2,1943261232,0.4727
13modified,2,2,1952225308,0.5394
13modified,2,2,1960555934,0.7152
13modified,2,2,1962320612,0.6667
13modified,2,2,1968901410,0.5939
13modified,2,2,1969389892,0.6424
13modified,2,2,1972513283,0.6061
13modified,2,2,1982083757,0.6182
13modified,2,2,1983805141,0.6364
13modified,2,2,1985446787,0.6121
13modified,2,2,1987651981,0.5636
13modified,2,2,1988172034,0.7030
13modified,2,2,198837763,0.5636
13modified,2,2,1989953625,0.6485
13modified,2,2,1993138114,0.6848
13modified,2,2,1993481542,0.6606
13modified,2,2,1994312858,0.7515
13modified,2,2,1996698252,0.7697
13modified,2,2,2001101864,0.4485
13modified,2,2,2002338203,0.6485
13modified,2,2,2006886622,0.5455
13modified,2,2,2010052489,0.6242
13modified,2,2,201055042,0.7152
13modified,2,2,2011598173,0.6909
13modified,2,2,2013068938,0.5758
13modified,2,2,2027517390,0.6970
13modified,2,2,2027626647,0.5758
13modified,2,2,2032250921,0.5212
13modified,2,2,2041951748,0.5758
13modified,2,2,2046196425,0.6061
13modified,2,2,2062675215,0.5394
13modified,2,2,2067589604,0.6667
13modified,2,2,2068792693,0.6727
13modified,2,2,2068881692,0.6485
13modified,2,2,2079293851,0.6788
13modified,2,2,2080142758,0.7636
13modified,2,2,2080969392,0.7212
13modified,2,2,2083163847,0.6909
13modified,2,2,2087945074,0.6061
13modified,2,2,2089014283,0.5455
13modified,2,2,2090932691,0.6303
13modified,2,2,2092598495,0.6000
13modified,2,2,210085301,0.6545
13modified,2,2,2102878559,0.6242
13modified,2,2,2107015358,0.7273
13modified,2,2,2110303771,0.6061
13modified,2,2,2115544216,0.7212
13modified,2,2,2118360007,0.5273
13modified,2,2,2123071780,0.6121
13modified,2,2,2127447033,0.6727
13modified,2,2,2144013147,0.5939
13modified,2,2,214401323,0.5152
13modified,2,2,215027742,0.6182
13modified,2,2,21590589,0.6424
13modified,2,2,217911835,0.5273
13modified,2,2,225624097,0.7515
13modified,2,2,240543982,0.6848
13modified,2,2,241084305,0.5697
13modified,2,2,242841274,0.5212
13modified,2,2,244816081,0.5515
13modified,2,2,246887963,0.6667
13modified,2,2,247446320,0.6727
13modified,2,2,250200404,0.6788
13modified,2,2,256932183,0.6545
13modified,2,2,257677728,0.7212
13modified,2,2,268468926,0.5758
13modified,2,2,270401505,0.7212
13modified,2,2,273006348,0.6970
13modified,2,2,273504429,0.6848
13modified,2,2,273762270,0.7576
13modified,2,2,273909280,0.5455
13modified,2,2,276054960,0.4909
13modified,2,2,277022702,0.6364
13modified,2,2,287585933,0.7273
13modified,2,2,291400902,0.6848
13modified,2,2,292794631,0.5030
13modified,2,2,29446419,0.5697
13modified,2,2,30129159,0.6727
13modified,2,2,302174330,0.7152
13modified,2,2,30428066,0.6424
13modified,2,2,304659142,0.8667
13modified,2,2,306235539,0.5879
13modified,2,2,313527575,0.5152
13modified,2,2,317816554,0.6242
13modified,2,2,323120058,0.7091
13modified,2,2,325288448,0.5394
13modified,2,2,325474435,0.5697
13modified,2,2,3315379,0.7758
13modified,2,2,337198979,0.6545
13modified,2,2,342032141,0.5939
13modified,2,2,345424665,0.6061
13modified,2,2,354460466,0.5879
13modified,2,2,357235956,0.5455
13modified,2,2,358787718,0.7152
13modified,2,2,361681270,0.7394
13modified,2,2,363398441,0.6848
13modified,2,2,368692553,0.6364
13modified,2,2,369135960,0.7515
13modified,2,2,369794972,0.5758
13modified,2,2,370806344,0.6182
13modified,2,2,371741513,0.6303
13modified,2,2,3734555,0.5455
13modified,2,2,374073761,0.6970
13modified,2,2,37460058,0.5879
13modified,2,2,37482538,0.7030
13modified,2,2,381975381,0.6788
13modified,2,2,387228672,0.5394
13modified,2,2,388860259,0.6970
13modified,2,2,391819589,0.6242
13modified,2,2,393867367,0.6303
13modified,2,2,394630105,0.5515
13modified,2,2,400625198,0.6000
13modified,2,2,414808450,0.6303
13modified,2,2,418032689,0.6303
13modified,2,2,420062575,0.6970
13modified,2,2,421512030,0.6121
13modified,2,2,424487181,0.6364
13modified,2,2,42458609,0.5697
13modified,2,2,425825758,0.7152
13modified,2,2,429719966,0.5879
13modified,2,2,434579139,0.6061
13modified,2,2,440735132,0.5576
13modified,2,2,441325712,0.7636
13modified,2,2,442437377,0.6485
13modified,2,2,450209820,0.5333
13modified,2,2,453876394,0.6242
13modified,2,2,45468468,0.7576
13modified,2,2,455801770,0.7636
13modified,2,2,463435724,0.7273
13modified,2,2,470386698,0.6909
13modified,2,2,473303457,0.7636
13modified,2,2,48015921,0.6424
13modified,2,2,483862740,0.6848
13modified,2,2,489690409,0.6424
13modified,2,2,49040756,0.6061
13modified,2,2,497019322,0.6970
13modified,2,2,498455491,0.6667
13modified,2,2,502696743,0.5394
13modified,2,2,50444496,0.5212
13modified,2,2,507487816,0.6121
13modified,2,2,508221299,0.6121
13modified,2,2,510878913,0.6667
13modified,2,2,511313627,0.6788
13modified,2,2,511867151,0.8000
13modified,2,2,51357965,0.6667
13modified,2,2,520238927,0.6364
13modified,2,2,524402925,0.7333
13modified,2,2,525459331,0.7273
13modified,2,2,536948339,0.7030
13modified,2,2,540080875,0.7212
13modified,2,2,544473760,0.5879
13modified,2,2,545119568,0.5394
13modified,2,2,548562677,0.6667
13modified,2,2,549901415,0.7455
13modified,2,2,553833784,0.6182
13modified,2,2,553905800,0.5879
13modified,2,2,555221366,0.5879
13modified,2,2,557662695,0.7515
13modified,2,2,557768126,0.5091
13modified,2,2,560282076,0.5939
13modified,2,2,565011412,0.6303
13modified,2,2,569705360,0.6970
13modified,2,2,570096274,0.6848
13modified,2,2,574219245,0.5697
13modified,2,2,574329009,0.5758
13modified,2,2,576137700,0.7576
13modified,2,2,579827114,0.6848
13modified,2,2,584311358,0.6424
13modified,2,2,592777082,0.5455
13modified,2,2,596677286,0.5394
13modified,2,2,59669874,0.6242
13modified,2,2,603960518,0.5152
13modified,2,2,608003215,0.7879
13modified,2,2,609166150,0.7818
13modified,2,2,61037658,0.7030
13modified,2,2,613663680,0.6121
13modified,2,2,614943469,0.6182
13modified,2,2,640212326,0.6788
13modified,2,2,651895877,0.6788
13modified,2,2,655544991,0.5939
13modified,2,2,656596515,0.5333
13modified,2,2,660002153,0.6364
13modified,2,2,661117901,0.6788
13modified,2,2,662622032,0.6182
13modified,2,2,663820539,0.7152
13modified,2,2,6761495,0.6485
13modified,2,2,677915807,0.6061
13modified,2,2,683388071,0.7697
13modified,2,2,689168043,0.7758
13modified,2,2,689570361,0.7333
13modified,2,2,691384022,0.6788
13modified,2,2,694120147,0.6121
13modified,2,2,703002836,0.7152
13modified,2,2,709925434,0.6061
13modified,2,2,71160169,0.6000
13modified,2,2,717987529,0.7758
13modified,2,2,721314556,0.5515
13modified,2,2,721589806,0.7030
13modified,2,2,725632225,0.6848
13modified,2,2,732950466,0.6485
13modified,2,2,739520581,0.5394
13modified,2,2,743324537,0.7030
13modified,2,2,75020421,0.5455
13modified,2,2,75350806,0.6788
13modified,2,2,758916509,0.8303
13modified,2,2,769253959,0.5515
13modified,2,2,773104356,0.7333
13modified,2,2,776760131,0.6303
13modified,2,2,779431259,0.6727
13modified,2,2,782680467,0.5394
13modified,2,2,783209712,0.7758
13modified,2,2,788586661,0.5273
13modified,2,2,791193846,0.6364
13modified,2,2,795904209,0.6485
13modified,2,2,799953510,0.6485
13modified,2,2,800496353,0.6667
13modified,2,2,804424103,0.5879
13modified,2,2,812809757,0.5455
13modified,2,2,819996953,0.6545
13modified,2,2,821777305,0.7212
13modified,2,2,82719017,0.7091
13modified,2,2,838638158,0.5333
13modified,2,2,841377589,0.6606
13modified,2,2,841481450,0.5697
13modified,2,2,843316041,0.7818
13modified,2,2,848374563,0.6182
13modified,2,2,850237742,0.5333
13modified,2,2,853308102,0.5879
13modified,2,2,865466663,0.5697
13modified,2,2,877208134,0.5273
13modified,2,2,877309007,0.7030
13modified,2,2,878851656,0.6667
13modified,2,2,882245851,0.6909
13modified,2,2,886636246,0.6121
13modified,2,2,891746805,0.6242
13modified,2,2,9000777,0.6303
13modified,2,2,903568735,0.5394
13modified,2,2,905455703,0.7758
13modified,2,2,906709702,0.5636
13modified,2,2,914627727,0.6061
13modified,2,2,91513417,0.5697
13modified,2,2,916693109,0.6485
13modified,2,2,92055120,0.6242
13modified,2,2,923553484,0.8848
13modified,2,2,926990597,0.6606
13modified,2,2,929509287,0.5818
13modified,2,2,935475955,0.5879
13modified,2,2,93799276,0.5879
13modified,2,2,954272111,0.5394
13modified,2,2,954301870,0.6545
13modified,2,2,96291094,0.5939
13modified,2,2,968925835,0.5818
13modified,2,2,975487570,0.6606
13modified,2,2,976279089,0.6121
13modified,2,2,979199061,0.6182
13modified,2,2,981421282,0.6242
13modified,2,2,992129839,0.5636
13modified,2,2,99541634,0.5818
13modified,2,2,995429404,0.5818
13modified,2,2,996435017,0.5455
13modified,2,2,1001229926,0.5515
13modified,2,2,1011965961,0.5636
13modified,2,2,1020150396,0.5152
13modified,2,2,1026085478,0.6242
13modified,2,2,1035769591,0.7030
13modified,2,2,1037554781,0.6303
13modified,2,2,1038727240,0.6667
13modified,2,2,1040809046,0.7212
13modified,2,2,1042220742,0.5394
13modified,2,2,1042649913,0.5758
13modified,2,2,1044335460,0.7212
13modified,2,2,1050189460,0.7030
13modified,2,2,1050627575,0.7273
13modified,2,2,1051182732,0.6303
13modified,2,2,1053818476,0.7152
13modified,2,2,1068856203,0.6970
13modified,2,2,1069632729,0.6061
13modified,2,2,10774971,0.7212
13modified,2,2,1082892450,0.5515
13modified,2,2,1092839678,0.5455
13modified,2,2,1096439173,0.8182
13modified,2,2,1096462682,0.6000
13modified,2,2,1097786212,0.5333
13modified,2,2,1099793311,0.5576
13modified,2,2,1106287081,0.6182
13modified,2,2,111608068,0.4545
13modified,2,2,1119867826,0.5818
13modified,2,2,1123107713,0.6727
13modified,2,2,1126139731,0.6121
13modified,2,2,1129828703,0.6000
13modified,2,2,1130454950,0.5091
13modified,2,2,1133349639,0.5818
13modified,2,2,1135046305,0.6909
13modified,2,2,1136673452,0.5758
13modified,2,2,1139519006,0.6727
13modified,2,2,1142522534,0.6303
13modified,2,2,1142939550,0.6848
13modified,2,2,114377959,0.8242
13modified,2,2,1145291479,0.5636
13modified,2,2,1146156514,0.6424
13modified,2,2,1147550417,0.6242
13modified,2,2,1149830807,0.6909
13modified,2,2,1155639973,0.5636
13modified,2,2,1155891444,0.6303
13modified,2,2,1159489341,0.5333
13modified,2,2,1162872328,0.6061
13modified,2,2,1167011987,0.6121
13modified,2,2,1169792658,0.7394
13modified,2,2,1171014521,0.7091
13modified,2,2,1178784374,0.6364
13modified,2,2,1183797369,0.6667
13modified,2,2,1186176483,0.6242
13modified,2,2,1192677612,0.7152
13modified,2,2,1193792032,0.7758
13modified,2,2,1194985378,0.7333
13modified,2,2,1199531675,0.6606
13modified,2,2,1200927952,0.7333
13modified,2,2,1202129395,0.7697
13modified,2,2,1204101775,0.6424
13modified,2,2,120821728,0.6061
13modified,2,2,1209579793,0.5697
13modified,2,2,1212215879,0.6788
13modified,2,2,122635625,0.7758
13modified,2,2,1227577445,0.6061
13modified,2,2,1228198418,0.5697
13modified,2,2,123189233,0.5758
13modified,2,2,1235981403,0.5515
13modified,2,2,1240176584,0.5939
13modified,2,2,1240299279,0.7333
13modified,2,2,1242518622,0.6303
13modified,2,2,124266884,0.6727
13modified,2,2,1251498563,0.5939
13modified,2,2,1252036614,0.6848
13modified,2,2,1253107369,0.6667
13modified,2,2,1255139461,0.6061
13modified,2,2,1255669650,0.7030
13modified,2,2,1257357596,0.6667
13modified,2,2,1258275574,0.6667
13modified,2,2,1263347706,0.7091
13modified,2,2,1265971353,0.5455
13modified,2,2,1269366966,0.7333
13modified,2,2,1269791582,0.6667
13modified,2,2,1277682281,0.6606
13modified,2,2,1283478101,0.6485
13modified,2,2,1287767715,0.6606
13modified,2,2,1288857642,0.6606
13modified,2,2,1291548070,0.7455
13modified,2,2,1292230913,0.6485
13modified,2,2,1297727388,0.6303
13modified,2,2,1300976644,0.6727
13modified,2,2,130354990,0.6788
13modified,2,2,1306795621,0.7030
13modified,2,2,1309141301,0.7333
13modified,2,2,131185941,0.7091
13modified,2,2,1319532366,0.6667
13modified,2,2,1325760068,0.6909
13modified,2,2,1326361826,0.5394
13modified,2,2,1328749068,0.5939
13modified,2,2,1330251040,0.6667
13modified,2,2,1332648363,0.6485
13modified,2,2,133731022,0.6970
13modified,2,2,1337339810,0.7818
13modified,2,2,1337776267,0.6061
13modified,2,2,1339053847,0.6121
13modified,2,2,1341278904,0.7152
13modified,2,2,1343157791,0.7697
13modified,2,2,1345449191,0.6121
13modified,2,2,1349486188,0.6242
13modified,2,2,135608223,0.5152
13modified,2,2,1359235740,0.6667
13modified,2,2,1364203706,0.6121
13modified,2,2,1369419591,0.6545
13modified,2,2,137728920,0.5152
