level,M,N,seed,densityMetric
13modified,14,2,100334696,0.2242
13modified,14,2,1005713264,0.2242
13modified,14,2,1010932164,0.2242
13modified,14,2,1012869568,0.2242
13modified,14,2,1021967227,0.2242
13modified,14,2,1033033434,0.2242
13modified,14,2,1033854624,0.2242
13modified,14,2,1034628327,0.2242
13modified,14,2,1041640248,0.2242
13modified,14,2,1042768624,0.2242
13modified,14,2,1044706667,0.2242
13modified,14,2,1045197443,0.3879
13modified,14,2,1045985721,0.2242
13modified,14,2,1049469142,0.2242
13modified,14,2,104993245,0.2242
13modified,14,2,1051467736,0.3879
13modified,14,2,1055293516,0.2242
13modified,14,2,106470709,0.2242
13modified,14,2,1066819082,0.2242
13modified,14,2,1071405622,0.2242
13modified,14,2,1072816653,0.2242
13modified,14,2,1074205656,0.2242
13modified,14,2,107858546,0.2242
13modified,14,2,1081831131,0.2242
13modified,14,2,1085292328,0.2242
13modified,14,2,1086993038,0.2242
13modified,14,2,1090021741,0.2242
13modified,14,2,1095229560,0.3879
13modified,14,2,1099242507,0.2242
13modified,14,2,1119739660,0.2242
13modified,14,2,1119913660,0.2242
13modified,14,2,1121788155,0.2242
13modified,14,2,1122891000,0.3879
13modified,14,2,1123116722,0.2242
13modified,14,2,1125748041,0.2242
13modified,14,2,112714695,0.2242
13modified,14,2,112803900,0.2242
13modified,14,2,1131392376,0.2242
13modified,14,2,1137791056,0.2242
13modified,14,2,1140268074,0.2242
13modified,14,2,1142192008,0.2242
13modified,14,2,1149310547,0.2242
13modified,14,2,1149395731,0.2242
13modified,14,2,1149675945,0.2242
13modified,14,2,1151948236,0.2242
13modified,14,2,1159043200,0.2242
13modified,14,2,1167164095,0.2242
13modified,14,2,1168528864,0.2242
13modified,14,2,1170387944,0.2242
13modified,14,2,1170753960,0.2242
13modified,14,2,1183217684,0.2242
13modified,14,2,1183839141,0.2242
13modified,14,2,1186326919,0.2242
13modified,14,2,1198305612,0.2242
13modified,14,2,1200800358,0.2242
13modified,14,2,1205118578,0.2242
13modified,14,2,1208064624,0.2242
13modified,14,2,1208894535,0.2242
13modified,14,2,1220846468,0.2242
13modified,14,2,1222949588,0.2242
13modified,14,2,1232002747,0.3879
13modified,14,2,1235717330,0.2242
13modified,14,2,1235792259,0.2242
13modified,14,2,123988852,0.2242
13modified,14,2,1240105649,0.2242
13modified,14,2,1245146245,0.2242
13modified,14,2,12481666,0.2242
13modified,14,2,1248990245,0.2242
13modified,14,2,1271901802,0.2242
13modified,14,2,1284670388,0.2242
13modified,14,2,128849205,0.2242
13modified,14,2,1294751766,0.2242
13modified,14,2,1295454644,0.2242
13modified,14,2,1299476798,0.2242
13modified,14,2,1300485353,0.2242
13modified,14,2,1305346275,0.2242
13modified,14,2,130581915,0.2242
13modified,14,2,1306616824,0.2242
13modified,14,2,1308353909,0.2242
13modified,14,2,1308551323,0.2242
13modified,14,2,1315827889,0.2242
13modified,14,2,1317356462,0.2242
13modified,14,2,1318081265,0.2242
13modified,14,2,1321452978,0.2242
13modified,14,2,1322707071,0.2242
13modified,14,2,1327951166,0.2242
13modified,14,2,1334016119,0.2242
13modified,14,2,1336996873,0.2242
13modified,14,2,1342400852,0.2242
13modified,14,2,1343326420,0.2242
13modified,14,2,134574967,0.2242
