level,M,N,seed,densityMetric
12,14,6,1019659450,1.2150
12,14,6,1021099093,1.2150
12,14,6,1029969684,1.2150
12,14,6,1030554212,1.2150
12,14,6,1032168601,1.2150
12,14,6,1033844229,1.2150
12,14,6,1037422260,1.2150
12,14,6,1038969356,1.2150
12,14,6,1045450567,1.2150
12,14,6,1057658027,1.2150
12,14,6,1066319765,1.2150
12,14,6,1070253909,1.2150
12,14,6,1071951939,1.2150
12,14,6,1072385085,1.2150
12,14,6,1073004428,1.2150
12,14,6,1074217102,1.2150
12,14,6,1077287342,1.2150
12,14,6,1078042639,1.2150
12,14,6,1084909320,1.2150
12,14,6,1089062733,1.2150
12,14,6,1090658290,1.2150
12,14,6,1090816095,1.2150
12,14,6,109238692,1.2150
12,14,6,1093873651,1.2150
12,14,6,1100927448,1.2150
12,14,6,1107108192,1.2150
12,14,6,1107888539,1.2150
12,14,6,1119206168,1.2150
12,14,6,1121933026,1.2150
12,14,6,1122967096,1.2150
12,14,6,1127490420,1.2150
12,14,6,112806606,1.2150
12,14,6,113323798,1.2150
12,14,6,1139879384,1.2150
12,14,6,1143407588,1.2150
12,14,6,1145613346,1.2150
12,14,6,1150694832,1.2150
12,14,6,1158588681,1.2150
12,14,6,1159229807,1.2150
12,14,6,1159436930,1.2150
12,14,6,1172963202,1.2150
12,14,6,1174155956,1.2150
12,14,6,1175696474,1.2150
12,14,6,1190239199,1.2150
12,14,6,1190792368,1.2150
12,14,6,1193402462,1.2150
12,14,6,1195844824,1.2150
12,14,6,1202452314,1.2150
12,14,6,1211801780,1.2150
12,14,6,1217073149,1.2150
12,14,6,1220078934,1.2150
12,14,6,1221765556,1.2150
12,14,6,1231157564,1.2150
12,14,6,1238465891,1.2150
12,14,6,1241748122,1.2150
12,14,6,1245105991,1.2150
12,14,6,1247864065,1.2150
12,14,6,1257734600,1.2150
12,14,6,1263216648,1.2150
12,14,6,1267906690,1.2150
12,14,6,1269061285,1.2150
12,14,6,127275858,1.2150
12,14,6,127499937,1.2150
12,14,6,1285502751,1.2150
12,14,6,1285648669,1.2150
12,14,6,1293197896,1.2150
12,14,6,1303584961,1.2150
12,14,6,1306879460,1.2150
12,14,6,1309797170,1.2150
12,14,6,1315438172,1.2150
12,14,6,1320738817,1.2150
12,14,6,1331195643,1.2150
12,14,6,1332776861,1.2150
12,14,6,1335536686,1.2150
12,14,6,1338718840,1.2150
12,14,6,1339359277,1.2150
12,14,6,134066263,1.2150
12,14,6,1342307747,1.2150
12,14,6,1350797143,1.2150
12,14,6,1358054861,1.2150
12,14,6,1366640799,1.2150
12,14,6,1368021741,1.2150
12,14,6,1368070768,1.2150
12,14,6,1375710098,1.2150
12,14,6,1376033324,1.2150
12,14,6,1377029552,1.2150
12,14,6,1378383769,1.2150
12,14,6,1384048965,1.2150
12,14,6,1387405638,1.2150
12,14,6,139695237,1.2150
12,14,6,1401559577,1.2150
12,14,6,1404375611,1.2150
12,14,6,1404920320,1.2150
12,14,6,1410669116,1.2150
12,14,6,1411392765,1.2150
12,14,6,1413752182,1.2150
12,14,6,1413872660,1.2150
12,14,6,1414004282,1.2150
12,14,6,141449081,1.2150
12,14,6,1415747856,1.2150
12,14,6,1417678546,1.2150
12,14,6,1417980701,1.2150
12,14,6,1418725338,1.2150
12,14,6,1419573076,1.2150
12,14,6,1423665280,1.2150
12,14,6,1424550151,1.2150
12,14,6,1425578135,1.2150
12,14,6,1427309220,1.2150
12,14,6,1431116622,1.2150
12,14,6,1438749252,1.2150
12,14,6,1440164350,1.2150
12,14,6,1447685842,1.2150
12,14,6,1449184576,1.2150
12,14,6,1453099333,1.2150
12,14,6,1458575660,1.2150
12,14,6,1459925811,1.2150
12,14,6,1463196025,1.2150
12,14,6,1470031913,1.2150
12,14,6,1487862453,1.2150
12,14,6,1489807749,1.2150
12,14,6,1491267988,1.2150
12,14,6,149413870,1.2150
12,14,6,1495869532,1.2150
12,14,6,1499150154,1.2150
12,14,6,1503446392,1.2150
12,14,6,1505506112,1.2150
12,14,6,1514225743,1.2150
12,14,6,1515113255,1.2150
12,14,6,1517061795,1.2150
