level,M,N,seed,densityMetric
all,1,1,1001641798,1.8663
all,1,1,1004306364,1.7426
all,1,1,1010978582,1.8861
all,1,1,1022846210,1.8812
all,1,1,1023722256,1.8317
all,1,1,1033480057,1.8366
all,1,1,1036474372,1.8564
all,1,1,1037401273,1.6782
all,1,1,1038218488,1.9059
all,1,1,1038240813,1.7871
all,1,1,1041135095,1.8861
all,1,1,1052850471,1.7970
all,1,1,1053293722,1.9554
all,1,1,1059209602,1.8564
all,1,1,1061751410,1.7772
all,1,1,1062255042,1.6386
all,1,1,1064032374,1.8762
all,1,1,1064486697,1.8119
all,1,1,106587538,1.9059
all,1,1,1068183337,1.7426
all,1,1,1082073250,1.7723
all,1,1,1083026305,1.8515
all,1,1,1093253708,1.8911
all,1,1,1094988923,1.7426
all,1,1,1096341932,1.7178
all,1,1,1099891794,2.0396
all,1,1,1108994755,1.8267
all,1,1,1116182691,1.7129
all,1,1,1121515410,1.9257
all,1,1,112743658,1.8069
all,1,1,1128081783,1.8960
all,1,1,1130403943,1.8663
all,1,1,1135500214,1.7178
all,1,1,1138184120,1.8564
all,1,1,1139765352,1.8713
all,1,1,1142181782,1.6733
all,1,1,1154008721,1.8465
all,1,1,1157790512,1.8069
all,1,1,1161547704,1.7772
all,1,1,1164368824,1.8416
all,1,1,1174427787,1.8663
all,1,1,1174462524,1.7624
all,1,1,1175519146,1.7921
all,1,1,1182202028,1.7970
all,1,1,1182440019,1.7129
all,1,1,1201170237,1.7970
all,1,1,1201565253,1.8960
all,1,1,1211334439,1.9109
all,1,1,1218616460,1.9653
all,1,1,1218917431,1.8267
all,1,1,1222143675,1.7129
all,1,1,1223901321,1.9059
all,1,1,1226275373,1.7723
all,1,1,1226979448,1.9109
all,1,1,1233913320,1.6535
all,1,1,1237131333,1.7921
all,1,1,1239558035,1.7525
all,1,1,1244728759,1.9109
all,1,1,1246105016,1.7525
all,1,1,124711068,1.7228
all,1,1,1250181728,1.9010
all,1,1,1270720746,1.8317
all,1,1,1288215810,1.7772
all,1,1,1288751559,1.8218
all,1,1,1292333361,1.7277
all,1,1,1292918822,1.7129
all,1,1,1293461712,1.8416
all,1,1,1300823014,1.7723
all,1,1,1304407919,1.7376
all,1,1,1305376595,1.8861
all,1,1,1310759371,1.7624
all,1,1,1315379481,1.8218
all,1,1,1315459146,2.0000
all,1,1,1317062028,1.9455
all,1,1,1317484954,1.8465
all,1,1,1318180947,1.7772
all,1,1,1318721770,1.7871
all,1,1,1319364568,1.8713
all,1,1,1320567837,1.7772
all,1,1,1326000153,1.7624
all,1,1,1336493410,1.9208
all,1,1,1337026208,1.7772
all,1,1,1341796865,1.8465
all,1,1,1348972292,1.9059
all,1,1,1351344834,1.8069
all,1,1,1354571885,1.7426
all,1,1,1355696803,1.9901
all,1,1,1356823191,1.8218
all,1,1,1360479120,1.8663
all,1,1,1360595726,1.8614
all,1,1,1367920983,1.8515
all,1,1,1370452686,1.7475
all,1,1,1371795951,1.7673
all,1,1,137493304,1.7723
all,1,1,1375056305,1.8515
all,1,1,1380206301,1.8564
all,1,1,138257890,1.9505
all,1,1,1390070123,1.8515
all,1,1,1397766369,1.8663
all,1,1,1409932949,1.8168
all,1,1,1410120414,1.8812
all,1,1,1411552849,1.7921
all,1,1,1411736710,1.7574
all,1,1,1411740561,1.8317
all,1,1,1412314167,1.7228
all,1,1,1414909128,1.8465
all,1,1,1415951383,1.8267
all,1,1,1417221407,1.8168
all,1,1,1417484602,1.7277
all,1,1,1420211928,1.8564
all,1,1,1423060993,1.8416
all,1,1,1423682194,1.7970
all,1,1,1424869980,1.8020
all,1,1,142497295,1.6584
all,1,1,1430247905,1.9505
all,1,1,1431277483,1.8663
all,1,1,1440176088,1.8020
all,1,1,1444118058,2.0099
all,1,1,1453438136,1.7376
all,1,1,1457672976,1.7624
all,1,1,1459827370,1.8267
all,1,1,1460988487,1.8812
all,1,1,1461249056,1.9604
all,1,1,1480296753,1.8317
all,1,1,1483337579,1.8911
all,1,1,1486300823,1.8069
all,1,1,1497824864,1.8861
all,1,1,1504225597,1.8465
all,1,1,1504822265,1.8465
all,1,1,150604100,1.7525
all,1,1,1507258094,1.8762
all,1,1,1509632501,1.8069
all,1,1,1512170075,1.9257
all,1,1,1513047029,1.7723
all,1,1,1518358220,1.9109
all,1,1,1518938308,1.7871
all,1,1,1523850398,1.8515
all,1,1,152517913,1.8267
all,1,1,1526915281,1.8713
all,1,1,1529081495,1.6782
all,1,1,1531151360,1.8317
all,1,1,1533832136,1.7079
all,1,1,1536985943,1.8218
all,1,1,1540822946,1.8119
all,1,1,1542757796,1.9208
all,1,1,1544125195,1.7574
all,1,1,1548060002,1.8119
all,1,1,1550570586,2.0000
all,1,1,1554121271,1.7871
all,1,1,1554856959,1.9109
all,1,1,1558458571,1.8119
all,1,1,1558620065,1.7129
all,1,1,1558744933,1.8762
all,1,1,1560665819,1.8515
all,1,1,1563161544,1.8960
all,1,1,1566290996,1.8267
all,1,1,1567196103,1.7970
all,1,1,1570020736,1.8960
all,1,1,1574474500,1.8119
all,1,1,15748236,1.9010
all,1,1,158096177,1.8663
all,1,1,1588781947,1.7871
all,1,1,1592441808,1.7178
all,1,1,1603146689,1.8267
all,1,1,1603190713,1.8465
all,1,1,160467324,1.9356
all,1,1,1607319672,1.7624
all,1,1,1620304846,1.7574
all,1,1,1626218762,1.7772
all,1,1,1628223853,1.6089
all,1,1,1628951581,1.8020
all,1,1,1631665248,1.8762
all,1,1,163283632,1.8020
all,1,1,164235501,1.8317
all,1,1,1643328992,1.8663
all,1,1,164852610,1.8168
all,1,1,1656959271,1.8020
all,1,1,1658142994,1.7822
all,1,1,1668855359,1.8020
all,1,1,1669481184,1.8515
all,1,1,1671092238,1.9257
all,1,1,1672264654,1.8762
all,1,1,1674872915,1.8168
all,1,1,1678038194,1.7723
all,1,1,1685411538,1.8317
all,1,1,1694120380,1.7525
all,1,1,1702785442,1.7178
all,1,1,1704858203,1.8465
all,1,1,1712995159,1.8366
all,1,1,1718825415,1.8663
all,1,1,1726355006,1.8168
