level,M,N,seed,densityMetric
all,14,2,1001427231,0.9762
all,14,2,1004306364,0.9714
all,14,2,1010978582,1.0238
all,14,2,1022846210,0.9095
all,14,2,1023722256,1.6286
all,14,2,1033480057,1.5762
all,14,2,103718413,0.9810
all,14,2,1037401273,0.9350
all,14,2,1038218488,0.9183
all,14,2,1038240813,0.9905
all,14,2,1052850471,0.9750
all,14,2,1053293722,1.0238
all,14,2,1059209602,1.0095
all,14,2,1060434707,1.0619
all,14,2,1061751410,0.9905
all,14,2,1062255042,1.0095
all,14,2,1064032374,0.9667
all,14,2,106587538,0.9190
all,14,2,1076245341,0.9619
all,14,2,1082073250,0.9190
all,14,2,1083026305,1.0000
all,14,2,1087632942,1.0000
all,14,2,1093253708,1.0048
all,14,2,1094988923,1.0333
all,14,2,1096341932,1.0333
all,14,2,1099891794,1.1381
all,14,2,1107405273,0.9810
all,14,2,1108994755,0.9619
all,14,2,1116182691,1.0048
all,14,2,112743658,1.5619
all,14,2,1128081783,0.9714
all,14,2,1135500214,1.0476
all,14,2,1139122773,0.9857
all,14,2,1139158243,1.0143
all,14,2,1139765352,1.0190
all,14,2,114569370,0.9143
all,14,2,1153118460,1.0095
all,14,2,1154008721,1.0714
all,14,2,1157790512,1.0524
all,14,2,1161547704,1.0000
all,14,2,1166211825,1.5048
all,14,2,1174427787,1.0286
all,14,2,1175519146,0.9320
all,14,2,1182440019,0.9650
all,14,2,1184347117,0.8810
all,14,2,1194991691,0.9857
all,14,2,1201170237,1.0905
all,14,2,1201565253,1.1000
all,14,2,1211334439,0.9905
all,14,2,1223901321,1.0048
all,14,2,1226275373,1.0571
all,14,2,1233913320,1.6238
all,14,2,1235501548,0.9048
all,14,2,1237131333,1.0238
all,14,2,1239558035,0.9000
all,14,2,1246105016,1.5667
all,14,2,124711068,0.9381
all,14,2,1250181728,0.9857
all,14,2,1270720746,1.0810
all,14,2,1288751559,0.9762
all,14,2,1292918822,0.9550
all,14,2,1293461712,1.5619
all,14,2,1300823014,1.1286
all,14,2,1305376595,1.0667
all,14,2,1315379481,1.0048
all,14,2,1315459146,1.0095
all,14,2,1317062028,1.0000
all,14,2,1317484954,1.5714
all,14,2,1318180947,0.9857
all,14,2,1318721770,1.0333
all,14,2,1319364568,0.9900
all,14,2,1336493410,1.0619
all,14,2,1337026208,0.9143
all,14,2,1339932215,1.0000
all,14,2,1341796865,0.9905
all,14,2,1344745010,1.0095
all,14,2,1348972292,1.0381
all,14,2,1351344834,0.9048
all,14,2,1352097030,1.0190
all,14,2,135342794,1.5476
all,14,2,1354571885,0.9905
all,14,2,1355696803,0.9810
all,14,2,1356823191,1.0000
all,14,2,1360479120,0.9500
all,14,2,1360595726,1.5619
all,14,2,1362529068,0.9050
all,14,2,1367920983,1.0143
all,14,2,1369990613,1.0048
all,14,2,1370452686,1.0381
all,14,2,1371795951,1.0333
all,14,2,137493304,0.9095
all,14,2,1375056305,0.9048
all,14,2,1380206301,1.0571
all,14,2,1390070123,0.9200
all,14,2,1396239170,0.9857
all,14,2,1398092379,0.9810
all,14,2,1409932949,1.0333
all,14,2,1410120414,0.9714
all,14,2,1411552849,1.0857
all,14,2,1411736710,1.0381
all,14,2,1411740561,1.0333
all,14,2,1412314167,0.9714
all,14,2,1415951383,0.9905
all,14,2,1417221407,1.5476
all,14,2,1417484602,1.0000
all,14,2,1419094134,0.8905
all,14,2,1420211928,0.9095
all,14,2,1423060993,0.9143
all,14,2,1423682194,1.0000
all,14,2,1424869980,0.9857
all,14,2,142497295,1.5400
all,14,2,1431277483,1.0000
all,14,2,1438904696,1.0190
all,14,2,1444118058,1.0238
all,14,2,1453438136,1.0095
all,14,2,1460318742,1.0000
all,14,2,1460988487,1.0381
all,14,2,1489522858,1.0286
all,14,2,14936278,0.9667
all,14,2,1497824864,0.9143
all,14,2,1504225597,0.9350
all,14,2,1504822265,1.0381
all,14,2,1507258094,0.9095
all,14,2,1509632501,1.0810
all,14,2,1512170075,1.0143
all,14,2,1518358220,0.9190
all,14,2,1518938308,1.0238
all,14,2,1523850398,0.9250
all,14,2,152517913,0.9143
all,14,2,1526915281,0.9808
all,14,2,1529081495,1.0000
all,14,2,1531151360,1.0333
all,14,2,1533832136,0.9952
all,14,2,1536985943,1.0143
all,14,2,1542757796,1.0381
all,14,2,1544125195,0.9350
all,14,2,1548060002,0.9810
all,14,2,1550570586,1.0000
all,14,2,1554121271,1.0095
all,14,2,1554856959,0.9667
all,14,2,1557594736,1.0286
all,14,2,15576454,1.0905
all,14,2,1558620065,1.5571
all,14,2,1563161544,0.9619
all,14,2,1566290996,0.9619
all,14,2,1567196103,0.9810
all,14,2,1569382399,1.0000
all,14,2,1570020736,1.0095
all,14,2,1574474500,0.9333
all,14,2,158096177,1.5550
all,14,2,159039989,1.5571
all,14,2,1592441808,0.9095
all,14,2,1603146689,1.0000
all,14,2,1603190713,0.9952
all,14,2,160467324,1.0048
all,14,2,1620304846,1.5571
all,14,2,1624753699,0.9900
all,14,2,1626218762,1.0619
all,14,2,1631665248,0.9048
all,14,2,1632367675,0.9000
all,14,2,163283632,0.9952
all,14,2,164235501,0.9000
all,14,2,1643328992,0.9619
all,14,2,164852610,0.9810
all,14,2,1648656660,1.0286
all,14,2,1650138398,0.9333
all,14,2,1656599052,0.9905
all,14,2,1658142994,1.0048
all,14,2,1659476663,1.0476
all,14,2,1662800513,1.0143
all,14,2,1668855359,0.9905
all,14,2,1669481184,0.9857
all,14,2,1671092238,0.9857
all,14,2,1672264654,1.5667
all,14,2,1673866035,0.9762
all,14,2,1674872915,1.0000
all,14,2,1676356190,1.0000
all,14,2,1678038194,0.9714
all,14,2,1685411538,1.0190
all,14,2,1689951679,0.9667
all,14,2,1692967933,1.0095
all,14,2,1694120380,0.9048
all,14,2,1702785442,1.0238
all,14,2,1704858203,0.9476
all,14,2,1712995159,0.9810
all,14,2,1715452240,1.5874
all,14,2,1718825415,0.9810
all,14,2,1727614195,0.9143
all,14,2,1729283793,1.0048
all,14,2,1731241459,0.9905
all,14,2,173324371,0.9333
all,14,2,1734983820,0.9476
all,14,2,1736927955,0.9808
all,14,2,1741266142,0.9095
all,14,2,1743264730,0.9619
all,14,2,1750180420,1.0286
all,14,2,1754382556,1.0000
all,14,2,1754719726,0.9810
all,14,2,1756515094,0.9143
all,14,2,1777983941,0.9143
all,14,2,1779847919,0.9952
all,14,2,1780018293,0.9857
all,14,2,1784400485,0.9524
all,14,2,1785013374,0.9000
all,14,2,1787008643,1.0524
all,14,2,1788846950,1.5500
all,14,2,1792465840,1.0476
all,14,2,1801207137,0.9905
all,14,2,1815806383,1.0476
all,14,2,18161333,1.5667
all,14,2,1818025879,1.5350
all,14,2,1818238838,1.0238
all,14,2,1824186194,0.9190
all,14,2,1829040536,0.9667
all,14,2,1829568691,1.5286
all,14,2,1839067692,0.9952
all,14,2,1841583134,0.9048
all,14,2,1852411569,0.9810
all,14,2,1852916457,0.9762
all,14,2,1856426629,0.9300
all,14,2,1860824840,0.9190
all,14,2,1862133219,1.0190
all,14,2,1862386922,0.9857
all,14,2,1862766611,0.9272
all,14,2,1877706133,1.0000
all,14,2,1880502128,0.9524
all,14,2,1882413127,0.9762
all,14,2,1884638580,0.9905
all,14,2,1888822265,0.9571
all,14,2,1889160883,0.9048
all,14,2,189503870,1.0000
all,14,2,1906721907,0.9762
all,14,2,1908253110,0.9810
all,14,2,1909541276,1.5571
all,14,2,1909667671,0.9857
all,14,2,1910179968,1.5450
all,14,2,191544278,1.0857
all,14,2,1932700662,1.0286
all,14,2,1934380881,1.5762
all,14,2,1935573920,1.0095
all,14,2,193817994,0.9857
all,14,2,1943721331,0.9905
all,14,2,1944444860,0.9857
all,14,2,1951682096,0.9714
all,14,2,1959144122,1.0095
all,14,2,1962030729,1.5667
all,14,2,1963862649,0.9048
all,14,2,196678503,0.9200
all,14,2,1979947027,1.0286
all,14,2,1988477966,0.9143
all,14,2,1991756781,1.0238
all,14,2,2002329122,0.9856
all,14,2,2008129550,1.0524
all,14,2,2012597537,0.9143
all,14,2,2013354758,0.9143
all,14,2,2013622268,0.9000
all,14,2,2017579353,1.0714
all,14,2,2018523250,1.0190
all,14,2,2027728826,0.9190
all,14,2,2028711105,1.0619
all,14,2,2030551235,0.9524
all,14,2,2032613547,0.9905
all,14,2,2032709290,0.9524
all,14,2,2037277650,0.9333
all,14,2,2042598215,0.9857
all,14,2,2047260970,0.9238
all,14,2,2049513134,0.9762
all,14,2,2055253150,0.9667
all,14,2,2055260352,0.9810
all,14,2,2056543553,1.0143
all,14,2,2061859894,0.9143
all,14,2,2063672426,0.9048
all,14,2,2065215352,1.0429
all,14,2,2067349480,0.9800
all,14,2,2072683941,0.9100
all,14,2,2073032659,0.9143
all,14,2,2078900831,0.9118
all,14,2,2086595122,1.0524
all,14,2,2089336133,0.9619
all,14,2,2090721879,0.9810
all,14,2,2090749135,1.0333
all,14,2,2090954088,1.0571
all,14,2,2091484725,1.5524
all,14,2,2092361915,1.0333
all,14,2,209515778,0.9429
all,14,2,2103026780,1.0238
all,14,2,2105993330,1.0190
all,14,2,2108898892,0.9333
all,14,2,2113753870,0.9143
all,14,2,2114264718,0.9571
all,14,2,2115404849,0.9524
all,14,2,2117413851,0.9327
all,14,2,2127934901,0.9619
all,14,2,2128996900,1.0381
all,14,2,2137861924,0.9714
all,14,2,2138390668,0.9952
all,14,2,2139588327,1.0190
all,14,2,2141009491,0.9476
all,14,2,2142329768,1.0381
all,14,2,21492040,1.0381
all,14,2,21930459,1.0238
all,14,2,22353703,1.0095
all,14,2,225999372,1.0437
all,14,2,229019102,0.9190
all,14,2,240806326,0.9762
all,14,2,245480496,1.0048
all,14,2,249834250,1.0619
all,14,2,258976179,0.9762
all,14,2,264279916,1.0524
all,14,2,264663592,1.0048
all,14,2,265717410,1.0333
all,14,2,271483271,1.5143
all,14,2,274764836,1.5667
all,14,2,278340220,0.9524
all,14,2,284763583,1.0524
all,14,2,285564450,1.0190
all,14,2,287790814,1.0190
all,14,2,289601912,0.9810
all,14,2,29449191,1.0286
all,14,2,294796082,0.9619
all,14,2,296427284,1.0238
all,14,2,297609666,1.0333
all,14,2,299935324,1.0000
all,14,2,301730690,1.0000
all,14,2,302208530,0.9524
all,14,2,324011762,0.9400
all,14,2,324572755,0.9762
all,14,2,33638186,1.5728
all,14,2,341624428,0.9850
all,14,2,344217223,0.9143
all,14,2,345247305,0.9952
all,14,2,355989640,0.9952
all,14,2,359794293,1.0190
all,14,2,3656297,0.9190
all,14,2,366484697,0.9619
all,14,2,368129150,0.9150
all,14,2,368625471,0.9286
all,14,2,370025683,0.9619
all,14,2,371309519,0.9952
all,14,2,374447600,0.9500
all,14,2,374930229,0.9762
all,14,2,379926920,1.5667
all,14,2,382183064,0.9333
all,14,2,383668415,1.0571
all,14,2,383766180,0.9810
all,14,2,385250073,0.9333
all,14,2,38827726,0.9952
all,14,2,391403007,0.9857
all,14,2,392731427,1.0238
all,14,2,398152021,1.0333
all,14,2,400535179,0.8667
all,14,2,405620869,0.9095
all,14,2,410300769,1.0714
all,14,2,414818884,0.9143
all,14,2,414893779,1.0714
all,14,2,416875994,0.9714
all,14,2,424661845,0.9810
all,14,2,427683939,1.0143
all,14,2,431618020,0.9857
all,14,2,43661461,1.0048
all,14,2,437622381,0.9619
all,14,2,442352065,1.0238
all,14,2,445233199,1.0000
all,14,2,456454537,0.8905
all,14,2,460638624,0.9500
all,14,2,467807963,0.9143
all,14,2,471784060,0.9500
all,14,2,477577058,1.0048
all,14,2,478745059,0.9905
all,14,2,478872772,0.9714
all,14,2,479368371,0.9810
all,14,2,484458108,0.9476
all,14,2,485240562,1.0190
all,14,2,487804032,0.9571
all,14,2,488729533,1.0238
all,14,2,489878915,0.9800
all,14,2,496550176,0.9048
all,14,2,501480951,1.6952
all,14,2,507605578,0.9429
all,14,2,511027599,1.0238
all,14,2,51216678,1.0000
all,14,2,5122976,1.5286
all,14,2,51267008,0.9760
all,14,2,51321412,0.9667
all,14,2,513719574,0.9190
all,14,2,515130950,1.0048
all,14,2,531925169,0.9143
all,14,2,533917039,0.9381
all,14,2,548857900,0.9476
all,14,2,556700241,1.0000
all,14,2,557424792,0.9190
all,14,2,560717774,0.9857
all,14,2,563274892,0.9190
all,14,2,563364277,1.6143
all,14,2,570945810,0.9571
all,14,2,575742562,0.9810
