level,M,N,seed,densityMetric
12,6,6,100356515,1.2150
12,6,6,1017096710,1.2150
12,6,6,1019659450,1.2150
12,6,6,1019686564,1.2150
12,6,6,1021099093,1.2150
12,6,6,1028181055,1.2150
12,6,6,1028221476,1.2150
12,6,6,1032168601,1.2150
12,6,6,1035347563,1.2150
12,6,6,1047582324,1.2150
12,6,6,1047730424,1.2150
12,6,6,1052804778,1.2150
12,6,6,1063935025,1.2150
12,6,6,1070253909,1.2150
12,6,6,1073177884,1.2150
12,6,6,1073656638,1.2150
12,6,6,1078042639,1.2150
12,6,6,1078143893,1.2150
12,6,6,1089062733,1.2150
12,6,6,1090355814,1.2150
12,6,6,1090658290,1.2150
12,6,6,109238692,1.2150
12,6,6,1093873651,1.2150
12,6,6,1100744875,1.2150
12,6,6,1105137414,1.2150
12,6,6,1112607938,1.2150
12,6,6,1113958621,1.2150
12,6,6,1127490420,1.2150
12,6,6,113323798,1.2150
12,6,6,1138809542,1.2150
12,6,6,1144887126,1.2150
12,6,6,1146759050,1.2150
12,6,6,1148296322,1.2150
12,6,6,1158550516,1.2150
12,6,6,1158588681,1.2150
12,6,6,1159229807,1.2150
12,6,6,1172244741,1.2150
12,6,6,1172745126,1.2150
12,6,6,1172963202,1.2150
12,6,6,1174155956,1.2150
12,6,6,1186157259,1.2150
12,6,6,1193402462,1.2150
12,6,6,1194429390,1.2150
12,6,6,1201381914,1.2150
12,6,6,1207965399,1.2150
12,6,6,1209017041,1.2150
12,6,6,1209580885,1.2150
12,6,6,121281623,1.2150
12,6,6,1214181327,1.2150
12,6,6,1217073149,1.2150
12,6,6,1220078934,1.2150
12,6,6,1220952180,1.2150
12,6,6,1223440064,1.2150
12,6,6,1223787389,1.2150
12,6,6,1234086989,1.2150
12,6,6,1237584719,1.2150
12,6,6,1238465891,1.2150
12,6,6,1241748122,1.2150
12,6,6,1247864065,1.2150
12,6,6,1254781923,1.2150
12,6,6,1257734600,1.2150
12,6,6,1259787192,1.2150
12,6,6,1267906690,1.2150
