level,M,N,seed,densityMetric
6,6,6,1004239811,1.0671
6,6,6,1005964950,1.0671
6,6,6,1006974512,1.0671
6,6,6,1014175793,1.0671
6,6,6,1014989157,1.0671
6,6,6,1018891292,1.0671
6,6,6,102098671,1.0671
6,6,6,1023696156,1.0671
6,6,6,102644413,1.0671
6,6,6,1028515517,1.0671
6,6,6,1028522023,1.0671
6,6,6,1029167165,1.0671
6,6,6,1037863751,1.0671
6,6,6,1051994494,1.0671
6,6,6,1054588214,1.0671
6,6,6,1066149829,1.0671
6,6,6,1068970228,1.0671
6,6,6,1073406581,1.0671
6,6,6,1077623985,1.0671
6,6,6,1086823014,1.0671
6,6,6,1088894953,1.0671
6,6,6,1092341462,1.0671
6,6,6,1093240956,1.0671
6,6,6,1093903480,1.0671
6,6,6,1095835839,1.0671
6,6,6,1096152006,1.0671
6,6,6,1097460878,1.0671
6,6,6,1101140830,1.0671
6,6,6,1105325507,1.0671
6,6,6,1117264835,1.0671
6,6,6,1117482794,1.0671
6,6,6,1125561878,1.0671
6,6,6,1125779311,1.0671
6,6,6,1126386745,1.0671
6,6,6,1126747195,1.0671
6,6,6,1128746987,1.0671
6,6,6,1139301294,1.0671
6,6,6,1140812706,1.0671
6,6,6,11520671,1.0671
6,6,6,1160445725,1.0671
6,6,6,1160758225,1.0671
6,6,6,1165402158,1.0671
6,6,6,1177792585,1.0671
6,6,6,1183345214,1.0671
6,6,6,1185497717,1.0671
6,6,6,118752165,1.0671
6,6,6,1190431863,1.0671
6,6,6,1190906171,1.0671
6,6,6,1195188908,1.0671
6,6,6,1197771728,1.0671
6,6,6,120018352,1.0671
6,6,6,1203528950,1.0671
6,6,6,120479088,1.0671
6,6,6,121080134,1.0671
6,6,6,1213383238,1.0671
6,6,6,1216599388,1.0671
6,6,6,1219294602,1.0671
6,6,6,1221640622,1.0671
6,6,6,1225415392,1.0671
6,6,6,1227535742,1.0671
6,6,6,1232898717,1.0671
6,6,6,1236318131,1.0671
6,6,6,1240663087,1.0671
6,6,6,1243452675,1.0671
6,6,6,125544131,1.0671
6,6,6,1258981787,1.0671
6,6,6,1262932591,1.0671
6,6,6,1273985955,1.0671
6,6,6,1274862409,1.0671
6,6,6,1276506797,1.0671
6,6,6,1279621929,1.0671
6,6,6,1284335956,1.0671
6,6,6,1291888977,1.0671
6,6,6,1293979300,1.0671
6,6,6,1295160573,1.0671
6,6,6,1295829747,1.0671
6,6,6,1300287810,1.0671
6,6,6,1301795816,1.0671
6,6,6,1303027903,1.0671
6,6,6,1310016403,1.0671
6,6,6,1323012996,1.0671
6,6,6,1327786990,1.0671
6,6,6,133227751,1.0671
6,6,6,1332528888,1.0671
6,6,6,133823778,1.0671
6,6,6,1341136234,1.0671
6,6,6,1345843321,1.0671
6,6,6,1346326101,1.0671
6,6,6,1351180682,1.0671
6,6,6,1356366221,1.0671
6,6,6,1356522169,1.0671
6,6,6,1358687573,1.0671
6,6,6,1364970099,1.0671
6,6,6,1368368215,1.0671
6,6,6,1368620696,1.0671
6,6,6,1369124396,1.0671
6,6,6,1370766593,1.0671
6,6,6,1370997845,1.0671
6,6,6,1373865584,1.0671
6,6,6,1377134233,1.0671
6,6,6,1377526203,1.0671
6,6,6,1377921102,1.0671
6,6,6,1387865902,1.0671
6,6,6,1388475310,1.0671
6,6,6,13892084,1.0671
6,6,6,1390645435,1.0671
6,6,6,1404655361,1.0671
6,6,6,1408885885,1.0671
6,6,6,1414473539,1.0671
6,6,6,1418227903,1.0671
6,6,6,1422190117,1.0671
6,6,6,1422935123,1.0671
6,6,6,1429355153,1.0671
6,6,6,14337133,1.0671
6,6,6,1438043308,1.0671
6,6,6,1438994028,1.0671
6,6,6,1442200411,1.0671
6,6,6,144430618,1.0671
6,6,6,1449100342,1.0671
