level,M,N,seed,densityMetric
all,5,5,1804438908,0.4878
all,5,5,1808128190,0.3024
all,5,5,1810152077,0.9707
all,5,5,1815502840,0.4653
all,5,5,1820512547,0.2217
all,5,5,1822464179,0.5941
all,5,5,1824956984,0.3122
all,5,5,1825488419,0.4179
all,5,5,1828966921,0.4146
all,5,5,1830373396,0.4406
all,5,5,1837713395,0.1535
all,5,5,1838032673,0.2906
all,5,5,1838937969,0.3300
all,5,5,1841556946,0.3069
all,5,5,1849402581,0.8000
all,5,5,1867812827,0.3941
all,5,5,1868855520,0.4505
all,5,5,1870807908,0.2829
all,5,5,1878580023,0.2871
all,5,5,1878775548,0.2970
all,5,5,1880983852,0.2921
all,5,5,188184168,0.8916
all,5,5,1898227500,0.3220
all,5,5,1907697578,0.5347
all,5,5,191174881,0.1415
all,5,5,191439923,0.7805
all,5,5,1917336757,0.4634
all,5,5,1918940945,0.9073
all,5,5,1922828137,0.4335
all,5,5,19311840,0.4878
all,5,5,1937119624,0.5512
all,5,5,1938773098,0.7122
all,5,5,1939891357,0.1415
all,5,5,1939940005,0.7561
all,5,5,1945143916,0.2512
all,5,5,1945639335,0.4307
all,5,5,1946606983,0.3122
all,5,5,1947447632,0.2341
all,5,5,1953365106,0.6847
all,5,5,1955034398,0.8341
all,5,5,195838010,0.2537
all,5,5,195977688,0.4776
all,5,5,1959825357,0.3793
all,5,5,1963976380,0.3663
all,5,5,1966716236,0.4537
all,5,5,1986057669,0.5561
all,5,5,1990798983,0.5248
all,5,5,1996947716,0.4554
all,5,5,2000199811,0.1415
all,5,5,2000306450,0.1881
all,5,5,2005043859,0.4627
all,5,5,2007612396,0.2098
all,5,5,2013523943,0.2512
all,5,5,2015328277,0.1931
all,5,5,2019515156,0.5122
all,5,5,2020515331,0.3005
all,5,5,202203218,0.5347
all,5,5,2024744468,0.1921
all,5,5,2027087295,1.2341
all,5,5,2040636482,0.4829
all,5,5,2040710369,0.4554
all,5,5,2046264025,0.3596
all,5,5,2049008756,0.5659
all,5,5,205001973,0.2049
all,5,5,2054686081,0.4604
all,5,5,2055369416,0.6749
all,5,5,2056997481,0.8488
all,5,5,2057577369,0.7178
all,5,5,2066947583,0.6390
all,5,5,2070659817,0.9507
all,5,5,20734412,1.1073
all,5,5,2077291580,0.4488
all,5,5,2078341576,0.7586
all,5,5,2079173192,0.2732
all,5,5,2079428781,0.1881
all,5,5,2079872684,0.6878
all,5,5,2082748034,0.3812
all,5,5,2087654357,0.5862
all,5,5,2087776005,0.2660
all,5,5,2089434362,1.0297
all,5,5,2094046888,0.4634
all,5,5,209445926,0.2098
all,5,5,2100526862,0.3122
all,5,5,2106660380,0.5463
all,5,5,2107990756,0.5099
all,5,5,2113093288,0.8976
all,5,5,2118673605,0.4488
all,5,5,2122508647,0.3122
all,5,5,2130840890,0.2426
all,5,5,2130938827,0.3547
all,5,5,2132771109,0.7340
all,5,5,2132958675,0.1782
all,5,5,2136960735,0.5561
all,5,5,2137081978,0.7756
all,5,5,2140575527,0.3731
all,5,5,218081446,0.5920
all,5,5,218313143,0.5961
all,5,5,21905654,0.2780
all,5,5,226468391,0.3512
all,5,5,226686917,0.3561
all,5,5,228284925,0.6585
all,5,5,233752417,0.7291
all,5,5,236603485,0.4257
all,5,5,247613769,0.5025
all,5,5,257368132,0.3218
all,5,5,258888277,0.5171
all,5,5,269391535,0.2488
all,5,5,277430631,0.4680
all,5,5,280434875,0.1773
all,5,5,282857416,0.6293
all,5,5,29266677,0.3707
all,5,5,29889531,0.3366
all,5,5,299139849,0.1724
all,5,5,30833401,0.1415
all,5,5,315038380,0.2129
all,5,5,317042239,0.2906
all,5,5,317071669,0.5616
all,5,5,31844379,0.5756
all,5,5,320186684,0.1659
all,5,5,324645371,0.8341
all,5,5,336746292,0.4752
all,5,5,340152887,0.3498
all,5,5,342341194,0.2069
all,5,5,343962807,0.7931
all,5,5,347723103,0.5297
all,5,5,34849609,0.4527
all,5,5,35272433,0.3399
