level,M,N,seed,densityMetric
2,6,6,1001427231,2.0127
2,6,6,1002366797,2.0127
2,6,6,1012057892,2.0380
2,6,6,1014717709,2.0380
2,6,6,1029147075,2.0380
2,6,6,1031702667,2.0380
2,6,6,1033622902,2.0127
2,6,6,1036408008,2.0127
2,6,6,1060434707,2.0380
2,6,6,1062984232,2.0380
2,6,6,1072567287,2.0127
2,6,6,1074708876,2.0380
2,6,6,107681155,2.0380
2,6,6,1078549398,2.0380
2,6,6,1080209692,2.0380
2,6,6,1083968067,2.0127
2,6,6,1085488272,2.0127
2,6,6,1087632942,2.0380
2,6,6,1089396935,2.0127
2,6,6,1090143313,2.0380
2,6,6,1098662423,2.0127
2,6,6,1099478714,2.0380
2,6,6,1103297900,2.0380
2,6,6,1107405273,2.0380
2,6,6,1114549085,2.0127
2,6,6,1116276044,2.0380
2,6,6,1122010857,2.0127
2,6,6,1123006755,2.0380
2,6,6,1125593924,2.0380
2,6,6,1126458828,2.0380
2,6,6,1128622077,2.0127
2,6,6,1134548914,2.0380
2,6,6,1134793784,2.0380
2,6,6,1137322580,2.0380
2,6,6,1139158243,2.0380
2,6,6,113916748,2.0380
2,6,6,1141551173,2.0380
2,6,6,1142188025,2.0380
2,6,6,1149167049,2.0127
2,6,6,1158033292,2.0380
2,6,6,1165476451,2.0380
2,6,6,1166211825,2.0380
2,6,6,1174108690,2.0127
2,6,6,1177393289,2.0380
2,6,6,1177454261,2.0127
2,6,6,1178363203,2.0380
2,6,6,1179151292,2.0380
2,6,6,1179578985,2.0127
2,6,6,1181884336,2.0380
2,6,6,1182818789,2.0380
2,6,6,1189013657,2.0380
2,6,6,1189897559,2.0380
2,6,6,1190018701,2.0380
2,6,6,1192020434,2.0380
2,6,6,1194355300,2.0380
2,6,6,1194991691,2.0127
2,6,6,1199864294,2.0380
2,6,6,1205819440,2.0380
2,6,6,1210596624,2.0380
2,6,6,1218386773,2.0380
2,6,6,1221344927,2.0127
2,6,6,1227135224,2.0127
2,6,6,1241928338,2.0380
2,6,6,124404247,2.0380
2,6,6,1244412885,2.0380
2,6,6,1259816212,2.0380
2,6,6,1262628040,2.0380
2,6,6,1262948602,2.0127
2,6,6,1263486591,2.0127
2,6,6,12655963,2.0380
2,6,6,1266175885,2.0380
2,6,6,1275489120,2.0380
2,6,6,1276879103,2.0380
2,6,6,1281260390,2.0127
2,6,6,1286700257,2.0380
2,6,6,1300150858,2.0380
2,6,6,1307455252,2.0380
2,6,6,1307659566,2.0380
2,6,6,1307886880,2.0380
2,6,6,130830295,2.0380
2,6,6,1311006219,2.0127
2,6,6,1323659657,2.0380
2,6,6,1330703127,2.0380
2,6,6,1332812036,2.0380
2,6,6,1334242273,2.0380
2,6,6,1339932215,2.0380
2,6,6,1347887217,2.0380
2,6,6,1349966370,2.0380
2,6,6,1351882203,2.0380
2,6,6,1352097030,2.0380
2,6,6,135342794,2.0380
2,6,6,1362807546,2.0127
2,6,6,1362927434,2.0380
2,6,6,1369947344,2.0380
