level,M,N,seed,densityMetric
14,4,4,1000747388,1.0170
14,4,4,1003230641,1.1136
14,4,4,1004940999,1.0227
14,4,4,100632844,1.0398
14,4,4,1006707556,1.0170
14,4,4,1009107826,1.0852
14,4,4,1011428303,1.0057
14,4,4,1018544641,0.9886
14,4,4,103070305,1.1023
14,4,4,1037350528,1.0568
14,4,4,1037670259,1.0398
14,4,4,1038883129,1.0455
14,4,4,1039987872,1.1023
14,4,4,105140421,1.0852
14,4,4,1053579526,1.0000
14,4,4,1057874518,1.1080
14,4,4,1058957375,1.1307
14,4,4,1060892191,1.0966
14,4,4,1065451971,1.0170
14,4,4,1066219829,1.0625
14,4,4,1073055339,1.0114
14,4,4,1073272961,1.0739
14,4,4,107671954,1.0227
14,4,4,107769627,1.0114
14,4,4,1078305007,1.0000
14,4,4,1080834013,1.0568
14,4,4,1082260539,0.9602
14,4,4,1082314175,1.0795
14,4,4,1090707737,1.0398
14,4,4,1097519480,1.0114
14,4,4,1099272658,0.9659
14,4,4,1110677252,1.0455
14,4,4,1114759178,1.0057
14,4,4,1120843921,1.1705
14,4,4,1121071924,1.1250
14,4,4,1130362085,1.0398
14,4,4,1130953896,1.0795
14,4,4,113463153,0.9545
14,4,4,1134735971,1.0341
14,4,4,1138061863,0.9602
14,4,4,1138437632,1.0170
14,4,4,1143661877,1.0511
14,4,4,1145786771,1.0398
14,4,4,1146297808,1.0227
14,4,4,1155196317,0.9489
14,4,4,1162822678,1.0852
14,4,4,116667107,1.1818
14,4,4,1169013744,0.9773
14,4,4,1181772620,1.0341
14,4,4,1185837477,1.1136
14,4,4,1193129330,1.0966
14,4,4,1200158203,1.0000
14,4,4,1200935411,1.0568
14,4,4,1206478818,1.0057
14,4,4,1206750499,1.0511
14,4,4,1207503318,1.0625
14,4,4,1207800718,1.0341
14,4,4,1208209113,1.0511
14,4,4,1211224596,1.0284
14,4,4,1212781919,1.0341
14,4,4,1219764183,1.0398
14,4,4,1220312016,1.0739
14,4,4,1225165832,1.0057
14,4,4,1226043139,0.9659
14,4,4,1227049407,0.9489
14,4,4,1228598231,1.0170
14,4,4,1233831511,1.0398
14,4,4,1242933758,0.9773
14,4,4,1247590471,0.9602
14,4,4,1265546259,1.0227
14,4,4,1275908440,1.1364
14,4,4,1278191166,0.9602
14,4,4,1281877312,1.0341
14,4,4,1282536370,1.1364
14,4,4,1282893305,1.0511
14,4,4,1282917812,1.0568
14,4,4,128554622,0.9489
14,4,4,1298625708,1.1420
14,4,4,1308307336,1.0455
14,4,4,1319673534,1.0284
14,4,4,1330019984,0.9659
14,4,4,133965900,1.0341
14,4,4,1341224127,1.0909
14,4,4,1344434153,0.9773
14,4,4,134482399,1.2159
14,4,4,1348875106,1.0511
14,4,4,1357005491,1.0511
