level,M,N,seed,linearityRSquared
7,6,6,1001638330,0.0271
7,6,6,1002221447,0.0052
7,6,6,1003192026,0.1530
7,6,6,1008270054,0.0474
7,6,6,1013432441,0.0425
7,6,6,1016921506,0.0435
7,6,6,1018637518,0.1979
7,6,6,1024843062,0.0564
7,6,6,102960499,0.0191
7,6,6,1034095704,0.0033
7,6,6,1035302114,0.0079
7,6,6,1037165908,0.0552
7,6,6,1060062020,0.0091
7,6,6,1064530934,0.0446
7,6,6,1067504604,0.0016
7,6,6,1068509115,0.1938
7,6,6,1071150030,0.1967
7,6,6,1072633241,0.0942
7,6,6,1073991198,0.0583
7,6,6,1078238519,0.0312
7,6,6,1079659711,0.0003
7,6,6,1087025073,0.0652
7,6,6,1089015963,0.0166
7,6,6,1089525505,0.0786
7,6,6,1091606188,0.0476
7,6,6,1093418118,0.0666
7,6,6,1095378063,0.0368
7,6,6,110182227,0.0029
7,6,6,1110254272,0.1094
7,6,6,1110723245,0.1399
7,6,6,1137545103,0.0000
7,6,6,1140944606,0.0020
7,6,6,1142597197,0.1685
7,6,6,1143486029,0.0761
7,6,6,1146095553,0.0339
7,6,6,1153722014,0.1463
7,6,6,1157730507,0.0146
7,6,6,11628051,0.0187
7,6,6,1163576775,0.0947
7,6,6,1165080065,0.0133
7,6,6,1170143994,0.1907
7,6,6,1176071451,0.0790
7,6,6,118454172,0.0244
7,6,6,1186196203,0.0012
7,6,6,1188026251,0.0013
7,6,6,1188502757,0.0213
7,6,6,1189182424,0.0214
7,6,6,1192668172,0.0014
7,6,6,120061287,0.0202
7,6,6,1214085982,0.0685
7,6,6,1218634916,0.1665
7,6,6,1219570271,0.0484
7,6,6,1220914512,0.0032
7,6,6,1230597560,0.0002
7,6,6,1234939998,0.0529
7,6,6,1235550394,0.0031
7,6,6,1241048708,0.1518
7,6,6,1264762340,0.0003
7,6,6,1266279532,0.0064
7,6,6,1268031495,0.0464
7,6,6,1272899085,0.0082
7,6,6,1291264595,0.0234
7,6,6,1293798679,0.0013
7,6,6,1296104687,0.1318
7,6,6,129773636,0.0059
7,6,6,1300042747,0.0545
7,6,6,1306871759,0.2917
7,6,6,1307713477,0.0013
7,6,6,132062566,0.3116
7,6,6,1321488007,0.0104
7,6,6,1322013659,0.0001
7,6,6,1322963882,0.0011
7,6,6,1325732824,0.0125
7,6,6,1328116806,0.0699
7,6,6,1328139643,0.0002
7,6,6,1329076451,0.0163
7,6,6,1329412,0.1358
7,6,6,1335381239,0.0339
7,6,6,1338202248,0.0986
7,6,6,1338968289,0.0398
7,6,6,1340034482,0.0423
7,6,6,1340089154,0.2794
7,6,6,1349964487,0.0214
7,6,6,13514819,0.0032
7,6,6,1357568744,0.2418
7,6,6,1358253402,0.0429
7,6,6,1360565357,0.0554
7,6,6,1362866724,0.0401
7,6,6,1363387734,0.0652
7,6,6,1364137447,0.0205
7,6,6,1373649436,0.2324
7,6,6,1374813576,0.0435
7,6,6,1376450958,0.0002
7,6,6,1376654402,0.1002
7,6,6,138282715,0.0485
7,6,6,1384606700,0.0764
7,6,6,1386111918,0.2834
7,6,6,1391122792,0.0091
7,6,6,1393117584,0.0326
7,6,6,1400722236,0.0681
7,6,6,1403474437,0.0015
7,6,6,1404620061,0.0881
7,6,6,1404924219,0.0081
7,6,6,1409989499,0.2176
7,6,6,1410075521,0.0075
7,6,6,1414795059,0.0709
7,6,6,1421910779,0.1215
7,6,6,1422509260,0.0151
7,6,6,1426351315,0.0323
7,6,6,1434284078,0.0412
7,6,6,143436950,0.0169
7,6,6,1440602929,0.0373
7,6,6,1446835868,0.3322
7,6,6,1448740583,0.0341
7,6,6,1448752666,0.0962
7,6,6,1452040610,0.0485
7,6,6,1452256376,0.1561
7,6,6,1456261967,0.0781
7,6,6,1460856504,0.0379
7,6,6,1462231888,0.0314
7,6,6,1463427759,0.0009
7,6,6,1466242648,0.0247
7,6,6,1468388080,0.0947
7,6,6,147347444,0.4881
7,6,6,147531162,0.0002
7,6,6,1476713707,0.1565
7,6,6,1478041662,0.0609
7,6,6,1478254382,0.0443
7,6,6,1480776711,0.0178
7,6,6,1484138497,0.0277
7,6,6,1484252532,0.0418
7,6,6,1488159565,0.4180
7,6,6,1488968538,0.0060
7,6,6,1490936815,0.0922
7,6,6,1497798986,0.0464
7,6,6,1499198570,0.0969
7,6,6,1510270314,0.1309
7,6,6,1513950853,0.2418
7,6,6,1521170249,0.0028
7,6,6,1522082417,0.1061
7,6,6,1522719881,0.0330
7,6,6,1529490757,0.0252
7,6,6,1530509050,0.0016
7,6,6,1536030776,0.0243
7,6,6,1539649392,0.0383
7,6,6,1540138698,0.4346
7,6,6,1541387860,0.0159
7,6,6,1542458534,0.2803
7,6,6,1542551228,0.0231
7,6,6,1544509820,0.0266
7,6,6,1555442704,0.0383
7,6,6,1562549352,0.0256
7,6,6,1563211497,0.0262
7,6,6,1574767863,0.2394
7,6,6,1579380333,0.0053
7,6,6,1585208546,0.0001
7,6,6,1596892669,0.0329
7,6,6,159830820,0.1369
7,6,6,1620890293,0.2662
7,6,6,1625346714,0.0014
7,6,6,1639805589,0.0573
7,6,6,1645700755,0.0503
7,6,6,1647822787,0.0199
7,6,6,1649090767,0.0158
7,6,6,1651003459,0.1213
7,6,6,1652393648,0.0261
7,6,6,1655541515,0.0541
7,6,6,165915644,0.0132
7,6,6,1668629342,0.0000
7,6,6,1668659635,0.0000
7,6,6,1674302921,0.1885
7,6,6,1684472254,0.1953
7,6,6,1686002426,0.0837
7,6,6,1687586253,0.0008
7,6,6,1692622408,0.2571
7,6,6,1695345702,0.0400
7,6,6,1698362116,0.2968
7,6,6,170004288,0.0000
7,6,6,1700768688,0.0333
7,6,6,1701186291,0.1294
7,6,6,1710770883,0.1215
7,6,6,1711696230,0.1946
7,6,6,171258405,0.2674
7,6,6,1713277237,0.1418
7,6,6,1714387532,0.0306
7,6,6,1715290266,0.0045
7,6,6,171985733,0.1532
7,6,6,1722350310,0.0161
7,6,6,1728390144,0.1992
7,6,6,1731087520,0.0514
7,6,6,1736107374,0.0207
7,6,6,1736794387,0.0386
7,6,6,1738133733,0.0127
7,6,6,1738500724,0.1010
7,6,6,1738601556,0.1345
7,6,6,1739300014,0.1345
7,6,6,1739735035,0.2251
7,6,6,1742936134,0.0499
7,6,6,1751386688,0.0180
7,6,6,1755538008,0.0308
7,6,6,1755542398,0.1065
7,6,6,1756986284,0.3450
7,6,6,1760211008,0.0328
7,6,6,1763573789,0.0260
7,6,6,176573278,0.0832
7,6,6,1766002792,0.0373
7,6,6,1767219717,0.0107
7,6,6,1768325518,0.0160
7,6,6,1770556587,0.0152
7,6,6,177179708,0.0103
7,6,6,1771867018,0.1601
7,6,6,1779330549,0.2139
7,6,6,1782688230,0.0005
7,6,6,1783271268,0.0000
7,6,6,1784005156,0.1952
7,6,6,1789750402,0.0179
7,6,6,1805051700,0.0371
7,6,6,1816722375,0.0342
7,6,6,1817527682,0.1281
7,6,6,1824115102,0.0345
7,6,6,1828609705,0.0014
7,6,6,1829410561,0.0559
7,6,6,1832611768,0.0185
7,6,6,1849496629,0.0003
