level,M,N,seed,linearityRSquared
11,1,1,1007377500,0.0007
11,1,1,100809929,0.0209
11,1,1,1008910923,0.0001
11,1,1,1009539057,0.0183
11,1,1,1021367272,0.0014
11,1,1,1021640706,0.0019
11,1,1,1023422436,0.0026
11,1,1,1024293374,0.0044
11,1,1,1030181821,0.0041
11,1,1,1031355879,0.0007
11,1,1,1033424465,0.0015
11,1,1,1034009232,0.0015
11,1,1,1034327289,0.0009
11,1,1,1036792222,0.0085
11,1,1,1043077053,0.0088
11,1,1,1044306931,0.0043
11,1,1,1047769518,0.0007
11,1,1,105300218,0.0038
11,1,1,1053224620,0.0054
11,1,1,1057741487,0.0160
11,1,1,1060614365,0.0056
11,1,1,1068294217,0.0091
11,1,1,106938787,0.0037
11,1,1,1069998148,0.0000
11,1,1,1072076429,0.0038
11,1,1,1073943930,0.0443
11,1,1,1079141869,0.0185
11,1,1,1085025411,0.0052
11,1,1,1099905981,0.0108
11,1,1,1101331502,0.0191
11,1,1,1103029117,0.0010
11,1,1,1107733190,0.0010
11,1,1,1111492824,0.0112
11,1,1,1111629349,0.0052
11,1,1,1115377620,0.0048
11,1,1,1123898083,0.0068
11,1,1,1125676472,0.0001
11,1,1,1126035392,0.0020
11,1,1,1128252833,0.0452
11,1,1,1129159094,0.0007
11,1,1,1129562518,0.0121
11,1,1,1129766833,0.0000
11,1,1,1131059704,0.0000
11,1,1,1137235189,0.0029
11,1,1,113933278,0.0008
11,1,1,1141002997,0.0028
11,1,1,1143428209,0.0019
11,1,1,1144006319,0.0109
11,1,1,1146421746,0.0008
11,1,1,1148518376,0.0001
11,1,1,1149095865,0.0054
11,1,1,1150003503,0.0028
11,1,1,115004013,0.0008
11,1,1,1155383755,0.0086
11,1,1,115904951,0.0167
11,1,1,1160648909,0.0000
11,1,1,1169063424,0.0127
11,1,1,117328224,0.0011
11,1,1,1177145613,0.0001
11,1,1,1182638688,0.0003
11,1,1,1185915396,0.0089
11,1,1,1187046171,0.0148
11,1,1,118958320,0.0087
11,1,1,1197460902,0.0100
11,1,1,1208380380,0.0045
11,1,1,1208508442,0.0002
11,1,1,1213262791,0.0006
11,1,1,1217339515,0.0034
11,1,1,1220492224,0.0084
11,1,1,1223773794,0.0040
11,1,1,1226574802,0.0011
11,1,1,1227166346,0.0197
11,1,1,1228754751,0.0039
11,1,1,1235328474,0.0175
11,1,1,1238891230,0.0155
11,1,1,1242720391,0.0200
11,1,1,1248112851,0.0113
11,1,1,1248132426,0.0114
11,1,1,1249167093,0.0109
11,1,1,1249799023,0.0005
11,1,1,1252346218,0.0004
11,1,1,1254747013,0.0000
11,1,1,1254864609,0.0009
11,1,1,1255078397,0.0183
11,1,1,1259174031,0.0006
11,1,1,1261677122,0.0000
11,1,1,1263145343,0.0033
11,1,1,1265574420,0.0042
11,1,1,1270216659,0.0144
11,1,1,1278571457,0.0013
11,1,1,1287787653,0.0059
11,1,1,1292221910,0.0001
11,1,1,129307423,0.0005
11,1,1,1296028400,0.0000
11,1,1,1299731499,0.0001
11,1,1,1302900343,0.0029
11,1,1,1303123013,0.0014
11,1,1,1309951381,0.0011
11,1,1,1313468976,0.0001
11,1,1,1313752568,0.0264
11,1,1,1320330649,0.0000
11,1,1,1320933345,0.0130
11,1,1,1328938571,0.0013
11,1,1,1330988942,0.0031
11,1,1,1331119457,0.0176
11,1,1,1333929536,0.0028
11,1,1,1334811903,0.0019
11,1,1,1336258484,0.0024
11,1,1,1337243409,0.0169
11,1,1,1339653327,0.0002
11,1,1,1353263574,0.0010
11,1,1,1356826028,0.0003
11,1,1,135946683,0.0000
11,1,1,1360220328,0.0007
11,1,1,1362016060,0.0172
11,1,1,1367498069,0.0015
11,1,1,1369775064,0.0015
11,1,1,1376417056,0.0643
11,1,1,1381641077,0.0002
11,1,1,1384477475,0.0020
11,1,1,1386871433,0.0129
11,1,1,139368356,0.0001
11,1,1,1401529789,0.0003
11,1,1,140474584,0.0010
11,1,1,1405310601,0.0014
11,1,1,1407214316,0.0016
11,1,1,1409462045,0.0113
11,1,1,1412004653,0.0036
11,1,1,1418555901,0.0048
11,1,1,1420080259,0.0000
11,1,1,1424923630,0.0045
11,1,1,1425742773,0.0020
11,1,1,1431783111,0.0057
11,1,1,143405309,0.0001
11,1,1,1437907663,0.0005
11,1,1,1437979903,0.0066
11,1,1,1439151564,0.0022
11,1,1,1440045591,0.0187
11,1,1,1444242547,0.0219
11,1,1,1445633822,0.0014
11,1,1,1452709467,0.0311
11,1,1,1475209292,0.0064
11,1,1,1478964481,0.0050
11,1,1,1479143001,0.0134
11,1,1,14854998,0.0150
11,1,1,1489019332,0.0000
11,1,1,1489856218,0.0069
11,1,1,1501778321,0.0015
11,1,1,1508207732,0.0002
11,1,1,1520604673,0.0008
11,1,1,152779208,0.0319
11,1,1,1534938552,0.0123
11,1,1,1535376258,0.0000
11,1,1,1549456656,0.0011
11,1,1,1549961136,0.0008
11,1,1,1551807000,0.0080
11,1,1,15543339,0.0003
11,1,1,1558772428,0.0119
11,1,1,1559635794,0.0022
11,1,1,1565039346,0.0009
11,1,1,1570267046,0.0000
11,1,1,1572523492,0.0064
11,1,1,1579324334,0.0013
11,1,1,1581250545,0.0113
11,1,1,1584060779,0.0023
11,1,1,1585467443,0.0001
11,1,1,1586943993,0.0003
11,1,1,1589966190,0.0006
11,1,1,1605939414,0.0020
11,1,1,1607725968,0.0003
11,1,1,1612091084,0.0153
11,1,1,161635302,0.0026
11,1,1,1624536388,0.0033
11,1,1,1628266276,0.0046
11,1,1,1630418769,0.0077
11,1,1,1642270789,0.0048
11,1,1,1643686035,0.0005
11,1,1,1651122529,0.0005
11,1,1,1652880111,0.0054
11,1,1,1655609216,0.0119
11,1,1,1656941945,0.0194
11,1,1,1672178381,0.0012
11,1,1,167225676,0.0004
11,1,1,1676090966,0.0012
11,1,1,167723844,0.0001
11,1,1,1677544767,0.0006
11,1,1,168388048,0.0002
11,1,1,1690995050,0.0004
11,1,1,1696471973,0.0185
11,1,1,1703074507,0.0000
11,1,1,1704935680,0.0076
11,1,1,1710321570,0.0030
11,1,1,1712790962,0.0070
11,1,1,172040929,0.0053
11,1,1,1724186248,0.0040
11,1,1,1726813123,0.0253
11,1,1,173001703,0.0142
11,1,1,1732171965,0.0007
11,1,1,1739763174,0.0000
11,1,1,1740529095,0.0225
11,1,1,1744050922,0.0122
11,1,1,1746864661,0.0073
11,1,1,1747704250,0.0260
11,1,1,1748371846,0.0062
11,1,1,1759889347,0.0043
11,1,1,1761640014,0.0001
11,1,1,1761767949,0.0113
11,1,1,1762983406,0.0033
11,1,1,1764635379,0.0033
11,1,1,1764878238,0.0053
11,1,1,1773685207,0.0000
11,1,1,1786674380,0.0002
11,1,1,1788567117,0.0004
11,1,1,1790557626,0.0053
11,1,1,1792898838,0.0003
11,1,1,179984335,0.0000
11,1,1,1810874642,0.0003
11,1,1,1812725973,0.0000
11,1,1,1812821036,0.0023
11,1,1,1819900257,0.0000
11,1,1,1820425934,0.0040
11,1,1,1820621480,0.0120
11,1,1,1825347781,0.0005
11,1,1,1830672546,0.0006
11,1,1,1842930466,0.0037
11,1,1,1845930416,0.0025
11,1,1,1848108161,0.0000
11,1,1,1859289069,0.0005
11,1,1,1862562829,0.0009
11,1,1,1862587163,0.0260
11,1,1,186415925,0.0006
11,1,1,1868675046,0.0033
11,1,1,1878671377,0.0010
11,1,1,1879014868,0.0111
11,1,1,1881338339,0.0365
11,1,1,1884493870,0.0255
11,1,1,1891098065,0.0000
11,1,1,1891948138,0.0015
11,1,1,1892287947,0.0052
11,1,1,1892619064,0.0011
11,1,1,1893548815,0.0038
11,1,1,1897046189,0.0064
11,1,1,1899003859,0.0020
11,1,1,1900779831,0.0001
11,1,1,1906044921,0.0020
11,1,1,1908524755,0.0060
11,1,1,1911975,0.0094
11,1,1,1912057305,0.0045
11,1,1,1912177682,0.0087
11,1,1,1913666063,0.0047
11,1,1,1914780062,0.0003
11,1,1,1919965806,0.0128
11,1,1,1925741337,0.0093
11,1,1,1928596662,0.0024
11,1,1,1931732450,0.0016
11,1,1,1933251343,0.0019
11,1,1,1934465957,0.0053
11,1,1,1940347215,0.0002
11,1,1,1941457002,0.0065
11,1,1,1941786083,0.0002
11,1,1,1942291614,0.0019
11,1,1,1943676249,0.0004
11,1,1,1944846194,0.0048
11,1,1,1949507961,0.0002
11,1,1,1953553500,0.0422
11,1,1,1957100986,0.0033
11,1,1,1960294020,0.0002
11,1,1,1962447589,0.0009
11,1,1,1969107659,0.0258
11,1,1,1973697731,0.0084
11,1,1,1977094199,0.0004
11,1,1,1981559499,0.0001
11,1,1,1983368928,0.0147
11,1,1,2008212551,0.0008
11,1,1,2015060077,0.0084
11,1,1,2026135613,0.0025
11,1,1,2027688487,0.0109
11,1,1,2028102868,0.0104
11,1,1,2029425121,0.0001
11,1,1,2030596836,0.0022
11,1,1,2031597538,0.0035
11,1,1,2040604205,0.0003
11,1,1,2048118835,0.0007
11,1,1,2054683846,0.0004
11,1,1,2054971779,0.0296
11,1,1,2062605270,0.0036
11,1,1,2064095412,0.0000
11,1,1,2070259378,0.0002
11,1,1,2072854323,0.0035
11,1,1,2076678475,0.0031
11,1,1,2076971191,0.0004
11,1,1,2084098176,0.0131
11,1,1,2089732912,0.0009
11,1,1,2091790728,0.0001
11,1,1,2093836458,0.0181
11,1,1,2097316020,0.0025
11,1,1,2099325967,0.0045
11,1,1,2103762104,0.0000
11,1,1,2106127540,0.0047
11,1,1,2107296324,0.0021
11,1,1,2111592790,0.0036
