level,M,N,seed,linearityRSquared
7,1,16,1001638330,0.0633
7,1,16,1004239811,0.0109
7,1,16,1006974512,0.0001
7,1,16,1008270054,0.0418
7,1,16,1013432441,0.0322
7,1,16,1016921506,0.0059
7,1,16,1018891292,0.0135
7,1,16,102098671,0.0910
7,1,16,1028515517,0.0102
7,1,16,102960499,0.0007
7,1,16,1060062020,0.0066
7,1,16,1066149829,0.0060
7,1,16,1067504604,0.0013
7,1,16,1068509115,0.0215
7,1,16,1068970228,0.0576
7,1,16,1071150030,0.0032
7,1,16,1072633241,0.0028
7,1,16,1077623985,0.0059
7,1,16,1086823014,0.0249
7,1,16,1087025073,0.0002
7,1,16,1089525505,0.0025
7,1,16,1091606188,0.0196
7,1,16,1093240956,0.0194
7,1,16,1093903480,0.0066
7,1,16,1095378063,0.0001
7,1,16,1095835839,0.0084
7,1,16,1097460878,0.0071
7,1,16,110182227,0.0151
7,1,16,1110254272,0.0321
7,1,16,1110723245,0.0456
7,1,16,1117264835,0.0013
7,1,16,1125779311,0.0148
7,1,16,1126747195,0.0055
7,1,16,1128746987,0.0009
7,1,16,1140812706,0.0890
7,1,16,1146095553,0.0000
7,1,16,11520671,0.0321
7,1,16,1153722014,0.0729
7,1,16,1160445725,0.0528
7,1,16,1160758225,0.0126
7,1,16,1163576775,0.0079
7,1,16,1177792585,0.0348
7,1,16,1183345214,0.0266
7,1,16,118454172,0.0306
7,1,16,1186196203,0.1298
7,1,16,1189182424,0.0004
7,1,16,1190431863,0.0069
7,1,16,1192668172,0.0045
7,1,16,120018352,0.0001
7,1,16,1213383238,0.0003
7,1,16,1216599388,0.0053
7,1,16,1218634916,0.0044
7,1,16,1219294602,0.0002
7,1,16,1227535742,0.0015
7,1,16,1232898717,0.0013
7,1,16,1240663087,0.2108
7,1,16,125544131,0.0026
7,1,16,1262932591,0.0067
7,1,16,1264762340,0.0182
7,1,16,1266279532,0.0054
7,1,16,1268031495,0.0949
7,1,16,1272899085,0.0001
7,1,16,1273985955,0.0162
7,1,16,1276506797,0.0040
7,1,16,1295160573,0.0194
7,1,16,1296104687,0.0146
7,1,16,1300287810,0.0031
7,1,16,1301795816,0.0249
7,1,16,1303027903,0.0002
7,1,16,1306871759,0.0033
7,1,16,1310016403,0.0230
7,1,16,1321488007,0.0321
7,1,16,1322013659,0.0009
7,1,16,1322963882,0.0000
7,1,16,1328116806,0.0023
7,1,16,1328139643,0.0641
7,1,16,1329076451,0.0143
7,1,16,1329412,0.0216
7,1,16,1332528888,0.0250
7,1,16,1335381239,0.0033
7,1,16,1338202248,0.0850
7,1,16,1338968289,0.0293
7,1,16,1341136234,0.0046
