level,M,N,seed,linearityRSquared
13modified,3,3,1717605128,0.0331
13modified,3,3,1720836988,0.0019
13modified,3,3,1721435834,0.0055
13modified,3,3,1724000819,0.0266
13modified,3,3,1737978195,0.0023
13modified,3,3,1755142440,0.0006
13modified,3,3,1755853177,0.0501
13modified,3,3,1756074721,0.0003
13modified,3,3,1762761537,0.0230
13modified,3,3,1766255356,0.0013
13modified,3,3,1766958145,0.0388
13modified,3,3,1768952533,0.0023
13modified,3,3,1770603754,0.0001
13modified,3,3,1775173339,0.0003
13modified,3,3,1775664022,0.0031
13modified,3,3,1777445432,0.0001
13modified,3,3,177942638,0.0140
13modified,3,3,1779720666,0.0038
13modified,3,3,1779906848,0.0117
13modified,3,3,1789410354,0.0328
13modified,3,3,1791778974,0.0064
13modified,3,3,1795826253,0.0001
13modified,3,3,1796569166,0.0018
13modified,3,3,1797774747,0.0144
13modified,3,3,1800095436,0.0131
13modified,3,3,1800637508,0.0008
13modified,3,3,1805512845,0.0024
13modified,3,3,1810448264,0.0029
13modified,3,3,1814552560,0.0000
13modified,3,3,1815132296,0.0194
13modified,3,3,1815861161,0.0351
13modified,3,3,1819119388,0.0450
13modified,3,3,1819990369,0.0102
13modified,3,3,182031492,0.0092
13modified,3,3,1820793552,0.0104
13modified,3,3,1825605709,0.0113
13modified,3,3,1827339062,0.0146
13modified,3,3,1829909606,0.0053
13modified,3,3,1830645974,0.0000
13modified,3,3,1832190101,0.0180
13modified,3,3,1834349101,0.0789
13modified,3,3,1837267952,0.0212
13modified,3,3,184071106,0.0108
13modified,3,3,1842593868,0.0235
13modified,3,3,1845142266,0.0144
13modified,3,3,1851651374,0.1079
13modified,3,3,1853570680,0.0003
13modified,3,3,1856804975,0.0196
13modified,3,3,1862413920,0.0479
13modified,3,3,1865618941,0.0326
13modified,3,3,1867468502,0.0040
13modified,3,3,186783104,0.0060
13modified,3,3,1867934507,0.0603
13modified,3,3,1870748648,0.0000
13modified,3,3,1876696247,0.0502
13modified,3,3,1881736887,0.0593
13modified,3,3,1886655360,0.0464
13modified,3,3,1887858911,0.0000
13modified,3,3,188945830,0.0004
13modified,3,3,189155173,0.0006
13modified,3,3,1894153296,0.0089
13modified,3,3,1898341491,0.0029
13modified,3,3,1905033252,0.0012
13modified,3,3,191463373,0.0034
13modified,3,3,1919604592,0.0080
13modified,3,3,1922792342,0.0157
13modified,3,3,1928328916,0.0057
13modified,3,3,1929352144,0.0027
13modified,3,3,1930362825,0.0355
13modified,3,3,1932937349,0.0032
13modified,3,3,1942407843,0.0053
13modified,3,3,1948235494,0.1133
13modified,3,3,1950100733,0.0071
13modified,3,3,1953828808,0.1059
13modified,3,3,1957096776,0.0004
13modified,3,3,1958663739,0.0540
13modified,3,3,1963714948,0.0105
13modified,3,3,1972755271,0.0045
13modified,3,3,1973158589,0.0020
13modified,3,3,1973463446,0.0001
13modified,3,3,1974644891,0.0900
13modified,3,3,1979396431,0.0084
13modified,3,3,1995033504,0.0069
13modified,3,3,2009447901,0.0006
13modified,3,3,2010090001,0.0204
13modified,3,3,2010988465,0.0342
13modified,3,3,2011069666,0.0093
13modified,3,3,2011467440,0.0834
