level,M,N,seed,compressionDistance
8,14,2,1002221447,0.02004008016032064
8,14,2,1003192026,0.0039603960396039604
8,14,2,101277513,0.011976047904191617
8,14,2,1013722796,0.0039603960396039604
8,14,2,1018637518,0.00796812749003984
8,14,2,1024843062,0.011976047904191617
8,14,2,1026797542,0.011976047904191617
8,14,2,1034095704,0.024096385542168676
8,14,2,1035258029,0.00796812749003984
8,14,2,1035302114,0.011834319526627219
8,14,2,1037165908,0.0039603960396039604
8,14,2,1064530934,0.00796812749003984
8,14,2,1070253627,0.011976047904191617
8,14,2,1073991198,0.011976047904191617
8,14,2,1078238519,0.00796812749003984
8,14,2,1079659711,0.011976047904191617
8,14,2,1089015963,0.024096385542168676
8,14,2,1092756634,0.003976143141153081
8,14,2,1093418118,0.007905138339920948
8,14,2,1101346450,0.00796812749003984
8,14,2,1122085835,0.00796812749003984
8,14,2,1126083708,0.011976047904191617
8,14,2,1128697502,0.003976143141153081
8,14,2,1137220935,0.003976143141153081
8,14,2,1137545103,0.024096385542168676
8,14,2,1140944606,0.0039603960396039604
8,14,2,1142484002,0.00796812749003984
8,14,2,1142597197,0.003976143141153081
8,14,2,1143486029,0.024096385542168676
8,14,2,1154926906,0.003976143141153081
8,14,2,1157730507,0.00796812749003984
8,14,2,11628051,0.00796812749003984
8,14,2,1165080065,0.0
8,14,2,1168887726,0.003976143141153081
8,14,2,1170143994,0.003976143141153081
8,14,2,1172590970,0.003976143141153081
8,14,2,1176071451,0.0039603960396039604
8,14,2,1180691312,0.0
8,14,2,118543745,0.0039603960396039604
8,14,2,1186607487,0.024096385542168676
8,14,2,1188026251,0.02004008016032064
8,14,2,1188502757,0.00796812749003984
8,14,2,1189021742,0.024096385542168676
8,14,2,1192848505,0.003976143141153081
8,14,2,1198312004,0.011976047904191617
8,14,2,120061287,0.00796812749003984
8,14,2,1202272553,0.011976047904191617
8,14,2,1212730453,0.00796812749003984
8,14,2,1213186888,0.00796812749003984
8,14,2,1214085982,0.011976047904191617
8,14,2,1219570271,0.02004008016032064
8,14,2,1220914512,0.00796812749003984
8,14,2,1224605099,0.00796812749003984
8,14,2,1230597560,0.024096385542168676
8,14,2,1234939998,0.00796812749003984
8,14,2,1235550394,0.003976143141153081
8,14,2,1236612884,0.003976143141153081
8,14,2,1241048708,0.024096385542168676
