level,M,N,seed,compressionDistance
2,4,4,1001427231,0.7267605633802817
2,4,4,1002366797,0.711484593837535
2,4,4,1012057892,0.7039106145251397
2,4,4,1013132103,0.6021505376344086
2,4,4,1014717709,0.8470588235294118
2,4,4,1026922035,1.0155763239875388
2,4,4,1029147075,1.0344827586206897
2,4,4,1031702667,0.6091644204851752
2,4,4,1033622902,0.7976878612716763
2,4,4,1035811137,0.7578347578347578
2,4,4,1036408008,0.5406824146981627
2,4,4,103718413,0.9784615384615385
2,4,4,1060434707,0.43828715365239296
2,4,4,1062984232,0.7267605633802817
2,4,4,1072567287,0.6666666666666666
2,4,4,1074708876,0.47570332480818417
2,4,4,1076245341,1.0155763239875388
2,4,4,107681155,0.6740331491712708
2,4,4,1078549398,0.7344632768361582
2,4,4,1080209692,0.5012919896640827
2,4,4,1083968067,0.4631043256997455
2,4,4,1085132997,0.4139650872817955
2,4,4,1085488272,0.6304347826086957
2,4,4,1087632942,0.7816091954022989
2,4,4,1099478714,0.6888888888888889
2,4,4,1103297900,0.7422096317280453
2,4,4,1107405273,0.7422096317280453
2,4,4,110889107,0.8387096774193549
2,4,4,1114549085,0.7344632768361582
2,4,4,1122010857,0.7816091954022989
2,4,4,1123006755,0.42606516290726815
2,4,4,1125593924,0.47570332480818417
2,4,4,1126458828,0.711484593837535
2,4,4,1128622077,0.39603960396039606
2,4,4,1134793784,0.5406824146981627
2,4,4,1137322580,0.39012345679012345
2,4,4,1139122773,0.4948453608247423
2,4,4,1139158243,0.48205128205128206
2,4,4,113916748,0.5608465608465608
2,4,4,1141551173,0.9512195121951219
2,4,4,1142188025,0.4506329113924051
2,4,4,114569370,0.6021505376344086
2,4,4,1149167049,0.7578347578347578
2,4,4,1153118460,0.9876543209876543
2,4,4,1163064016,0.813953488372093
2,4,4,1165476451,0.9512195121951219
2,4,4,1166211825,0.8470588235294118
2,4,4,1174108690,0.7422096317280453
2,4,4,1177393289,1.0062111801242235
2,4,4,1177454261,0.5208333333333334
2,4,4,1178363203,1.0155763239875388
2,4,4,1179151292,0.5608465608465608
2,4,4,1179578985,0.9693251533742331
2,4,4,1181884336,0.4884318766066838
2,4,4,1184347117,0.5608465608465608
2,4,4,1189013657,0.711484593837535
2,4,4,1189897559,0.7976878612716763
2,4,4,1190018701,0.5340314136125655
