level,M,N,seed,compressionDistance
12,2,2,1019659450,0.20909090909090908
12,2,2,1021099093,0.417910447761194
12,2,2,1029969684,0.43609022556390975
12,2,2,1030554212,0.174496644295302
12,2,2,1032168601,0.23448275862068965
12,2,2,1033844229,0.3087885985748218
12,2,2,1037422260,0.34782608695652173
12,2,2,1038969356,0.36496350364963503
12,2,2,1045450567,0.28705882352941176
12,2,2,1066319765,0.26573426573426573
12,2,2,1070253909,0.3142857142857143
12,2,2,1071951939,0.417910447761194
12,2,2,1072385085,0.3765281173594132
12,2,2,1073004428,0.44221105527638194
12,2,2,1074217102,0.3087885985748218
12,2,2,1077287342,0.24480369515011546
12,2,2,1078042639,0.23963133640552994
12,2,2,1084909320,0.28169014084507044
12,2,2,1089062733,0.4
12,2,2,1090658290,0.27634660421545665
12,2,2,1090816095,0.26573426573426573
12,2,2,109238692,0.1842696629213483
12,2,2,1093873651,0.3765281173594132
12,2,2,1100927448,0.26573426573426573
12,2,2,1107888539,0.214123006833713
12,2,2,1119206168,0.6129032258064516
12,2,2,1121933026,0.23448275862068965
12,2,2,1122967096,0.40594059405940597
12,2,2,1127490420,0.4
12,2,2,112806606,0.34782608695652173
12,2,2,113323798,0.36496350364963503
12,2,2,1139879384,0.5246753246753246
12,2,2,1143407588,0.19413092550790068
12,2,2,1145613346,0.37073170731707317
12,2,2,1150694832,0.4859335038363171
12,2,2,1158588681,0.5246753246753246
12,2,2,1159229807,0.43
12,2,2,1159436930,0.5246753246753246
12,2,2,1172963202,0.3421686746987952
12,2,2,1174155956,0.2191780821917808
12,2,2,1175696474,0.53125
12,2,2,1190239199,0.1891891891891892
12,2,2,1190792368,0.3253588516746411
12,2,2,1193402462,0.37073170731707317
12,2,2,1195844824,0.417910447761194
12,2,2,1211801780,0.4119106699751861
12,2,2,1217073149,0.467005076142132
12,2,2,1220078934,0.39408866995073893
12,2,2,1221765556,0.43609022556390975
12,2,2,1231157564,0.35351089588377727
12,2,2,1238465891,0.4859335038363171
12,2,2,1241748122,0.39408866995073893
12,2,2,1245105991,0.23448275862068965
