level,M,N,seed,compressionDistance
13,6,6,1001865095,0.0
13,6,6,10050068,0.0
13,6,6,1005713264,0.0
13,6,6,1012464788,0.0
13,6,6,1016899417,0.0
13,6,6,1019292999,0.0
13,6,6,1033854624,0.0
13,6,6,1034628327,0.0
13,6,6,1038996773,0.0
13,6,6,1044706667,0.0
13,6,6,1045197443,0.0
13,6,6,1045610837,0.0
13,6,6,1045985721,0.0
13,6,6,1046168067,0.0
13,6,6,104993245,0.0
13,6,6,1051467736,0.0
13,6,6,1051758644,0.0
13,6,6,1053518258,0.0
13,6,6,105892043,0.0
13,6,6,1060439587,0.0
13,6,6,106470709,0.0
13,6,6,1066245319,0.0
13,6,6,1070231844,0.0
13,6,6,1071405622,0.0
13,6,6,1074205656,0.0
13,6,6,107680102,0.0
13,6,6,107858546,0.0
13,6,6,1081831131,0.0
13,6,6,1085292328,0.0
13,6,6,1086993038,0.0
13,6,6,1095464070,0.0
13,6,6,1099242507,0.0
13,6,6,1108422357,0.0
13,6,6,1116689741,0.0
13,6,6,1121570979,0.0
13,6,6,1122891000,0.0
13,6,6,1123116722,0.0
13,6,6,1125748041,0.0
13,6,6,1126128881,0.0
13,6,6,1136164117,0.0
13,6,6,1136439112,0.0
13,6,6,1137398537,0.0
13,6,6,1137791056,0.0
13,6,6,1142192008,0.0
13,6,6,1149395731,0.0
13,6,6,1151456544,0.0
13,6,6,1151948236,0.0
13,6,6,1156034471,0.0
13,6,6,1168528864,0.0
13,6,6,1171056575,0.0
13,6,6,1173827410,0.0
13,6,6,11740192,0.0
13,6,6,11759980,0.0
13,6,6,1176342764,0.0
13,6,6,1176358289,0.0
13,6,6,1183839141,0.0
13,6,6,1201438464,0.0
13,6,6,1205118578,0.0
13,6,6,1207966963,0.0
13,6,6,1211527011,0.0
13,6,6,1235792259,0.0
13,6,6,1237906394,0.0
13,6,6,123988852,0.0
13,6,6,1240790394,0.0
13,6,6,1245483926,0.0
13,6,6,12481666,0.0
13,6,6,1265534998,0.0
13,6,6,1268189701,0.0
13,6,6,1270093574,0.0
13,6,6,1271901802,0.0
13,6,6,1284670388,0.0
13,6,6,1295242393,0.0
13,6,6,1295454644,0.0
13,6,6,1296315942,0.0
13,6,6,1299476798,0.0
13,6,6,1305346275,0.0
13,6,6,130581915,0.0
13,6,6,1308353909,0.0
13,6,6,130852969,0.0
13,6,6,1315827889,0.0
13,6,6,1317356462,0.0
13,6,6,1318081265,0.0
13,6,6,132204601,0.0
13,6,6,1322707071,0.0
13,6,6,1323383467,0.0
13,6,6,1325867748,0.0
13,6,6,1329397550,0.0
13,6,6,1334016119,0.0
13,6,6,1336045845,0.0
13,6,6,133901280,0.0
13,6,6,1342400852,0.0
13,6,6,1343326420,0.0
13,6,6,1345257436,0.0
13,6,6,134557534,0.0
13,6,6,134574967,0.0
13,6,6,1350246726,0.0
13,6,6,1353309627,0.0
13,6,6,1354863624,0.0
13,6,6,1355977442,0.0
13,6,6,1369093841,0.0
13,6,6,137298414,0.0
13,6,6,1374512836,0.0
13,6,6,1375450941,0.0
13,6,6,1382735061,0.0
13,6,6,1384713187,0.0
13,6,6,1385042497,0.0
13,6,6,1387075227,0.0
13,6,6,139021216,0.0
13,6,6,1393333588,0.0
13,6,6,1402590398,0.0
13,6,6,14052253,0.0
13,6,6,1405497925,0.0
13,6,6,1406651093,0.0
13,6,6,1408065889,0.0
13,6,6,1408675758,0.0
13,6,6,1410757328,0.0
13,6,6,1410869802,0.0
13,6,6,1410954787,0.0
13,6,6,1411770614,0.0
13,6,6,1426697809,0.0
13,6,6,1429404442,0.0
13,6,6,1435099081,0.0
13,6,6,1440199207,0.0
13,6,6,1440834520,0.0
13,6,6,1444752565,0.0
13,6,6,1445707086,0.0
13,6,6,1446388338,0.0
13,6,6,1448375801,0.0
13,6,6,1454361430,0.0
13,6,6,1472392893,0.0
13,6,6,1475833365,0.0
13,6,6,1477413073,0.0
13,6,6,1478554099,0.0
13,6,6,1485705260,0.0
13,6,6,1485891508,0.0
13,6,6,1493738666,0.0
13,6,6,1496705049,0.0
13,6,6,1497059314,0.0
13,6,6,149971275,0.0
13,6,6,1511549424,0.0
13,6,6,1511909971,0.0
13,6,6,1514416641,0.0
13,6,6,151641113,0.0
13,6,6,1519923925,0.0
13,6,6,1520591354,0.0
13,6,6,1525356389,0.0
13,6,6,1526163694,0.0
13,6,6,1528822178,0.0
13,6,6,1532585567,0.0
13,6,6,1532685163,0.0
13,6,6,15327959,0.0
13,6,6,1533039442,0.0
13,6,6,1538150677,0.0
13,6,6,1542885993,0.0
13,6,6,1543871876,0.0
13,6,6,1551151113,0.0
13,6,6,1561958642,0.0
13,6,6,156462991,0.0
13,6,6,1573891020,0.0
13,6,6,1577567759,0.0
13,6,6,1579718788,0.0
13,6,6,158110650,0.0
13,6,6,1587648608,0.0
13,6,6,1600805369,0.0
13,6,6,1602548802,0.0
13,6,6,1604585759,0.0
13,6,6,1604786055,0.0
13,6,6,1607375181,0.0
13,6,6,1607801886,0.0
13,6,6,1613391508,0.0
13,6,6,1614539992,0.0
13,6,6,1617315229,0.0
13,6,6,1623518044,0.0
13,6,6,1624520590,0.0
13,6,6,1628256031,0.0
13,6,6,1629482376,0.0
13,6,6,1634652975,0.0
13,6,6,1652401447,0.0
13,6,6,1652650581,0.0
13,6,6,1659812313,0.0
13,6,6,1665876214,0.0
13,6,6,1668821152,0.0
13,6,6,1672446981,0.0
13,6,6,1675090973,0.0
13,6,6,1676942378,0.0
13,6,6,1686166618,0.0
13,6,6,1689482073,0.0
13,6,6,1690800294,0.0
13,6,6,1695051690,0.0
13,6,6,1698845061,0.0
13,6,6,1700508618,0.0
13,6,6,1700955097,0.0
13,6,6,1715881790,0.0
13,6,6,1719068081,0.0
13,6,6,1719353174,0.0
13,6,6,1723531765,0.0
13,6,6,1724762333,0.0
13,6,6,1730099521,0.0
13,6,6,1730156419,0.0
13,6,6,1730276890,0.0
13,6,6,1735833908,0.0
13,6,6,1740360962,0.0
13,6,6,1751707333,0.0
13,6,6,175484159,0.0
13,6,6,1755292055,0.0
13,6,6,1756758712,0.0
13,6,6,1762583483,0.0
13,6,6,1764043903,0.0
13,6,6,1770666646,0.0
13,6,6,1771148841,0.0
13,6,6,1771567484,0.0
13,6,6,1774840365,0.0
13,6,6,1779077855,0.0
13,6,6,1781317546,0.0
13,6,6,1789062027,0.0
13,6,6,1800200003,0.0
13,6,6,1809291652,0.0
13,6,6,1810257406,0.0
13,6,6,1813256826,0.0
13,6,6,1813505191,0.0
13,6,6,1822178987,0.0
13,6,6,1826984946,0.0
13,6,6,1830678009,0.0
13,6,6,183419651,0.0
13,6,6,1847457651,0.0
13,6,6,1853858560,0.0
13,6,6,1857294250,0.0
13,6,6,1857561842,0.0
13,6,6,1861239920,0.0
13,6,6,186347503,0.0
13,6,6,1863483220,0.0
13,6,6,1866042377,0.0
13,6,6,1873310931,0.0
13,6,6,1884945663,0.0
13,6,6,1897075634,0.0
13,6,6,1898659241,0.0
13,6,6,1900206360,0.0
13,6,6,190191226,0.0
13,6,6,1905607607,0.0
13,6,6,1907336851,0.0
13,6,6,1910531511,0.0
13,6,6,1911420460,0.0
13,6,6,1912136999,0.0
13,6,6,1915908587,0.0
13,6,6,1916943627,0.0
13,6,6,1920183936,0.0
13,6,6,1924240071,0.0
13,6,6,1925525807,0.0
13,6,6,1931141435,0.0
13,6,6,1933899,0.0
13,6,6,1937816086,0.0
13,6,6,1938044112,0.0
13,6,6,1939118205,0.0
13,6,6,1942749039,0.0
13,6,6,1943261232,0.0
13,6,6,1951931375,0.0
13,6,6,1952634103,0.0
13,6,6,1959461210,0.0
13,6,6,1964046921,0.0
13,6,6,1970449289,0.0
