level,M,N,seed,completionPct
all,14,6,1000720779,1.00
all,14,6,1001427231,1.00
all,14,6,1012057892,1.00
all,14,6,1014717709,1.00
all,14,6,101509996,1.00
all,14,6,1016667673,1.00
all,14,6,1031702667,1.00
all,14,6,1031948134,1.00
all,14,6,1033480057,1.00
all,14,6,103551481,0.94
all,14,6,1035811137,0.64
all,14,6,103718413,1.00
all,14,6,1038218488,1.00
all,14,6,1041135095,0.62
all,14,6,1043693262,1.00
all,14,6,1053081626,1.00
all,14,6,1062992412,1.00
all,14,6,1074708876,1.00
all,14,6,107681155,1.00
all,14,6,1080209692,1.00
all,14,6,1082073250,1.00
all,14,6,1088462456,1.00
all,14,6,1094988923,1.00
all,14,6,1096611887,1.00
all,14,6,1099478714,1.00
all,14,6,1099891794,1.00
all,14,6,1103297900,1.00
all,14,6,1122010857,1.00
all,14,6,1125541963,1.00
all,14,6,1126458828,1.00
all,14,6,1128622077,0.35
all,14,6,1132858974,1.00
all,14,6,1133292245,1.00
all,14,6,1134548914,1.00
all,14,6,1134793784,1.00
all,14,6,1138184120,1.00
all,14,6,1139122773,1.00
all,14,6,1139765352,1.00
all,14,6,1141551173,1.00
all,14,6,114569370,1.00
all,14,6,1145917352,1.00
all,14,6,1149167049,1.00
all,14,6,1150410646,0.44
all,14,6,1157790512,1.00
all,14,6,1158033292,0.49
all,14,6,1164368824,0.50
all,14,6,1166211825,1.00
all,14,6,1179151292,0.21
all,14,6,1180732395,1.00
all,14,6,1184347117,0.36
all,14,6,1187424872,0.15
all,14,6,1189897559,1.00
all,14,6,1192020434,0.35
all,14,6,1194355300,0.65
all,14,6,1201565253,0.68
all,14,6,1205819440,1.00
all,14,6,1211334439,1.00
all,14,6,1217283714,1.00
all,14,6,1218386773,1.00
all,14,6,1220839627,1.00
all,14,6,1223901321,1.00
all,14,6,1224375700,1.00
all,14,6,1227387314,1.00
all,14,6,1231778164,1.00
all,14,6,1233712948,0.94
all,14,6,1233855121,1.00
all,14,6,1235501548,1.00
all,14,6,1237131333,0.21
all,14,6,1239558035,0.50
all,14,6,1240015804,0.28
all,14,6,124404247,1.00
all,14,6,1244412885,0.50
all,14,6,1246951865,1.00
all,14,6,1247252526,1.00
all,14,6,1250181728,1.00
all,14,6,1255725682,1.00
all,14,6,1256907556,0.35
all,14,6,1258675632,1.00
all,14,6,1258943765,1.00
all,14,6,1260402554,1.00
all,14,6,1262948602,1.00
all,14,6,1281260390,1.00
all,14,6,1283499611,0.48
all,14,6,1288215810,0.21
all,14,6,1291783535,1.00
all,14,6,1300150858,1.00
all,14,6,1300823014,0.43
all,14,6,1305376595,0.60
all,14,6,1305462501,1.00
all,14,6,1307455252,1.00
all,14,6,1315379481,1.00
all,14,6,1318721770,1.00
all,14,6,1320567837,1.00
all,14,6,1333200975,1.00
all,14,6,1340508834,1.00
all,14,6,1344005727,1.00
all,14,6,1344745010,1.00
all,14,6,1347887217,1.00
all,14,6,1348972292,1.00
all,14,6,1349966370,1.00
all,14,6,135342794,1.00
all,14,6,1354571885,1.00
all,14,6,1355979418,0.29
all,14,6,1359032259,1.00
all,14,6,1362529068,1.00
all,14,6,1369990613,1.00
all,14,6,1372397901,1.00
all,14,6,137493304,1.00
all,14,6,1375056305,0.21
all,14,6,1378337932,1.00
all,14,6,1381800198,1.00
all,14,6,138257890,1.00
all,14,6,1383225355,1.00
all,14,6,1384001714,0.66
all,14,6,1385333235,1.00
all,14,6,1410120414,1.00
all,14,6,1411670137,1.00
all,14,6,1412314167,0.48
all,14,6,1414777772,1.00
all,14,6,1417484602,1.00
all,14,6,1420211928,1.00
all,14,6,1422249684,1.00
all,14,6,1423060993,1.00
all,14,6,1430241487,1.00
all,14,6,1431277483,1.00
all,14,6,1434611159,1.00
all,14,6,1434896325,0.41
all,14,6,143845168,1.00
all,14,6,1438904696,1.00
all,14,6,1439910280,1.00
all,14,6,1440069500,0.35
all,14,6,1442777214,1.00
all,14,6,144604228,1.00
all,14,6,145023279,1.00
all,14,6,1454675611,1.00
all,14,6,1457672976,1.00
all,14,6,1459255644,0.94
all,14,6,1479517357,1.00
all,14,6,1480296753,0.43
all,14,6,1493307631,1.00
all,14,6,14936278,1.00
all,14,6,1497374804,1.00
all,14,6,1506053049,1.00
all,14,6,1512170075,0.94
all,14,6,1513047029,1.00
all,14,6,1515524644,1.00
all,14,6,1518358220,0.51
all,14,6,1518938308,1.00
all,14,6,1526915281,1.00
all,14,6,1537287229,1.00
all,14,6,1539542638,1.00
all,14,6,1540818842,0.66
all,14,6,1540822946,1.00
all,14,6,1547495970,1.00
all,14,6,1550570586,0.50
all,14,6,1558620065,1.00
all,14,6,1558744933,1.00
all,14,6,1563161544,1.00
all,14,6,1569047275,1.00
all,14,6,1569382399,1.00
all,14,6,1571312834,1.00
all,14,6,1575979722,1.00
all,14,6,1579662112,1.00
