level,M,N,seed,completionPct
11,6,6,100809929,1.00
11,6,6,1009539057,1.00
11,6,6,1029969684,1.00
11,6,6,1030181821,1.00
11,6,6,1030554212,1.00
11,6,6,1033844229,1.00
11,6,6,1034009232,1.00
11,6,6,1034327289,1.00
11,6,6,1036792222,1.00
11,6,6,1037422260,1.00
11,6,6,1038969356,1.00
11,6,6,1043077053,1.00
11,6,6,1045450567,1.00
11,6,6,1047769518,1.00
11,6,6,105300218,1.00
11,6,6,1057658027,1.00
11,6,6,1066319765,1.00
11,6,6,1068294217,1.00
11,6,6,1069998148,1.00
11,6,6,1071951939,1.00
11,6,6,1072076429,1.00
11,6,6,1072385085,1.00
11,6,6,1073004428,1.00
11,6,6,1074217102,1.00
11,6,6,1077287342,1.00
11,6,6,1084909320,1.00
11,6,6,1085025411,1.00
11,6,6,1090816095,1.00
11,6,6,1100927448,1.00
11,6,6,1107108192,1.00
11,6,6,1107888539,1.00
11,6,6,1111492824,1.00
11,6,6,1115377620,1.00
11,6,6,1119206168,1.00
11,6,6,1121933026,1.00
11,6,6,1122967096,1.00
11,6,6,1123898083,1.00
11,6,6,1126035392,1.00
11,6,6,112806606,1.00
11,6,6,1128252833,1.00
11,6,6,1129159094,1.00
11,6,6,1131059704,1.00
11,6,6,1137235189,1.00
11,6,6,1139879384,1.00
11,6,6,1143407588,1.00
11,6,6,1145613346,1.00
11,6,6,1150003503,1.00
11,6,6,1150694832,1.00
11,6,6,1159436930,1.00
11,6,6,1160648909,1.00
11,6,6,117328224,1.00
11,6,6,1175696474,1.00
11,6,6,1182638688,1.00
11,6,6,1185915396,1.00
11,6,6,1187046171,1.00
11,6,6,1190239199,1.00
11,6,6,1190792368,1.00
11,6,6,1195844824,1.00
11,6,6,1202452314,1.00
11,6,6,1208380380,1.00
11,6,6,1208508442,1.00
11,6,6,1211801780,1.00
11,6,6,1213262791,1.00
11,6,6,1217339515,1.00
11,6,6,1220492224,1.00
11,6,6,1221765556,1.00
11,6,6,1228754751,1.00
11,6,6,1231157564,1.00
11,6,6,1238891230,1.00
11,6,6,1242720391,1.00
11,6,6,1245105991,1.00
11,6,6,1249167093,1.00
11,6,6,1252346218,1.00
11,6,6,1254864609,1.00
11,6,6,1255078397,1.00
11,6,6,1263216648,1.00
11,6,6,1265574420,1.00
11,6,6,1269061285,1.00
11,6,6,127275858,1.00
11,6,6,1285502751,1.00
11,6,6,1292221910,1.00
11,6,6,129307423,1.00
11,6,6,1296028400,1.00
11,6,6,1302900343,1.00
11,6,6,1303123013,1.00
11,6,6,1309797170,1.00
11,6,6,1313752568,1.00
11,6,6,1315438172,1.00
11,6,6,1320933345,1.00
11,6,6,1330988942,1.00
11,6,6,1332776861,1.00
11,6,6,1335536686,1.00
11,6,6,1336258484,1.00
11,6,6,1337243409,1.00
11,6,6,1339653327,1.00
11,6,6,1342307747,1.00
11,6,6,1350797143,1.00
11,6,6,1353263574,1.00
11,6,6,1356826028,1.00
11,6,6,1358054861,1.00
11,6,6,135946683,1.00
11,6,6,1368070768,1.00
11,6,6,1369775064,1.00
11,6,6,1375710098,1.00
11,6,6,1376033324,1.00
11,6,6,1381641077,1.00
11,6,6,139368356,1.00
11,6,6,1401529789,1.00
11,6,6,1404375611,1.00
11,6,6,1404920320,1.00
11,6,6,1405310601,1.00
11,6,6,1409462045,1.00
11,6,6,1411392765,1.00
11,6,6,1413872660,1.00
11,6,6,1414004282,1.00
11,6,6,141449081,1.00
11,6,6,1417678546,1.00
11,6,6,1417980701,1.00
11,6,6,1419573076,1.00
11,6,6,1424923630,1.00
11,6,6,1425578135,1.00
11,6,6,1425742773,1.00
11,6,6,1427309220,1.00
11,6,6,1431116622,1.00
11,6,6,1431783111,1.00
11,6,6,1437907663,1.00
11,6,6,1438749252,1.00
11,6,6,1440164350,1.00
11,6,6,1445633822,1.00
11,6,6,1447685842,1.00
11,6,6,1449184576,1.00
11,6,6,1463196025,1.00
11,6,6,1470031913,1.00
11,6,6,1475209292,1.00
11,6,6,1478964481,1.00
11,6,6,14854998,1.00
11,6,6,1489019332,1.00
11,6,6,1489807749,1.00
11,6,6,149413870,1.00
11,6,6,152779208,1.00
11,6,6,1531401526,1.00
11,6,6,1532866738,1.00
11,6,6,1534674826,1.00
11,6,6,1539455515,1.00
11,6,6,1540015449,1.00
11,6,6,1540832282,1.00
11,6,6,1541290948,1.00
11,6,6,1549961136,1.00
11,6,6,1551807000,1.00
11,6,6,1554266507,1.00
11,6,6,1555961832,1.00
11,6,6,1558772428,1.00
11,6,6,1559635794,1.00
11,6,6,1565039346,1.00
11,6,6,1572523492,1.00
11,6,6,1581250545,1.00
11,6,6,1582530092,1.00
11,6,6,1584060779,1.00
11,6,6,1584600534,1.00
11,6,6,1595763489,1.00
11,6,6,1607725968,1.00
11,6,6,1608809807,1.00
11,6,6,1609124855,1.00
11,6,6,1612091084,1.00
11,6,6,1614176061,1.00
11,6,6,1628266276,1.00
11,6,6,1651122529,1.00
11,6,6,1654126003,1.00
11,6,6,1669066767,1.00
11,6,6,1672178381,1.00
11,6,6,1676090966,1.00
11,6,6,1677544767,1.00
11,6,6,1688802668,1.00
11,6,6,1689762925,1.00
11,6,6,1690995050,1.00
11,6,6,1696471973,1.00
11,6,6,1697296082,1.00
11,6,6,1700581101,1.00
11,6,6,1703074507,1.00
11,6,6,170355340,1.00
11,6,6,1704935680,1.00
11,6,6,1711278227,1.00
11,6,6,1718418,1.00
11,6,6,172090167,1.00
11,6,6,172201418,1.00
11,6,6,1726813123,1.00
11,6,6,1739763174,1.00
11,6,6,174626930,1.00
11,6,6,1748371846,1.00
11,6,6,1750936045,1.00
11,6,6,1751467941,1.00
11,6,6,1755203880,1.00
11,6,6,1757605806,1.00
11,6,6,1759889347,1.00
11,6,6,1761640014,1.00
11,6,6,1761767949,1.00
11,6,6,1762983406,1.00
11,6,6,1764635379,1.00
11,6,6,1764878238,1.00
11,6,6,1770426831,1.00
11,6,6,1772572608,1.00
11,6,6,1773685207,1.00
11,6,6,1787053544,1.00
11,6,6,1788567117,1.00
11,6,6,1789047986,1.00
11,6,6,1790557626,1.00
11,6,6,1792898838,1.00
11,6,6,1804511556,1.00
11,6,6,1810874642,1.00
11,6,6,1819900257,1.00
11,6,6,1820621480,1.00
11,6,6,1830672546,1.00
11,6,6,1832665146,1.00
11,6,6,1834144705,1.00
11,6,6,1836766890,1.00
11,6,6,1842930466,1.00
11,6,6,1845930416,1.00
11,6,6,1848108161,1.00
11,6,6,1849822423,1.00
11,6,6,1851625009,1.00
11,6,6,1859289069,1.00
11,6,6,1862562829,1.00
11,6,6,186415925,1.00
11,6,6,1878671377,1.00
11,6,6,1879014868,1.00
11,6,6,1879453290,1.00
11,6,6,1881289081,1.00
11,6,6,1884493870,1.00
11,6,6,1888307960,1.00
11,6,6,1891098065,1.00
11,6,6,1892619064,1.00
11,6,6,1893548815,1.00
11,6,6,1900779831,1.00
11,6,6,1906354922,1.00
11,6,6,1912057305,1.00
11,6,6,1912177682,1.00
11,6,6,1913666063,1.00
11,6,6,1914780062,1.00
11,6,6,1915298441,1.00
11,6,6,191861140,1.00
11,6,6,1923512262,1.00
11,6,6,1930757142,1.00
11,6,6,1931732450,1.00
11,6,6,1934465957,1.00
11,6,6,1934993399,1.00
11,6,6,1938258304,1.00
11,6,6,1940347215,1.00
11,6,6,1941457002,1.00
11,6,6,1942291614,1.00
11,6,6,1943676249,1.00
11,6,6,1944599639,1.00
11,6,6,1949416451,1.00
11,6,6,1949507961,1.00
11,6,6,1960571961,1.00
11,6,6,1967987481,1.00
11,6,6,1969107659,1.00
11,6,6,1977094199,1.00
11,6,6,1981559499,1.00
11,6,6,1981671669,1.00
11,6,6,1984037668,1.00
11,6,6,1988214585,1.00
11,6,6,1988478394,1.00
11,6,6,1998311557,1.00
11,6,6,2000030741,1.00
11,6,6,2015060077,1.00
11,6,6,2021931630,1.00
11,6,6,2027688487,1.00
11,6,6,2028102868,1.00
11,6,6,2028810200,1.00
11,6,6,2029425121,1.00
11,6,6,2030596836,1.00
11,6,6,2030856790,1.00
11,6,6,2031597538,1.00
11,6,6,2037846781,1.00
11,6,6,2039607304,1.00
11,6,6,204524667,1.00
11,6,6,204681861,1.00
11,6,6,2051101612,1.00
11,6,6,2054777467,1.00
11,6,6,2064095412,1.00
11,6,6,2064629357,1.00
11,6,6,2064959078,1.00
11,6,6,2066771738,1.00
11,6,6,2076678475,1.00
11,6,6,2076971191,1.00
11,6,6,2077572668,1.00
11,6,6,2084098176,1.00
11,6,6,208678421,1.00
11,6,6,2089732912,1.00
11,6,6,2093836458,1.00
11,6,6,2097316020,1.00
11,6,6,209786224,1.00
11,6,6,2099426419,1.00
11,6,6,2103762104,1.00
11,6,6,2103776526,1.00
11,6,6,2104831377,1.00
11,6,6,2106127540,1.00
11,6,6,2111592790,1.00
11,6,6,2112341389,1.00
11,6,6,2113191176,1.00
11,6,6,2117578617,1.00
11,6,6,2123381148,1.00
11,6,6,2124488016,1.00
11,6,6,2140540004,1.00
11,6,6,214071154,1.00
11,6,6,231156284,1.00
11,6,6,24769757,1.00
11,6,6,25499795,1.00
11,6,6,257989322,1.00
11,6,6,259434529,1.00
11,6,6,267116278,1.00
11,6,6,269795730,1.00
11,6,6,270928864,1.00
11,6,6,271066120,1.00
11,6,6,279513936,1.00
11,6,6,280310453,1.00
11,6,6,285697614,1.00
11,6,6,291211111,1.00
