level,M,N,seed,completionPct
5,1,1,1001337483,0.42
5,1,1,1003182981,0.11
5,1,1,1007673200,1.00
5,1,1,1017987802,1.00
5,1,1,1028582158,0.57
5,1,1,1030529282,0.17
5,1,1,1039656440,0.14
5,1,1,1039958926,1.00
5,1,1,1040279591,1.00
5,1,1,1050610451,1.00
5,1,1,1052231767,0.52
5,1,1,1058701536,0.85
5,1,1,106318831,0.23
5,1,1,1069026296,0.30
5,1,1,1073261962,0.29
5,1,1,1076557370,0.86
5,1,1,1079499836,1.00
5,1,1,1080850458,1.00
5,1,1,1084927739,1.00
5,1,1,109257406,0.82
5,1,1,1092876195,0.51
5,1,1,1096330358,0.86
5,1,1,1101518039,0.46
5,1,1,1103797215,1.00
5,1,1,1106865621,0.15
5,1,1,1108533590,1.00
5,1,1,1109052999,1.00
5,1,1,1109799730,0.07
5,1,1,1110222415,0.50
5,1,1,111213096,0.11
5,1,1,1114571908,0.55
5,1,1,1115187842,0.28
5,1,1,1119196399,0.99
5,1,1,1126401397,1.00
5,1,1,1131058845,1.00
5,1,1,1131581690,0.11
5,1,1,1131613135,0.61
5,1,1,1132145483,1.00
5,1,1,1136010426,1.00
5,1,1,1140193272,1.00
5,1,1,1144164565,0.20
5,1,1,1144579386,0.45
5,1,1,1146224923,0.19
5,1,1,1146501196,0.28
5,1,1,1151216223,1.00
5,1,1,115466941,0.83
5,1,1,1163938905,0.28
5,1,1,1171810536,0.99
5,1,1,1172298365,0.60
5,1,1,1181055952,0.17
5,1,1,1191579156,0.58
5,1,1,1191698522,0.39
5,1,1,1193832465,1.00
5,1,1,1204460456,1.00
5,1,1,1204716381,0.23
5,1,1,1210151073,1.00
5,1,1,1212235686,0.35
5,1,1,1214761128,0.12
5,1,1,1215814554,0.22
5,1,1,1218495589,0.24
5,1,1,1219066790,1.00
5,1,1,123045253,1.00
5,1,1,1232264175,0.88
5,1,1,1235848778,0.14
5,1,1,1236444769,0.76
5,1,1,1241864771,0.64
5,1,1,124298841,0.36
5,1,1,124744416,1.00
5,1,1,1255624819,0.10
5,1,1,1256416308,0.10
5,1,1,1260801016,0.45
5,1,1,1269112854,1.00
5,1,1,1275296992,0.10
5,1,1,1277878635,0.88
5,1,1,1278196828,1.00
5,1,1,1298409871,0.64
5,1,1,1304001244,1.00
5,1,1,1304634074,0.10
5,1,1,1305818215,0.52
5,1,1,1307052646,0.93
5,1,1,1310763269,0.48
5,1,1,1316506596,0.32
5,1,1,1318169826,0.39
5,1,1,1318361584,1.00
5,1,1,1329937215,0.91
5,1,1,1337772860,0.88
5,1,1,1340601869,0.78
5,1,1,1341376769,0.38
5,1,1,1341456887,0.38
5,1,1,1343427867,0.83
5,1,1,1345222923,0.59
5,1,1,1349476568,0.64
5,1,1,135379780,0.06
5,1,1,1355880843,0.21
5,1,1,13659275,0.70
5,1,1,1367647265,0.10
5,1,1,1368210735,0.58
5,1,1,1368844364,1.00
5,1,1,1406641139,0.09
5,1,1,1408965899,0.57
5,1,1,1410860151,0.73
5,1,1,1414777487,0.78
5,1,1,1419231456,0.24
5,1,1,1419370100,0.36
5,1,1,1431744832,0.60
5,1,1,1434278780,0.24
5,1,1,1437734591,0.13
5,1,1,1441227615,1.00
5,1,1,1451840723,1.00
5,1,1,1456029709,0.05
5,1,1,1461591670,0.58
5,1,1,1465489047,1.00
5,1,1,1470023163,0.06
5,1,1,1470461619,0.17
5,1,1,1478183380,1.00
5,1,1,1483054572,0.07
5,1,1,1484858960,0.82
5,1,1,1489383299,0.41
5,1,1,1496138817,0.13
5,1,1,1499825611,0.99
5,1,1,1501295433,0.48
5,1,1,1508606257,0.97
5,1,1,151023715,1.00
5,1,1,1511049827,0.14
5,1,1,1512575964,0.32
5,1,1,1515455419,0.19
5,1,1,1517397549,0.65
5,1,1,1520200606,1.00
5,1,1,1521467182,0.74
5,1,1,152600929,0.06
