level,M,N,seed,completionPct
13,1,1,1751707333,1.00
13,1,1,1752574723,0.35
13,1,1,1755292055,0.35
13,1,1,1763068524,0.34
13,1,1,1763576094,0.08
13,1,1,1764043903,1.00
13,1,1,1768499843,0.39
13,1,1,1774443545,1.00
13,1,1,1774840365,1.00
13,1,1,1779077855,0.31
13,1,1,1781317546,0.08
13,1,1,1782951183,1.00
13,1,1,1783861618,1.00
13,1,1,1790504548,0.38
13,1,1,1790547142,0.68
13,1,1,1792852689,0.08
13,1,1,1799599034,0.52
13,1,1,1809669571,0.54
13,1,1,1810232875,1.00
13,1,1,1813505191,0.21
13,1,1,1814757654,0.59
13,1,1,1821402939,0.18
13,1,1,1822178987,1.00
13,1,1,1823588994,0.31
13,1,1,1826984946,0.73
13,1,1,1830322615,1.00
13,1,1,1841792309,1.00
13,1,1,1849609110,0.48
13,1,1,1857294250,1.00
13,1,1,1861239920,1.00
13,1,1,186347503,0.99
13,1,1,1863483220,1.00
13,1,1,1866042377,0.35
13,1,1,1873310931,0.85
13,1,1,1876528054,0.11
13,1,1,1884945663,0.71
13,1,1,189373925,0.36
13,1,1,1896021290,0.08
13,1,1,1897075634,0.92
13,1,1,1898659241,1.00
13,1,1,1900206360,0.08
13,1,1,1902717410,0.10
13,1,1,1905055054,0.76
13,1,1,1911420460,0.75
13,1,1,1912136999,1.00
13,1,1,191424850,0.24
13,1,1,1915908587,0.46
13,1,1,1916304979,0.33
13,1,1,1920183936,0.57
13,1,1,1931141435,0.19
13,1,1,1933809232,1.00
13,1,1,1933899,0.23
13,1,1,1935484263,0.26
13,1,1,1938044112,0.08
13,1,1,1939118205,0.36
13,1,1,1940087077,1.00
13,1,1,194393103,1.00
13,1,1,1951931375,0.33
13,1,1,1952634103,0.21
13,1,1,1953450367,0.28
13,1,1,1959461210,0.25
13,1,1,1962477882,1.00
13,1,1,1964046921,0.14
13,1,1,1964781881,0.08
13,1,1,1967119289,0.80
13,1,1,1969082414,0.15
13,1,1,1970449289,0.32
13,1,1,1978255347,0.60
13,1,1,1980365222,0.40
13,1,1,1982553882,0.07
13,1,1,1991739479,0.61
13,1,1,1992069853,0.13
13,1,1,1993039326,1.00
13,1,1,200506782,0.08
13,1,1,2022487923,0.22
13,1,1,2023154055,0.16
13,1,1,2024652778,1.00
13,1,1,2026284440,1.00
13,1,1,2038341442,1.00
13,1,1,2044054121,0.43
13,1,1,2045026976,0.15
13,1,1,2045611589,1.00
13,1,1,2050475507,0.32
13,1,1,2065938353,0.06
13,1,1,2066803614,0.08
13,1,1,2071909636,0.08
13,1,1,2077608275,1.00
13,1,1,2079017051,0.08
13,1,1,208666184,0.41
13,1,1,2087876253,0.25
13,1,1,2088587549,0.18
13,1,1,2096675655,1.00
13,1,1,2101412703,0.60
13,1,1,2103482680,0.56
13,1,1,2105649790,0.49
13,1,1,2110970387,0.57
13,1,1,2112066416,1.00
13,1,1,2121291826,1.00
13,1,1,212353750,1.00
13,1,1,2129220521,0.29
13,1,1,2134096301,0.33
13,1,1,2143076781,1.00
13,1,1,2146964652,0.75
13,1,1,214847149,0.38
13,1,1,216905981,1.00
13,1,1,218849217,1.00
13,1,1,219912329,0.80
13,1,1,227333982,0.47
13,1,1,227415321,0.67
13,1,1,231019863,0.08
13,1,1,232139785,0.23
13,1,1,237779434,1.00
13,1,1,240168848,1.00
13,1,1,247033081,0.15
13,1,1,252740414,1.00
13,1,1,253769012,1.00
13,1,1,255328789,0.39
13,1,1,259577257,0.92
13,1,1,260013128,0.48
13,1,1,267102229,0.16
13,1,1,272707579,0.32
13,1,1,274513142,1.00
13,1,1,28072511,0.13
13,1,1,281373340,1.00
13,1,1,285218646,0.37
13,1,1,289103888,1.00
13,1,1,289948465,0.66
13,1,1,292227375,1.00
13,1,1,295851496,0.78
13,1,1,304150082,0.82
13,1,1,304883982,0.14
13,1,1,3060660,0.36
13,1,1,30791731,0.13
13,1,1,308691431,0.19
13,1,1,319372217,0.39
13,1,1,320271057,0.08
13,1,1,326016465,0.18
13,1,1,327805643,0.52
13,1,1,330385972,0.47
13,1,1,331275118,0.26
13,1,1,331954787,0.12
13,1,1,333254695,1.00
13,1,1,339315514,0.37
13,1,1,340263740,0.98
13,1,1,344865308,0.71
13,1,1,345448278,0.59
13,1,1,346327607,0.62
13,1,1,346667252,0.74
13,1,1,346725793,0.84
13,1,1,353337821,0.54
13,1,1,361776657,0.15
13,1,1,367317397,0.31
13,1,1,370292862,1.00
13,1,1,380109107,1.00
13,1,1,382141955,0.73
13,1,1,382258617,0.09
13,1,1,386097233,0.41
13,1,1,388169844,1.00
13,1,1,394171644,1.00
13,1,1,395538288,0.36
13,1,1,403681289,0.27
13,1,1,407483390,1.00
13,1,1,407806473,0.77
