level,M,N,seed,completionPct
8,2,2,1002221447,0.13
8,2,2,1003192026,1.00
8,2,2,101277513,0.12
8,2,2,1013722796,1.00
8,2,2,1018637518,1.00
8,2,2,1024843062,0.42
8,2,2,1026797542,0.16
8,2,2,1034095704,1.00
8,2,2,1035258029,0.17
8,2,2,1035302114,1.00
8,2,2,1037165908,1.00
8,2,2,1064530934,0.96
8,2,2,1070253627,0.48
8,2,2,1073991198,0.25
8,2,2,1078238519,1.00
8,2,2,1079659711,0.41
8,2,2,1089015963,1.00
8,2,2,1092756634,1.00
8,2,2,1093418118,0.71
8,2,2,1101346450,1.00
8,2,2,1122085835,0.70
8,2,2,1126083708,1.00
8,2,2,1128697502,0.68
8,2,2,1137220935,0.53
8,2,2,1137545103,1.00
8,2,2,1140944606,0.12
8,2,2,1142484002,0.45
8,2,2,1142597197,1.00
8,2,2,1143486029,0.34
8,2,2,1154926906,0.08
8,2,2,1157730507,0.26
8,2,2,11628051,0.89
8,2,2,1165080065,0.12
8,2,2,1168887726,0.21
8,2,2,1170143994,0.15
8,2,2,1172590970,0.96
8,2,2,1176071451,0.45
8,2,2,1180691312,0.37
8,2,2,118543745,1.00
8,2,2,1186607487,1.00
8,2,2,1188026251,0.12
8,2,2,1188502757,0.60
8,2,2,1189021742,0.06
8,2,2,1192848505,0.22
8,2,2,1198312004,0.77
8,2,2,120061287,0.50
8,2,2,1202272553,0.24
8,2,2,1212730453,0.84
8,2,2,1213186888,0.41
8,2,2,1214085982,1.00
8,2,2,1219570271,0.86
8,2,2,1220914512,1.00
8,2,2,1224605099,0.75
8,2,2,1230597560,0.14
8,2,2,1234939998,1.00
8,2,2,1235550394,0.16
8,2,2,1236612884,0.13
8,2,2,1241048708,1.00
8,2,2,1241888939,0.38
8,2,2,1243654596,0.19
8,2,2,1252882785,0.16
8,2,2,1253418988,0.35
8,2,2,1255591006,0.60
8,2,2,1279783441,0.13
8,2,2,1280316215,1.00
8,2,2,1282505427,1.00
8,2,2,1291264595,0.52
8,2,2,1293798679,1.00
8,2,2,129773636,0.68
8,2,2,1300042747,0.52
8,2,2,130407555,1.00
8,2,2,130593944,0.19
8,2,2,1307713477,0.10
8,2,2,1315545550,1.00
8,2,2,1319547359,0.08
8,2,2,132062566,0.07
8,2,2,1325732824,1.00
8,2,2,1326698964,0.11
8,2,2,1340034482,0.07
8,2,2,1340089154,1.00
8,2,2,1343063213,0.79
8,2,2,1345516631,0.29
8,2,2,1348366022,1.00
8,2,2,13514819,1.00
8,2,2,1356062211,0.72
8,2,2,1356535651,1.00
8,2,2,1358253402,0.32
8,2,2,1359419341,0.53
8,2,2,1359822498,0.43
8,2,2,1360565357,0.11
8,2,2,1362866724,0.06
8,2,2,1363387734,0.75
8,2,2,1364137447,0.08
8,2,2,1373649436,0.36
8,2,2,1374813576,1.00
8,2,2,1382439513,1.00
8,2,2,1383670735,0.07
8,2,2,1386111918,0.21
8,2,2,1391122792,0.60
8,2,2,1400082465,0.36
8,2,2,1402711442,0.95
8,2,2,1403474437,0.38
8,2,2,1404620061,1.00
8,2,2,1406300936,0.91
8,2,2,1406717675,1.00
8,2,2,1410075521,0.08
