level,M,N,seed,leniencyMetric
all,2,2,1712995159,-47.9571
all,2,2,1718825415,-53.6333
all,2,2,1726355006,-53.9118
all,2,2,1727614195,-49.6628
all,2,2,1729283793,-57.3864
all,2,2,1731241459,-45.9286
all,2,2,173324371,-55.5000
all,2,2,1734983820,-46.0897
all,2,2,1736927955,-51.1410
all,2,2,1741266142,-52.2500
all,2,2,1743264730,-47.1857
all,2,2,1750180420,-55.7759
all,2,2,1754382556,-52.2750
all,2,2,1754719726,-50.7414
all,2,2,1756515094,-49.3000
all,2,2,1761243351,-60.8684
all,2,2,1777983941,-54.4167
all,2,2,1779847919,-50.8226
all,2,2,1780018293,-49.3205
all,2,2,1783035865,-55.2500
all,2,2,1784400485,-52.9138
all,2,2,1785013374,-55.9286
all,2,2,1786126378,-50.7708
all,2,2,1787008643,-47.8409
all,2,2,1788846950,-49.5263
all,2,2,1792465840,-58.9390
all,2,2,1801207137,-55.9103
all,2,2,1811800664,-59.1552
all,2,2,1815806383,-57.4474
all,2,2,18161333,-44.5000
all,2,2,1818025879,-46.1316
all,2,2,1824186194,-42.1000
all,2,2,1824418536,-48.3333
all,2,2,1829040536,-50.3696
all,2,2,1829568691,-51.2333
all,2,2,1839067692,-53.7069
all,2,2,1840869935,-48.5571
all,2,2,1841583134,-51.2586
all,2,2,1852411569,-48.6563
all,2,2,185365952,-57.2222
all,2,2,1856426629,-48.7821
all,2,2,1860824840,-49.8415
all,2,2,1862133219,-58.1279
all,2,2,1862386922,-49.7083
all,2,2,1870763046,-58.6351
all,2,2,1873747624,-50.9167
all,2,2,1877706133,-47.3000
all,2,2,1880502128,-50.9444
all,2,2,1884638580,-44.3788
all,2,2,1888822265,-58.1486
all,2,2,1908253110,-66.5256
all,2,2,1909541276,-48.1923
all,2,2,1909667671,-47.4032
all,2,2,1910179968,-45.1000
all,2,2,191544278,-47.3649
all,2,2,1932700662,-49.1486
all,2,2,1933500658,-46.7857
all,2,2,1934380881,-47.9848
all,2,2,1935573920,-47.3421
all,2,2,193817994,-62.6875
all,2,2,1938393722,-45.8421
all,2,2,1943721331,-47.1842
all,2,2,1944444860,-47.5833
all,2,2,1947213365,-52.3605
