level,M,N,seed,leniencyMetric
8,1,1,1002221447,-164.1603
8,1,1,1003192026,-172.1798
8,1,1,101277513,-176.4675
8,1,1,1013722796,-172.1616
8,1,1,1018637518,-158.3775
8,1,1,1024843062,-162.1710
8,1,1,1026797542,-165.9717
8,1,1,1034095704,-156.0455
8,1,1,1035258029,-174.5387
8,1,1,1035302114,-160.5327
8,1,1,1037165908,-173.1091
8,1,1,1064530934,-160.8803
8,1,1,1070253627,-158.4371
8,1,1,1073991198,-173.8253
8,1,1,1078238519,-159.6933
8,1,1,1079659711,-164.9196
8,1,1,1089015963,-152.5345
8,1,1,1092756634,-175.6154
8,1,1,1093418118,-160.3137
8,1,1,1101346450,-169.5433
8,1,1,1122085835,-160.7150
8,1,1,1126083708,-164.2226
8,1,1,1128697502,-162.1262
8,1,1,1137220935,-161.8235
8,1,1,1137545103,-173.1186
8,1,1,1140944606,-163.2628
8,1,1,1142484002,-167.7264
8,1,1,1142597197,-184.8448
8,1,1,1143486029,-166.0949
8,1,1,1154926906,-159.3289
8,1,1,1157730507,-168.0280
8,1,1,11628051,-162.7572
8,1,1,1165080065,-168.4627
8,1,1,1168887726,-171.7401
8,1,1,1170143994,-173.6325
8,1,1,1172590970,-157.5000
8,1,1,1176071451,-175.7075
8,1,1,1180691312,-170.4381
8,1,1,118543745,-176.8982
8,1,1,1186607487,-177.6833
8,1,1,1188026251,-163.2821
8,1,1,1188502757,-170.2187
8,1,1,1189021742,-170.7377
8,1,1,1192848505,-174.3663
8,1,1,1198312004,-162.2751
8,1,1,120061287,-162.0974
8,1,1,1202272553,-174.0315
8,1,1,1212730453,-165.8333
8,1,1,1213186888,-173.0165
8,1,1,1214085982,-156.2819
8,1,1,1219570271,-182.7415
8,1,1,1220914512,-167.9875
8,1,1,1224605099,-170.2431
8,1,1,1230597560,-167.5031
8,1,1,1234939998,-171.6505
8,1,1,1235550394,-173.4864
8,1,1,1236612884,-165.3119
8,1,1,1241048708,-166.5505
8,1,1,1241888939,-159.9536
8,1,1,1243654596,-178.6855
8,1,1,1252882785,-172.6747
8,1,1,1253418988,-163.6058
8,1,1,1255591006,-173.3343
8,1,1,1279783441,-173.7169
8,1,1,1280316215,-166.4279
8,1,1,1282505427,-173.5120
8,1,1,1291264595,-166.6365
8,1,1,1293798679,-167.9125
8,1,1,129773636,-179.2406
8,1,1,1300042747,-164.6246
8,1,1,130407555,-163.0545
8,1,1,130593944,-169.6821
8,1,1,1307713477,-161.0487
8,1,1,1315545550,-156.1970
8,1,1,1319547359,-168.3266
8,1,1,132062566,-161.3961
8,1,1,1325732824,-165.9340
8,1,1,1326698964,-162.2760
8,1,1,1340034482,-174.1478
8,1,1,1340089154,-175.5761
8,1,1,1343063213,-162.6935
8,1,1,1345516631,-167.8910
8,1,1,1348366022,-184.2571
8,1,1,13514819,-177.1979
8,1,1,1356062211,-162.2338
8,1,1,1356535651,-175.3876
8,1,1,1358253402,-167.3906
8,1,1,1359419341,-162.2355
8,1,1,1359822498,-171.4266
8,1,1,1360565357,-163.2990
8,1,1,1362866724,-160.3553
8,1,1,1363387734,-161.8074
8,1,1,1364137447,-174.5886
8,1,1,1373649436,-165.6609
8,1,1,1374813576,-166.3679
8,1,1,1382439513,-164.6885
8,1,1,1383670735,-167.0658
8,1,1,1386111918,-170.8196
8,1,1,1391122792,-167.8540
8,1,1,1400082465,-161.5099
8,1,1,1402711442,-156.0758
8,1,1,1403474437,-160.8102
8,1,1,1404620061,-180.8499
8,1,1,1406300936,-164.1442
8,1,1,1406717675,-168.8148
8,1,1,1410075521,-176.9176
8,1,1,1421910779,-168.4439
8,1,1,1422011108,-169.5032
8,1,1,1422509260,-174.6796
8,1,1,142291839,-162.6104
8,1,1,1430422464,-167.7516
8,1,1,1434284078,-167.8239
8,1,1,143436950,-170.6563
8,1,1,1440283942,-155.6081
8,1,1,144572349,-157.6187
8,1,1,1448740583,-169.2785
8,1,1,1448752666,-171.4052
8,1,1,1450487528,-163.0065
8,1,1,1452040610,-164.6146
8,1,1,1460856504,-159.7871
8,1,1,1462459344,-185.1582
8,1,1,146770739,-180.3966
8,1,1,1468388080,-169.8831
8,1,1,147347444,-163.0417
8,1,1,147531162,-167.3287
8,1,1,1478254382,-182.3523
8,1,1,1484138497,-160.9426
8,1,1,1488159565,-172.6647
8,1,1,1488968538,-157.9548
8,1,1,1490296087,-156.7676
8,1,1,1490936815,-161.6201
8,1,1,1493072865,-155.2952
8,1,1,1497931914,-161.7706
8,1,1,1499198570,-169.1873
8,1,1,1500989052,-169.7407
8,1,1,1501471408,-151.6049
8,1,1,1510270314,-173.6265
8,1,1,1521170249,-160.7647
8,1,1,1521443375,-171.3769
8,1,1,1522719881,-167.6873
8,1,1,1529490757,-173.6377
8,1,1,1536030776,-174.6537
8,1,1,1538515097,-176.9882
8,1,1,1539649392,-166.9214
8,1,1,1541387860,-165.6540
8,1,1,1542458534,-158.9669
8,1,1,1542551228,-158.3179
8,1,1,1544509820,-165.6672
8,1,1,1550369127,-167.1885
8,1,1,1553937928,-166.5252
8,1,1,1563211497,-165.1270
8,1,1,1579504447,-174.6495
8,1,1,1585208546,-176.1409
8,1,1,1588806617,-167.5094
8,1,1,1596892669,-182.7536
8,1,1,159830820,-169.5665
8,1,1,1605376023,-166.3208
8,1,1,1607979593,-180.8613
8,1,1,1631286799,-156.9933
8,1,1,1632247011,-172.3831
8,1,1,1633072422,-173.7333
8,1,1,1633290882,-168.6118
8,1,1,1633391189,-159.2599
8,1,1,1639805589,-166.4874
8,1,1,1643101269,-175.6250
8,1,1,1645700755,-171.1697
8,1,1,1651003459,-164.2428
8,1,1,1651842115,-179.4290
8,1,1,1652193439,-169.0404
8,1,1,1655541515,-166.4279
8,1,1,1666082791,-172.2052
8,1,1,1667431112,-172.3364
8,1,1,1674302921,-163.3107
8,1,1,1681088631,-173.1066
8,1,1,1684472254,-175.9790
8,1,1,1691047137,-166.9219
8,1,1,1692721390,-157.2742
8,1,1,1693379270,-175.2432
8,1,1,1695345702,-151.6748
8,1,1,1700768688,-163.5160
8,1,1,1710770883,-167.9781
8,1,1,1711597751,-156.9746
8,1,1,1713277237,-167.4034
8,1,1,1714387532,-159.3618
8,1,1,1715290266,-165.6139
8,1,1,171617307,-178.0044
8,1,1,1722350310,-168.7500
8,1,1,1728390144,-166.8544
8,1,1,1731087520,-170.8804
8,1,1,1735573081,-167.4592
8,1,1,1736107374,-169.3972
8,1,1,1736794387,-164.6270
8,1,1,1738133733,-170.8712
8,1,1,1738500724,-168.7988
8,1,1,1738601556,-160.2617
8,1,1,1739735035,-165.8594
8,1,1,1741228926,-164.1877
8,1,1,1742936134,-150.6573
8,1,1,1745564518,-174.1677
8,1,1,1755542398,-164.2308
8,1,1,175625868,-162.9872
8,1,1,1756986284,-160.3696
8,1,1,1759915671,-153.5294
8,1,1,1760211008,-156.8906
8,1,1,1760579921,-154.8390
8,1,1,1767219717,-165.1297
8,1,1,1768325518,-167.8408
8,1,1,1771867018,-179.4360
8,1,1,1776180556,-168.5596
8,1,1,1779330549,-169.3323
8,1,1,1779787179,-171.1564
8,1,1,1783271268,-165.9906
8,1,1,1784005156,-167.7975
8,1,1,1787342922,-169.6319
8,1,1,1789750402,-168.8916
8,1,1,1805462267,-187.8130
8,1,1,1812386212,-168.8056
8,1,1,1817527682,-162.7452
8,1,1,1824115102,-162.6133
8,1,1,1826204582,-170.6472
8,1,1,1827846800,-163.6897
8,1,1,1828609705,-170.2309
8,1,1,1829410561,-163.1763
8,1,1,1849496629,-170.9297
8,1,1,1855135050,-173.1566
8,1,1,1860119076,-165.1968
8,1,1,1865258771,-181.0029
8,1,1,1867573304,-168.0125
8,1,1,187596329,-170.2231
8,1,1,1877854469,-167.8442
8,1,1,188927746,-164.5701
8,1,1,1895965862,-165.6048
8,1,1,189695264,-171.1453
8,1,1,190354332,-175.9243
8,1,1,1909617758,-178.4106
8,1,1,1910799660,-164.5444
8,1,1,1911357664,-167.9439
8,1,1,192584049,-162.0000
8,1,1,1926008237,-157.8900
8,1,1,1926963066,-168.0126
8,1,1,1937190408,-167.9720
8,1,1,19379953,-173.2952
8,1,1,1947121303,-166.6285
8,1,1,195090384,-172.2409
8,1,1,1951319130,-170.7927
8,1,1,1959943044,-167.8660
8,1,1,1972438551,-181.6567
8,1,1,19754412,-166.9906
8,1,1,1977276055,-165.5662
8,1,1,1981996956,-171.6455
8,1,1,198215643,-167.2610
8,1,1,1985476781,-162.1548
8,1,1,1985602132,-160.9557
8,1,1,1990350562,-167.4128
8,1,1,1996227370,-163.1447
8,1,1,1997619362,-181.1029
8,1,1,2000652555,-164.6346
8,1,1,200554868,-163.6635
8,1,1,2006860233,-162.5482
8,1,1,2018757017,-163.1704
8,1,1,2024078783,-155.6224
8,1,1,2026633003,-169.4381
8,1,1,2027210993,-168.2531
