level,M,N,seed,Leniency
10,5,5,1007377500,-42.9000
10,5,5,100809929,-42.9000
10,5,5,1008910923,-42.9000
10,5,5,1009539057,-42.9000
10,5,5,1021367272,-42.9000
10,5,5,1023422436,-42.9000
10,5,5,1024293374,-42.9000
10,5,5,1030181821,-42.9000
10,5,5,1030554212,-42.9000
10,5,5,1031355879,-42.9000
10,5,5,1033844229,-42.9000
10,5,5,1034009232,-42.9000
10,5,5,1034327289,-42.9000
10,5,5,1036792222,-42.9000
10,5,5,1038969356,-42.9000
10,5,5,1043077053,-42.9000
10,5,5,1047769518,-42.9000
10,5,5,105300218,-42.9000
10,5,5,1053224620,-42.9000
10,5,5,1057658027,-42.9000
10,5,5,1057741487,-42.9000
10,5,5,1060614365,-42.9000
10,5,5,1066319765,-42.9000
10,5,5,1068294217,-42.9000
10,5,5,106938787,-42.9000
10,5,5,1069998148,-42.9000
10,5,5,1072076429,-42.9000
10,5,5,1073004428,-42.9000
10,5,5,1074217102,-42.9000
10,5,5,1079141869,-42.9000
10,5,5,1084909320,-42.9000
10,5,5,1085025411,-42.9000
10,5,5,1101331502,-42.9000
10,5,5,1103029117,-42.9000
10,5,5,1107108192,-42.9000
10,5,5,1111492824,-42.9000
10,5,5,1111629349,-42.9000
10,5,5,1115377620,-42.9000
10,5,5,1123898083,-42.9000
10,5,5,1126035392,-42.9000
10,5,5,112806606,-42.9000
10,5,5,1128252833,-42.9000
10,5,5,1129159094,-42.9000
10,5,5,1129562518,-42.9000
10,5,5,1129766833,-42.9000
10,5,5,1131059704,-42.9000
10,5,5,1137235189,-42.9000
10,5,5,113933278,-42.9000
10,5,5,1144006319,-42.9000
10,5,5,1146421746,-42.9000
10,5,5,1149095865,-42.9000
10,5,5,1150003503,-42.9000
10,5,5,115004013,-42.9000
10,5,5,1155383755,-42.9000
10,5,5,1160648909,-42.9000
10,5,5,1169063424,-42.9000
10,5,5,117328224,-42.9000
10,5,5,1177145613,-42.9000
10,5,5,1182638688,-42.9000
10,5,5,1185915396,-42.9000
10,5,5,1187046171,-42.9000
10,5,5,118958320,-42.9000
10,5,5,1190239199,-42.9000
10,5,5,1190792368,-42.9000
10,5,5,1197460902,-42.9000
10,5,5,1202452314,-42.9000
10,5,5,1208380380,-42.9000
10,5,5,1208508442,-42.9000
10,5,5,1213262791,-42.9000
10,5,5,1217339515,-42.9000
10,5,5,1220492224,-42.9000
10,5,5,1221765556,-42.9000
10,5,5,1223773794,-42.9000
10,5,5,1226574802,-42.9000
10,5,5,1227166346,-42.9000
10,5,5,1228754751,-42.9000
10,5,5,1235328474,-42.9000
10,5,5,1238891230,-42.9000
10,5,5,1242720391,-42.9000
10,5,5,1245105991,-42.9000
10,5,5,1248132426,-42.9000
10,5,5,1249167093,-42.9000
10,5,5,1249799023,-42.9000
10,5,5,1252346218,-42.9000
10,5,5,1254747013,-42.9000
10,5,5,1254864609,-42.9000
10,5,5,1255078397,-42.9000
10,5,5,1259174031,-42.9000
10,5,5,1261677122,-42.9000
10,5,5,1263216648,-42.9000
10,5,5,1265574420,-42.9000
10,5,5,127275858,-42.9000
10,5,5,1278571457,-42.9000
10,5,5,1292221910,-42.9000
10,5,5,129307423,-42.9000
10,5,5,1296028400,-42.9000
10,5,5,1299731499,-42.9000
10,5,5,1302900343,-42.9000
10,5,5,1303123013,-42.9000
10,5,5,1309797170,-42.9000
10,5,5,1309951381,-42.9000
10,5,5,1313468976,-42.9000
10,5,5,1313752568,-42.9000
10,5,5,1320330649,-42.9000
10,5,5,1320933345,-42.9000
10,5,5,1328938571,-42.9000
10,5,5,1330988942,-42.9000
10,5,5,1331119457,-42.9000
10,5,5,1333929536,-42.9000
10,5,5,1334811903,-42.9000
10,5,5,1336258484,-42.9000
10,5,5,1337243409,-42.9000
10,5,5,1339653327,-42.9000
10,5,5,1350797143,-42.9000
10,5,5,1353263574,-42.9000
10,5,5,1356826028,-42.9000
10,5,5,1358054861,-42.9000
10,5,5,135946683,-42.9000
10,5,5,1360220328,-42.9000
10,5,5,1368070768,-42.9000
10,5,5,1369775064,-42.9000
10,5,5,1376033324,-42.9000
10,5,5,1376417056,-42.9000
10,5,5,1381641077,-42.9000
10,5,5,1384477475,-42.9000
10,5,5,139368356,-42.9000
10,5,5,1401529789,-42.9000
10,5,5,1404920320,-42.9000
10,5,5,1405310601,-42.9000
10,5,5,1407214316,-42.9000
10,5,5,1409462045,-42.9000
