level,M,N,seed,Leniency
all,5,5,1001123197,-60.8333
all,5,5,1003002314,-51.5000
all,5,5,1004505493,-39.7000
all,5,5,1005196687,-44.2500
all,5,5,1007123487,-30.3571
all,5,5,1011173588,-52.3333
all,5,5,1025017788,-25.1250
all,5,5,1035204856,-61.8333
all,5,5,1044227104,-44.2500
all,5,5,1044606885,-42.4000
all,5,5,1044728683,-56.7273
all,5,5,104783863,-70.5000
all,5,5,104957404,-42.3889
all,5,5,1054383769,-45.0000
all,5,5,1055319602,-42.5000
all,5,5,1058411675,-47.9118
all,5,5,1059397968,-28.0000
all,5,5,106015260,-92.0000
all,5,5,1063785161,-46.7500
all,5,5,1064510888,-58.1667
all,5,5,1067305751,-61.8333
all,5,5,1068247938,-33.0000
all,5,5,1069224076,-41.9000
all,5,5,1071783754,-71.7500
all,5,5,1075934982,-92.0000
all,5,5,1080615095,-30.1000
all,5,5,1081760984,-63.8333
all,5,5,1084215888,-60.5000
all,5,5,1095954113,-30.0714
all,5,5,1095961960,-45.5000
all,5,5,1097415600,-90.5000
all,5,5,1100619669,-42.9000
all,5,5,1104252799,-91.0000
all,5,5,1108748165,-42.0714
all,5,5,1110242813,-71.6667
all,5,5,1111109187,-63.5000
all,5,5,1113013786,-49.0455
all,5,5,1114669917,-70.5000
all,5,5,1117450043,-52.5714
all,5,5,1117731551,-45.7500
all,5,5,1125073921,-31.1154
all,5,5,1130921827,-49.3750
all,5,5,1131790060,-46.5000
all,5,5,1136700782,-58.5000
all,5,5,1142189215,-56.1667
all,5,5,1149314936,-60.3750
all,5,5,1152269405,-82.5000
all,5,5,1156187850,-34.6111
all,5,5,1156765998,-58.8333
all,5,5,1162221605,-44.8333
all,5,5,1165538701,-54.0000
all,5,5,1165769601,-48.8000
all,5,5,1165874163,-43.3889
all,5,5,1172390067,-51.8889
all,5,5,1185393635,-70.4333
all,5,5,1192984284,-27.7500
all,5,5,119989959,-36.3333
all,5,5,1202192130,-55.3571
all,5,5,120541634,-60.5000
all,5,5,1208795532,-49.0000
all,5,5,1213267582,-69.7222
all,5,5,1217198594,-24.4167
all,5,5,1226000117,-44.5000
all,5,5,1226964952,-51.9444
all,5,5,1228261021,-38.5769
all,5,5,1241802067,-61.4615
all,5,5,1242196772,-49.7500
all,5,5,1242242665,-50.0000
all,5,5,1249423349,-50.3000
all,5,5,1254354348,-49.5000
all,5,5,1257027099,-66.5000
all,5,5,1262255503,-68.5833
all,5,5,126425022,-77.2500
all,5,5,1264827198,-58.8333
all,5,5,1275109495,-35.1000
all,5,5,1275762322,-82.0000
all,5,5,1282103913,-44.0000
all,5,5,1285069552,-53.3000
all,5,5,1285639001,-64.9444
all,5,5,1286325301,-60.8333
all,5,5,1287087174,-52.7500
all,5,5,1295372085,-37.1667
all,5,5,1296008841,-63.5000
all,5,5,1298433575,-52.1250
all,5,5,1302116771,-61.7000
all,5,5,1302774543,-95.7500
all,5,5,130522989,-91.0000
all,5,5,1309921249,-52.7857
all,5,5,1315955308,-90.0000
all,5,5,1319011313,-31.7857
all,5,5,1319648610,-64.5000
all,5,5,1327949217,-39.3333
all,5,5,1331535738,-25.2778
all,5,5,1331710198,-41.2222
all,5,5,1332646346,-63.5000
all,5,5,1335813822,-34.2692
all,5,5,1338752352,-47.6111
all,5,5,134526865,-57.7222
all,5,5,1353875771,-57.5000
all,5,5,1355657102,-57.0294
all,5,5,1357166998,-47.5000
all,5,5,1359954194,-86.5000
all,5,5,136212761,-35.6111
all,5,5,1365147146,-29.6250
all,5,5,1367352505,-28.2273
all,5,5,1373373174,-59.1667
all,5,5,1385214231,-51.3571
all,5,5,1386455293,-35.2857
all,5,5,1386871797,-48.7500
all,5,5,1393123234,-40.7500
all,5,5,1396788012,-51.0000
