level,M,N,seed,leniencyMetric
13modified,14,6,1579718788,-31.9333
13modified,14,6,158110650,-31.9333
13modified,14,6,1597192292,-31.9333
13modified,14,6,1597649420,-31.9333
13modified,14,6,1601766857,-31.9333
13modified,14,6,1604585759,-31.9333
13modified,14,6,1604786055,-31.9333
13modified,14,6,1605354317,-31.9333
13modified,14,6,1607801886,-31.9333
13modified,14,6,1613391508,-31.9333
13modified,14,6,1614539992,-31.9333
13modified,14,6,1617315229,-31.9333
13modified,14,6,1618232878,-31.9333
13modified,14,6,1629482376,-31.9333
13modified,14,6,1634652975,-31.9333
13modified,14,6,1652401447,-31.9333
13modified,14,6,1652650581,-31.9333
13modified,14,6,1659812313,-31.9333
13modified,14,6,1662992992,-31.9333
13modified,14,6,1672446981,-31.9333
13modified,14,6,1676942378,-31.9333
13modified,14,6,1692069932,-31.9333
13modified,14,6,1693272981,-31.9333
13modified,14,6,1698163619,-31.9333
13modified,14,6,1698845061,-31.9333
13modified,14,6,1710804631,-31.9333
13modified,14,6,1715881790,-31.9333
13modified,14,6,1719068081,-31.9333
13modified,14,6,1719353174,-31.9333
13modified,14,6,1724762333,-31.9333
13modified,14,6,1724803975,-31.9333
13modified,14,6,1729547969,-31.9333
13modified,14,6,1739807908,-31.9333
13modified,14,6,1740360962,-31.9333
13modified,14,6,1749190164,-31.9333
13modified,14,6,175484159,-31.9333
13modified,14,6,1756758712,-31.9333
13modified,14,6,1758501093,-31.9333
13modified,14,6,1762583483,-31.9333
13modified,14,6,1770666646,-31.9333
13modified,14,6,1771148841,-31.9333
13modified,14,6,1771567484,-31.9333
13modified,14,6,1775484855,-31.9333
13modified,14,6,1777306666,-31.9333
13modified,14,6,1782619294,-31.9333
13modified,14,6,1783803413,-31.9333
13modified,14,6,1787634100,-31.9333
13modified,14,6,1788470910,-31.9333
13modified,14,6,1789062027,-31.9333
13modified,14,6,1800200003,-31.9333
13modified,14,6,1802225254,-31.9333
13modified,14,6,1806786271,-31.9333
13modified,14,6,180789243,-31.9333
13modified,14,6,1809291652,-31.9333
13modified,14,6,1810257406,-31.9333
13modified,14,6,1811421511,-31.9333
13modified,14,6,1813256826,-31.9333
13modified,14,6,1814228121,-31.9333
13modified,14,6,1830678009,-31.9333
13modified,14,6,1832144932,-31.9333
13modified,14,6,183419651,-31.9333
13modified,14,6,1847457651,-31.9333
13modified,14,6,184945281,-31.9333
13modified,14,6,1850250508,-31.9333
13modified,14,6,1853858560,-31.9333
13modified,14,6,1857561842,-31.9333
13modified,14,6,1859854661,-31.9333
13modified,14,6,1860004022,-31.9333
13modified,14,6,1870969858,-31.9333
13modified,14,6,1878727327,-31.9333
13modified,14,6,1897867746,-31.9333
13modified,14,6,1899332987,-31.9333
13modified,14,6,1899616485,-31.9333
13modified,14,6,190191226,-31.9333
13modified,14,6,1905607607,-31.9333
13modified,14,6,1907336851,-31.9333
13modified,14,6,1910531511,-31.9333
13modified,14,6,1916943627,-31.9333
13modified,14,6,1924240071,-31.9333
13modified,14,6,1925525807,-31.9333
13modified,14,6,192577671,-31.9333
13modified,14,6,1929218352,-31.9333
13modified,14,6,1931976251,-31.9333
13modified,14,6,1937816086,-31.9333
13modified,14,6,1937827682,-31.9333
13modified,14,6,193879586,-31.9333
13modified,14,6,1942749039,-31.9333
13modified,14,6,1943261232,-31.9333
13modified,14,6,1952225308,-31.9333
13modified,14,6,1960555934,-31.9333
13modified,14,6,1962320612,-31.9333
13modified,14,6,1968901410,-31.9333
13modified,14,6,1969389892,-31.9333
13modified,14,6,1972513283,-31.9333
13modified,14,6,1982083757,-31.9333
13modified,14,6,1983805141,-31.9333
13modified,14,6,1985446787,-31.9333
13modified,14,6,1987651981,-31.9333
13modified,14,6,1988172034,-31.9333
13modified,14,6,198837763,-31.9333
13modified,14,6,1989953625,-31.9333
13modified,14,6,1993138114,-31.9333
13modified,14,6,1993481542,-31.9333
13modified,14,6,199364799,-31.9333
13modified,14,6,1994312858,-31.9333
13modified,14,6,1996698252,-31.9333
13modified,14,6,2001101864,-31.9333
13modified,14,6,2002338203,-31.9333
13modified,14,6,2006886622,-31.9333
13modified,14,6,2010052489,-31.9333
13modified,14,6,2013068938,-31.9333
13modified,14,6,2023806427,-31.9333
13modified,14,6,2027311277,-31.9333
13modified,14,6,2027517390,-31.9333
13modified,14,6,2027626647,-31.9333
13modified,14,6,2032250921,-31.9333
13modified,14,6,2041951748,-31.9333
13modified,14,6,2046196425,-31.9333
13modified,14,6,2062675215,-31.9333
13modified,14,6,2067589604,-31.9333
13modified,14,6,2068881692,-31.9333
13modified,14,6,2079293851,-31.9333
13modified,14,6,2080142758,-31.9333
13modified,14,6,2080969392,-31.9333
13modified,14,6,2083163847,-31.9333
13modified,14,6,2087945074,-31.9333
13modified,14,6,2089014283,-31.9333
13modified,14,6,2092598495,-31.9333
13modified,14,6,2097633736,-31.9333
13modified,14,6,210085301,-31.9333
13modified,14,6,2102878559,-31.9333
13modified,14,6,2103455241,-31.9333
13modified,14,6,2110303771,-31.9333
13modified,14,6,2112990345,-31.9333
13modified,14,6,2115544216,-31.9333
13modified,14,6,2118360007,-31.9333
13modified,14,6,2123071780,-31.9333
13modified,14,6,2127447033,-31.9333
13modified,14,6,2144013147,-31.9333
13modified,14,6,214401323,-31.9333
13modified,14,6,217911835,-31.9333
13modified,14,6,225624097,-31.9333
13modified,14,6,22924374,-31.9333
13modified,14,6,240543982,-31.9333
13modified,14,6,241084305,-31.9333
13modified,14,6,242841274,-31.9333
13modified,14,6,244816081,-31.9333
13modified,14,6,246887963,-31.9333
13modified,14,6,247446320,-31.9333
13modified,14,6,24904073,-31.9333
13modified,14,6,250200404,-31.9333
13modified,14,6,257677728,-31.9333
13modified,14,6,268468926,-31.9333
13modified,14,6,270401505,-31.9333
13modified,14,6,273504429,-31.9333
13modified,14,6,273762270,-31.9333
13modified,14,6,273909280,-31.9333
13modified,14,6,274369359,-31.9333
13modified,14,6,277022702,-31.9333
13modified,14,6,281758651,-31.9333
13modified,14,6,287585933,-31.9333
13modified,14,6,291400902,-31.9333
13modified,14,6,292794631,-31.9333
13modified,14,6,29446419,-31.9333
13modified,14,6,30129159,-31.9333
13modified,14,6,302174330,-31.9333
13modified,14,6,30428066,-31.9333
13modified,14,6,304659142,-31.9333
13modified,14,6,311864651,-31.9333
13modified,14,6,313527575,-31.9333
13modified,14,6,317816554,-31.9333
13modified,14,6,323120058,-31.9333
13modified,14,6,325288448,-31.9333
13modified,14,6,325474435,-31.9333
13modified,14,6,3315379,-31.9333
13modified,14,6,337198979,-31.9333
13modified,14,6,345424665,-31.9333
13modified,14,6,354460466,-31.9333
13modified,14,6,356830326,-31.9333
13modified,14,6,357235956,-31.9333
13modified,14,6,363398441,-31.9333
13modified,14,6,368692553,-31.9333
13modified,14,6,369135960,-31.9333
13modified,14,6,369794972,-31.9333
13modified,14,6,370806344,-31.9333
13modified,14,6,371741513,-31.9333
13modified,14,6,3734555,-31.9333
13modified,14,6,374073761,-31.9333
13modified,14,6,37482538,-31.9333
13modified,14,6,381975381,-31.9333
13modified,14,6,387228672,-31.9333
13modified,14,6,388860259,-31.9333
13modified,14,6,39143763,-31.9333
13modified,14,6,391819589,-31.9333
13modified,14,6,393867367,-31.9333
13modified,14,6,394630105,-31.9333
13modified,14,6,39579583,-31.9333
13modified,14,6,400625198,-31.9333
13modified,14,6,414808450,-31.9333
13modified,14,6,418032689,-31.9333
13modified,14,6,421512030,-31.9333
13modified,14,6,424341345,-31.9333
13modified,14,6,424487181,-31.9333
13modified,14,6,42458609,-31.9333
13modified,14,6,425825758,-31.9333
13modified,14,6,429719966,-31.9333
13modified,14,6,434579139,-31.9333
13modified,14,6,440735132,-31.9333
13modified,14,6,441325712,-31.9333
13modified,14,6,451530012,-31.9333
13modified,14,6,453876394,-31.9333
13modified,14,6,45468468,-31.9333
13modified,14,6,455801770,-31.9333
13modified,14,6,464737878,-31.9333
13modified,14,6,470386698,-31.9333
13modified,14,6,48015921,-31.9333
13modified,14,6,483862740,-31.9333
13modified,14,6,489690409,-31.9333
13modified,14,6,49040756,-31.9333
13modified,14,6,491045105,-31.9333
13modified,14,6,497019322,-31.9333
13modified,14,6,498455491,-31.9333
13modified,14,6,502696743,-31.9333
13modified,14,6,50444496,-31.9333
13modified,14,6,504902032,-31.9333
13modified,14,6,506414024,-31.9333
13modified,14,6,508221299,-31.9333
13modified,14,6,510878913,-31.9333
13modified,14,6,511313627,-31.9333
13modified,14,6,511867151,-31.9333
13modified,14,6,51357965,-31.9333
13modified,14,6,517335416,-31.9333
13modified,14,6,520238927,-31.9333
13modified,14,6,525459331,-31.9333
13modified,14,6,536948339,-31.9333
13modified,14,6,540080875,-31.9333
13modified,14,6,544473760,-31.9333
13modified,14,6,545119568,-31.9333
13modified,14,6,548562677,-31.9333
13modified,14,6,549901415,-31.9333
13modified,14,6,553833784,-31.9333
13modified,14,6,553905800,-31.9333
13modified,14,6,555221366,-31.9333
13modified,14,6,557662695,-31.9333
13modified,14,6,557768126,-31.9333
13modified,14,6,565011412,-31.9333
13modified,14,6,565945366,-31.9333
13modified,14,6,569705360,-31.9333
13modified,14,6,570096274,-31.9333
13modified,14,6,574329009,-31.9333
13modified,14,6,575560085,-31.9333
13modified,14,6,576137700,-31.9333
13modified,14,6,579827114,-31.9333
13modified,14,6,584311358,-31.9333
13modified,14,6,592777082,-31.9333
13modified,14,6,596677286,-31.9333
13modified,14,6,59669874,-31.9333
13modified,14,6,609166150,-31.9333
13modified,14,6,613663680,-31.9333
13modified,14,6,614943469,-31.9333
13modified,14,6,640212326,-31.9333
13modified,14,6,650762374,-31.9333
13modified,14,6,651895877,-31.9333
13modified,14,6,656596515,-31.9333
13modified,14,6,660002153,-31.9333
13modified,14,6,661117901,-31.9333
13modified,14,6,662622032,-31.9333
13modified,14,6,6761495,-31.9333
13modified,14,6,677915807,-31.9333
13modified,14,6,683388071,-31.9333
13modified,14,6,689168043,-31.9333
13modified,14,6,689570361,-31.9333
13modified,14,6,691384022,-31.9333
13modified,14,6,694120147,-31.9333
13modified,14,6,709460991,-31.9333
13modified,14,6,709925434,-31.9333
13modified,14,6,71160169,-31.9333
13modified,14,6,712188889,-31.9333
13modified,14,6,717987529,-31.9333
13modified,14,6,721314556,-31.9333
13modified,14,6,721589806,-31.9333
13modified,14,6,725632225,-31.9333
13modified,14,6,730181930,-31.9333
13modified,14,6,732950466,-31.9333
13modified,14,6,739520581,-31.9333
13modified,14,6,743324537,-31.9333
13modified,14,6,75020421,-31.9333
13modified,14,6,75350806,-31.9333
13modified,14,6,756679141,-31.9333
13modified,14,6,758916509,-31.9333
13modified,14,6,759882854,-31.9333
13modified,14,6,760857057,-31.9333
13modified,14,6,769253959,-31.9333
13modified,14,6,769619679,-31.9333
13modified,14,6,773104356,-31.9333
13modified,14,6,776760131,-31.9333
13modified,14,6,782680467,-31.9333
13modified,14,6,783209712,-31.9333
13modified,14,6,788586661,-31.9333
13modified,14,6,791193846,-31.9333
13modified,14,6,795904209,-31.9333
13modified,14,6,799953510,-31.9333
13modified,14,6,800496353,-31.9333
13modified,14,6,804424103,-31.9333
13modified,14,6,804834484,-31.9333
13modified,14,6,808508518,-31.9333
13modified,14,6,812809757,-31.9333
13modified,14,6,81387628,-31.9333
13modified,14,6,816011565,-31.9333
13modified,14,6,819996953,-31.9333
13modified,14,6,821777305,-31.9333
13modified,14,6,82719017,-31.9333
13modified,14,6,838638158,-31.9333
13modified,14,6,841377589,-31.9333
13modified,14,6,848374563,-31.9333
13modified,14,6,850237742,-31.9333
13modified,14,6,853308102,-31.9333
13modified,14,6,858724257,-31.9333
13modified,14,6,877208134,-31.9333
13modified,14,6,877309007,-31.9333
13modified,14,6,878851656,-31.9333
13modified,14,6,882245851,-31.9333
13modified,14,6,886015383,-31.9333
13modified,14,6,886636246,-31.9333
13modified,14,6,891746805,-31.9333
13modified,14,6,9000777,-31.9333
13modified,14,6,903568735,-31.9333
13modified,14,6,904491216,-31.9333
13modified,14,6,905455703,-31.9333
13modified,14,6,906709702,-31.9333
13modified,14,6,914627727,-31.9333
13modified,14,6,91513417,-31.9333
13modified,14,6,916693109,-31.9333
13modified,14,6,92055120,-31.9333
13modified,14,6,929509287,-31.9333
13modified,14,6,935475955,-31.9333
13modified,14,6,93799276,-31.9333
13modified,14,6,942350092,-31.9333
13modified,14,6,94283084,-31.9333
13modified,14,6,952585433,-31.9333
13modified,14,6,953333005,-31.9333
13modified,14,6,954242958,-31.9333
13modified,14,6,954272111,-31.9333
13modified,14,6,954301870,-31.9333
13modified,14,6,95724055,-31.9333
13modified,14,6,96291094,-31.9333
13modified,14,6,965841457,-31.9333
13modified,14,6,968925835,-31.9333
13modified,14,6,975487570,-31.9333
13modified,14,6,976279089,-31.9333
13modified,14,6,981421282,-31.9333
13modified,14,6,989639910,-31.9333
13modified,14,6,992129839,-31.9333
13modified,14,6,99541634,-31.9333
13modified,14,6,995429404,-31.9333
13modified,14,6,996435017,-31.9333
13modified,14,6,1001229926,-31.9333
13modified,14,6,1011965961,-31.9333
13modified,14,6,1012167746,-31.9333
13modified,14,6,1018630861,-31.9333
13modified,14,6,1020150396,-31.9333
13modified,14,6,1026085478,-31.9333
13modified,14,6,1035769591,-31.9333
13modified,14,6,1037554781,-31.9333
13modified,14,6,1038727240,-31.9333
13modified,14,6,1040809046,-31.9333
13modified,14,6,1042220742,-31.9333
13modified,14,6,1042649913,-31.9333
13modified,14,6,1044335460,-31.9333
13modified,14,6,1051182732,-31.9333
13modified,14,6,1053818476,-31.9333
13modified,14,6,1063639410,-31.9333
13modified,14,6,1068856203,-31.9333
13modified,14,6,1069632729,-31.9333
13modified,14,6,10774971,-31.9333
13modified,14,6,1079802845,-31.9333
13modified,14,6,1082892450,-31.9333
13modified,14,6,1092839678,-31.9333
13modified,14,6,1096439173,-31.9333
13modified,14,6,1096462682,-31.9333
13modified,14,6,1097786212,-31.9333
13modified,14,6,1106287081,-31.9333
13modified,14,6,1107332767,-31.9333
13modified,14,6,1114155033,-31.9333
13modified,14,6,111608068,-31.9333
13modified,14,6,1119867826,-31.9333
13modified,14,6,1129828703,-31.9333
13modified,14,6,1130454950,-31.9333
13modified,14,6,1133349639,-31.9333
13modified,14,6,1135046305,-31.9333
13modified,14,6,1136673452,-31.9333
13modified,14,6,1139519006,-31.9333
13modified,14,6,1142939550,-31.9333
13modified,14,6,1145291479,-31.9333
13modified,14,6,1146156514,-31.9333
13modified,14,6,1147550417,-31.9333
13modified,14,6,1149830807,-31.9333
13modified,14,6,1155891444,-31.9333
13modified,14,6,1159489341,-31.9333
13modified,14,6,1162872328,-31.9333
13modified,14,6,1167011987,-31.9333
13modified,14,6,1169792658,-31.9333
13modified,14,6,1178784374,-31.9333
13modified,14,6,1183797369,-31.9333
13modified,14,6,1184723724,-31.9333
13modified,14,6,1186176483,-31.9333
13modified,14,6,1192297262,-31.9333
13modified,14,6,1192677612,-31.9333
13modified,14,6,1193792032,-31.9333
13modified,14,6,1194985378,-31.9333
13modified,14,6,1199531675,-31.9333
13modified,14,6,1202129395,-31.9333
13modified,14,6,120821728,-31.9333
13modified,14,6,120954490,-31.9333
13modified,14,6,1209579793,-31.9333
13modified,14,6,122635625,-31.9333
13modified,14,6,1227577445,-31.9333
