level,M,N,seed,Leniency
13modified,4,4,100334696,-24.6429
13modified,4,4,1009229447,-24.4231
13modified,4,4,1010932164,-24.3235
13modified,4,4,1012869568,-31.9167
13modified,4,4,1018889751,-32.2500
13modified,4,4,1021967227,-26.8000
13modified,4,4,102280803,-19.1429
13modified,4,4,1024734536,-26.3667
13modified,4,4,1033033434,-31.5714
13modified,4,4,1035399153,-26.8750
13modified,4,4,1038671244,-24.6875
13modified,4,4,1041640248,-24.5500
13modified,4,4,1042768624,-33.8750
13modified,4,4,1055229966,-26.1667
13modified,4,4,1055293516,-27.0294
13modified,4,4,1055999818,-29.8333
13modified,4,4,1066819082,-28.3750
13modified,4,4,1069714731,-29.2647
13modified,4,4,1072641056,-30.2692
13modified,4,4,1072816653,-26.1500
13modified,4,4,1072824859,-28.2647
13modified,4,4,1087559589,-27.6333
13modified,4,4,10889602,-27.4444
13modified,4,4,1089481602,-27.1154
13modified,4,4,1090021741,-21.3750
13modified,4,4,1095229560,-27.5000
13modified,4,4,1119739660,-25.2333
13modified,4,4,1119913660,-31.5000
13modified,4,4,1121788155,-26.7778
13modified,4,4,1123957625,-30.6250
13modified,4,4,112714695,-39.6818
13modified,4,4,112803900,-29.6667
13modified,4,4,1131392376,-26.5000
13modified,4,4,113625682,-23.1000
13modified,4,4,1140268074,-25.2368
13modified,4,4,1147801063,-29.1429
13modified,4,4,1149310547,-28.7500
13modified,4,4,1149675945,-32.9167
13modified,4,4,1154482944,-25.7857
13modified,4,4,1159043200,-26.9667
13modified,4,4,116013539,-30.8000
13modified,4,4,1167164095,-27.0333
13modified,4,4,1170387944,-30.2333
13modified,4,4,1170753960,-34.6364
13modified,4,4,1171550889,-23.8182
13modified,4,4,1183217684,-29.5000
13modified,4,4,1186326919,-31.4412
13modified,4,4,119306034,-21.3667
13modified,4,4,1198305612,-29.5667
13modified,4,4,1200800358,-31.5667
13modified,4,4,1205388612,-26.0000
13modified,4,4,1208894535,-23.2222
13modified,4,4,121848537,-37.1000
13modified,4,4,1220846468,-20.9000
13modified,4,4,1222949588,-25.7632
13modified,4,4,1232002747,-25.1875
13modified,4,4,1235717330,-30.5000
13modified,4,4,1240105649,-28.2692
13modified,4,4,1245146245,-26.8000
13modified,4,4,1248990245,-29.4286
13modified,4,4,1252622799,-24.6111
13modified,4,4,1260255782,-28.3667
13modified,4,4,126537086,-23.1111
13modified,4,4,1266488720,-28.6818
13modified,4,4,1277614136,-36.5909
13modified,4,4,1278655297,-30.8684
13modified,4,4,1283508924,-32.1923
13modified,4,4,128849205,-34.6429
13modified,4,4,1294751766,-28.3125
13modified,4,4,1295604390,-29.1000
13modified,4,4,1296052736,-25.5588
13modified,4,4,1300485353,-27.5556
13modified,4,4,1306554616,-26.8333
13modified,4,4,1306616824,-28.7667
13modified,4,4,1308551323,-24.7667
13modified,4,4,1310460246,-25.3750
13modified,4,4,1317277335,-27.0333
13modified,4,4,1321452978,-25.5714
13modified,4,4,1327951166,-26.0294
13modified,4,4,1335075809,-28.6579
13modified,4,4,1336996873,-27.2222
13modified,4,4,1338927563,-26.9286
13modified,4,4,1343252007,-24.2500
13modified,4,4,1347620170,-29.8182
13modified,4,4,1348541570,-23.8125
13modified,4,4,1348689589,-29.9118
13modified,4,4,134871044,-25.3947
13modified,4,4,1354055929,-30.3667
13modified,4,4,1364734752,-27.9118
13modified,4,4,1367329043,-27.1429
13modified,4,4,1369758537,-27.4333
13modified,4,4,1370730297,-24.7105
13modified,4,4,1373215267,-26.1429
13modified,4,4,1373343923,-26.5556
13modified,4,4,1374036447,-26.3000
