level,M,N,seed,leniencyMetric
11,1,16,1007377500,-35.7571
11,1,16,100809929,-42.8667
11,1,16,1008910923,-27.3793
11,1,16,1009539057,-41.3529
11,1,16,1021367272,-54.8673
11,1,16,1021640706,-47.3958
11,1,16,1023422436,-34.8056
11,1,16,1024293374,-44.6585
11,1,16,1030181821,-53.9111
11,1,16,1031355879,-43.6389
11,1,16,1033424465,-32.2419
11,1,16,1034009232,-39.2222
11,1,16,1034327289,-34.6471
11,1,16,1036792222,-47.4324
11,1,16,1043077053,-48.3696
11,1,16,1044306931,-41.0000
11,1,16,1047769518,-38.8000
11,1,16,105300218,-38.4545
11,1,16,1053224620,-45.0500
11,1,16,1057741487,-39.0250
11,1,16,1060614365,-40.4487
11,1,16,1068294217,-22.8000
11,1,16,106938787,-42.9333
11,1,16,1069998148,-43.4118
11,1,16,1072076429,-44.5946
11,1,16,1073943930,-42.6279
11,1,16,1079141869,-45.1750
11,1,16,1085025411,-40.7000
11,1,16,1099905981,-49.7500
11,1,16,1101331502,-45.9722
11,1,16,1103029117,-45.3824
11,1,16,1107733190,-49.5444
11,1,16,1111492824,-51.2222
11,1,16,1111629349,-53.2619
11,1,16,1115377620,-45.6585
11,1,16,1123898083,-33.3056
11,1,16,1125676472,-41.5000
11,1,16,1126035392,-55.0204
11,1,16,1128252833,-44.5541
11,1,16,1129159094,-33.1897
11,1,16,1129562518,-36.8478
11,1,16,1129766833,-54.1591
11,1,16,1131059704,-34.2188
11,1,16,1137235189,-38.2564
11,1,16,113933278,-32.1207
11,1,16,1141002997,-39.6667
11,1,16,1143428209,-42.4250
11,1,16,1144006319,-48.4130
11,1,16,1146421746,-35.9688
11,1,16,1148518376,-39.2368
11,1,16,1149095865,-55.3958
11,1,16,1150003503,-47.6591
11,1,16,115004013,-42.3108
11,1,16,1155383755,-46.8256
11,1,16,115904951,-59.1739
11,1,16,1160648909,-37.0000
11,1,16,1169063424,-48.6279
11,1,16,117328224,-39.0938
11,1,16,1177145613,-43.5313
11,1,16,1182638688,-37.0789
11,1,16,1185915396,-51.4706
11,1,16,1187046171,-48.8261
11,1,16,118958320,-55.8980
11,1,16,1197460902,-52.1667
11,1,16,1208380380,-40.1765
11,1,16,1208508442,-47.2838
11,1,16,1213262791,-42.8824
11,1,16,1217339515,-57.1944
11,1,16,1220492224,-48.1047
11,1,16,1223773794,-52.9333
11,1,16,1226574802,-44.0286
11,1,16,1227166346,-29.1071
11,1,16,1228754751,-44.7308
11,1,16,1235328474,-25.2391
11,1,16,1238891230,-30.5370
11,1,16,1242720391,-33.4286
11,1,16,1248112851,-50.6216
11,1,16,1248132426,-51.7451
11,1,16,1249167093,-56.0000
11,1,16,1249799023,-40.4865
11,1,16,1252346218,-40.0714
11,1,16,1254747013,-39.0278
11,1,16,1254864609,-53.2813
11,1,16,1255078397,-31.9375
11,1,16,1259174031,-54.7368
11,1,16,1261677122,-41.3684
11,1,16,1263145343,-33.7667
11,1,16,1265574420,-41.2973
11,1,16,1270216659,-48.5385
11,1,16,1278571457,-53.7549
11,1,16,1287787653,-20.1053
11,1,16,1292221910,-42.0333
11,1,16,129307423,-45.5000
11,1,16,1296028400,-45.3077
11,1,16,1299731499,-35.1481
11,1,16,1302900343,-45.3444
11,1,16,1303123013,-40.7895
11,1,16,1309951381,-44.7391
11,1,16,1313468976,-40.7632
11,1,16,1313752568,-40.9000
11,1,16,1320330649,-40.7714
11,1,16,1320933345,-37.0161
11,1,16,1328938571,-37.6857
11,1,16,1330988942,-46.5256
11,1,16,1331119457,-31.2742
11,1,16,1333929536,-40.7222
11,1,16,1334811903,-37.5862
11,1,16,1336258484,-45.4211
11,1,16,1337243409,-51.3710
11,1,16,1339653327,-46.7286
11,1,16,1353263574,-35.5833
11,1,16,1356826028,-38.6250
11,1,16,135946683,-40.5294
11,1,16,1360220328,-46.9737
11,1,16,1362016060,-42.1591
11,1,16,1367498069,-36.5758
11,1,16,1369775064,-36.5000
11,1,16,1376417056,-53.4130
11,1,16,1381641077,-48.0222
11,1,16,1384477475,-50.9375
11,1,16,1386871433,-21.7609
11,1,16,139368356,-28.1613
11,1,16,1401529789,-47.1538
11,1,16,140474584,-52.7609
11,1,16,1405310601,-46.2051
11,1,16,1407214316,-46.5000
11,1,16,1409462045,-44.2742
11,1,16,1412004653,-36.7813
11,1,16,1418555901,-44.8919
11,1,16,1420080259,-44.0000
11,1,16,1424923630,-37.3235
11,1,16,1425742773,-51.8571
11,1,16,1431783111,-30.1667
11,1,16,143405309,-32.1515
11,1,16,1437907663,-35.8621
11,1,16,1437979903,-48.5417
11,1,16,1439151564,-39.9118
11,1,16,1440045591,-52.3148
11,1,16,1444242547,-38.3077
11,1,16,1445633822,-44.3056
11,1,16,1452709467,-50.3830
11,1,16,1475209292,-33.5357
11,1,16,1478964481,-46.4643
11,1,16,1479143001,-33.7121
11,1,16,14854998,-48.5789
11,1,16,1489019332,-37.2000
11,1,16,1489856218,-42.9524
11,1,16,1501778321,-52.4750
11,1,16,1508207732,-33.5625
11,1,16,1520604673,-46.3378
11,1,16,152779208,-50.3617
11,1,16,1534938552,-50.8810
11,1,16,1535376258,-50.6778
11,1,16,1549456656,-39.0789
11,1,16,1549961136,-42.0938
11,1,16,1551807000,-32.7500
11,1,16,15543339,-42.5000
11,1,16,1558772428,-46.2209
11,1,16,1559635794,-50.6190
11,1,16,1565039346,-39.7558
11,1,16,1570267046,-44.7297
11,1,16,1572523492,-48.4500
11,1,16,1579324334,-44.9459
11,1,16,1581250545,-34.0714
11,1,16,1584060779,-43.9865
11,1,16,1585467443,-54.9130
11,1,16,1586943993,-47.8200
11,1,16,1589966190,-45.1970
11,1,16,1605939414,-45.2750
11,1,16,1607725968,-44.5526
11,1,16,1612091084,-23.1000
11,1,16,161635302,-42.3889
11,1,16,1624536388,-45.6410
11,1,16,1628266276,-26.8462
11,1,16,1630418769,-42.9595
11,1,16,1642270789,-44.2436
11,1,16,1643686035,-50.2609
11,1,16,1651122529,-45.7222
11,1,16,1652880111,-49.6333
11,1,16,1655609216,-39.3125
11,1,16,1656941945,-33.0857
11,1,16,1672178381,-45.4324
11,1,16,167225676,-41.2121
11,1,16,1676090966,-59.6429
11,1,16,167723844,-46.7273
11,1,16,1677544767,-50.2660
11,1,16,168388048,-47.6064
11,1,16,1690995050,-44.3889
11,1,16,1696471973,-47.3214
11,1,16,1703074507,-49.3605
11,1,16,1704935680,-46.3919
11,1,16,1710321570,-44.0625
11,1,16,1712790962,-50.9474
11,1,16,172040929,-37.2500
11,1,16,1724186248,-41.3750
11,1,16,1726813123,-34.9200
11,1,16,173001703,-38.7647
11,1,16,1732171965,-39.2805
11,1,16,1739763174,-36.0806
11,1,16,1740529095,-44.8939
11,1,16,1744050922,-40.6842
11,1,16,1746864661,-44.1316
11,1,16,1747704250,-45.5227
11,1,16,1748371846,-49.0870
11,1,16,1759889347,-54.0909
11,1,16,1761640014,-40.7500
11,1,16,1761767949,-35.4857
11,1,16,1762983406,-46.2000
11,1,16,1764635379,-48.3750
11,1,16,1764878238,-43.5128
11,1,16,1773685207,-48.8158
11,1,16,1786674380,-38.3438
11,1,16,1788567117,-41.3043
11,1,16,1790557626,-38.2051
11,1,16,1792898838,-50.1098
11,1,16,179984335,-39.0556
11,1,16,1810874642,-47.4565
11,1,16,1812725973,-31.8000
11,1,16,1812821036,-42.4872
11,1,16,1819900257,-50.4000
11,1,16,1820425934,-56.4149
11,1,16,1820621480,-45.9091
11,1,16,1825347781,-44.0000
11,1,16,1830672546,-53.4902
11,1,16,1842930466,-43.0263
11,1,16,1845930416,-41.2632
11,1,16,1848108161,-39.6774
11,1,16,1859289069,-32.9242
11,1,16,1862562829,-47.7059
11,1,16,1862587163,-51.7000
11,1,16,186415925,-33.1061
11,1,16,1868675046,-39.1563
11,1,16,1878671377,-31.6429
11,1,16,1879014868,-30.3889
11,1,16,1881338339,-57.8429
11,1,16,1884493870,-38.9250
11,1,16,1891098065,-39.2714
11,1,16,1891948138,-43.8571
11,1,16,1892287947,-45.6286
11,1,16,1892619064,-51.0349
11,1,16,1893548815,-49.0476
11,1,16,1897046189,-30.8667
11,1,16,1899003859,-34.7500
11,1,16,1900779831,-37.4211
11,1,16,1906044921,-39.9839
11,1,16,1908524755,-42.9474
11,1,16,1911975,-48.2400
11,1,16,1912057305,-47.9773
11,1,16,1912177682,-37.3667
11,1,16,1913666063,-45.1571
11,1,16,1914780062,-37.3529
11,1,16,1919965806,-56.3585
11,1,16,1925741337,-48.2222
11,1,16,1928596662,-34.9571
11,1,16,1931732450,-50.3500
11,1,16,1933251343,-51.5952
11,1,16,1934465957,-36.2500
11,1,16,1940347215,-49.8659
11,1,16,1941457002,-36.9872
11,1,16,1941786083,-51.7931
11,1,16,1942291614,-44.7414
11,1,16,1943676249,-41.0526
11,1,16,1944846194,-49.3953
11,1,16,1949507961,-50.3415
11,1,16,1953553500,-47.1860
11,1,16,1957100986,-52.2821
11,1,16,1960294020,-41.8222
11,1,16,1962447589,-48.7949
11,1,16,1969107659,-37.7188
11,1,16,1973697731,-39.6176
11,1,16,1977094199,-35.4444
11,1,16,1981559499,-40.0323
11,1,16,1983368928,-49.0208
11,1,16,2008212551,-25.6613
11,1,16,2015060077,-52.7708
11,1,16,2026135613,-44.4286
11,1,16,2027688487,-42.6333
11,1,16,2028102868,-45.7368
11,1,16,2029425121,-46.1341
11,1,16,2030596836,-39.3214
11,1,16,2031597538,-43.6176
11,1,16,2040604205,-42.7241
11,1,16,2048118835,-39.6892
11,1,16,2054683846,-52.3974
11,1,16,2054971779,-47.4722
11,1,16,2062605270,-43.4750
11,1,16,2064095412,-34.9828
11,1,16,2070259378,-42.7143
11,1,16,2072854323,-55.4318
11,1,16,2076678475,-32.3485
11,1,16,2076971191,-44.1176
11,1,16,2084098176,-48.1316
11,1,16,2089732912,-54.0600
11,1,16,2091790728,-48.8611
11,1,16,2093836458,-40.0000
11,1,16,2097316020,-50.2000
11,1,16,2099325967,-42.9429
11,1,16,2103762104,-38.1765
11,1,16,2106127540,-42.5256
11,1,16,2107296324,-41.6129
11,1,16,2111592790,-48.8065
11,1,16,2113191176,-41.5333
11,1,16,2116548522,-50.9318
11,1,16,2119894021,-45.2895
11,1,16,2123381148,-42.5610
11,1,16,212409673,-57.2358
11,1,16,2140540004,-33.5333
11,1,16,214071154,-48.5769
11,1,16,2145793269,-38.7097
11,1,16,216029406,-44.3784
11,1,16,220264671,-30.8000
11,1,16,223231883,-48.5897
11,1,16,23328983,-52.5000
11,1,16,233785921,-29.3750
11,1,16,243091838,-41.2051
11,1,16,243366956,-39.4474
11,1,16,244809024,-47.1892
11,1,16,24769757,-34.4474
11,1,16,249383818,-50.1364
11,1,16,259434529,-43.3529
11,1,16,262089097,-41.3378
11,1,16,263737925,-45.3286
11,1,16,267116278,-39.3684
11,1,16,26762765,-40.6471
11,1,16,270299755,-41.5488
11,1,16,271066120,-41.5313
11,1,16,27131217,-36.5938
11,1,16,285697614,-35.8448
11,1,16,291211111,-49.7045
11,1,16,305899758,-53.0952
11,1,16,310208263,-47.4167
11,1,16,31320070,-51.0625
11,1,16,316766945,-37.9259
11,1,16,317479729,-40.6970
11,1,16,319352100,-55.1000
11,1,16,320147090,-39.1857
11,1,16,323296981,-37.4487
11,1,16,323967346,-48.9242
11,1,16,324896807,-43.9394
11,1,16,325046047,-46.5857
11,1,16,325083107,-33.7609
11,1,16,327994956,-47.8936
11,1,16,330542914,-38.0909
11,1,16,331807080,-49.8704
11,1,16,338953991,-33.7813
11,1,16,33938735,-48.1087
11,1,16,346593769,-52.8529
11,1,16,35889912,-30.1571
11,1,16,359467354,-56.4643
11,1,16,365300996,-44.5000
11,1,16,372767792,-46.3103
11,1,16,373080924,-49.5897
11,1,16,375985652,-44.7568
11,1,16,381400984,-39.1429
11,1,16,382888299,-54.0455
11,1,16,383661980,-47.6579
11,1,16,387137459,-33.0667
11,1,16,388592486,-46.3667
11,1,16,394639567,-52.4167
11,1,16,39494207,-40.9394
11,1,16,399674263,-50.3462
11,1,16,401568697,-46.3750
11,1,16,408099812,-39.7500
11,1,16,408660325,-47.4750
11,1,16,417821852,-44.2073
