level,M,N,seed,Leniency
all,1,16,1001641798,-83.7821
all,1,16,1004306364,-71.7042
all,1,16,1010978582,-83.7949
all,1,16,1022846210,-79.0185
all,1,16,1023722256,-63.4333
all,1,16,1033480057,-87.7078
all,1,16,1036474372,-81.5435
all,1,16,1037401273,-76.9123
all,1,16,1038218488,-85.1370
all,1,16,1038240813,-85.9861
all,1,16,1041135095,-76.2237
all,1,16,1052850471,-75.6690
all,1,16,1053293722,-89.3448
all,1,16,1059209602,-83.7662
all,1,16,1061751410,-81.9762
all,1,16,1062255042,-80.0759
all,1,16,1064032374,-74.5571
all,1,16,1064486697,-69.1780
all,1,16,106587538,-88.1408
all,1,16,1068183337,-82.4487
all,1,16,1082073250,-77.1705
all,1,16,1083026305,-75.9384
all,1,16,1093253708,-73.6967
all,1,16,1094988923,-77.3333
all,1,16,1096341932,-79.3000
all,1,16,1099891794,-71.7656
all,1,16,1108994755,-63.0303
all,1,16,1116182691,-85.6029
all,1,16,1121515410,-83.2614
all,1,16,112743658,-82.6647
all,1,16,1128081783,-72.4853
all,1,16,1130403943,-68.1176
all,1,16,1135500214,-91.5949
all,1,16,1138184120,-87.1076
all,1,16,1139765352,-69.1111
all,1,16,1142181782,-76.5130
all,1,16,1154008721,-63.2394
all,1,16,1157790512,-78.3291
all,1,16,1161547704,-67.5593
all,1,16,1164368824,-87.1235
all,1,16,1174427787,-84.7711
all,1,16,1174462524,-85.4143
all,1,16,1175519146,-79.2250
all,1,16,1182202028,-93.3916
all,1,16,1182440019,-74.3913
all,1,16,1201170237,-80.5946
all,1,16,1201565253,-87.8533
all,1,16,1211334439,-86.0062
all,1,16,1218616460,-83.2838
all,1,16,1218917431,-81.8243
all,1,16,1222143675,-87.5541
all,1,16,1223901321,-83.1184
all,1,16,1226275373,-72.2536
all,1,16,1226979448,-77.5139
all,1,16,1233913320,-81.6747
all,1,16,1237131333,-77.0263
all,1,16,1239558035,-86.2738
all,1,16,1244728759,-79.7105
all,1,16,1246105016,-78.0278
all,1,16,124711068,-77.4859
all,1,16,1250181728,-68.2549
all,1,16,1270720746,-69.5373
all,1,16,1288215810,-76.7714
all,1,16,1288751559,-72.6119
all,1,16,1292333361,-75.9474
all,1,16,1292918822,-77.5641
all,1,16,1293461712,-78.8692
all,1,16,1300823014,-75.4853
all,1,16,1304407919,-78.9848
all,1,16,1305376595,-89.7436
all,1,16,1310759371,-73.5588
all,1,16,1315379481,-79.7703
all,1,16,1315459146,-86.0897
all,1,16,1317062028,-84.2260
all,1,16,1317484954,-78.4508
all,1,16,1318180947,-85.8662
all,1,16,1318721770,-74.0645
all,1,16,1319364568,-70.6148
all,1,16,1320567837,-72.5303
all,1,16,1326000153,-78.6047
all,1,16,1336493410,-82.6333
all,1,16,1337026208,-60.5556
all,1,16,1341796865,-60.5167
all,1,16,1348972292,-89.8250
all,1,16,1351344834,-72.2899
all,1,16,1354571885,-82.5775
all,1,16,1355696803,-83.0385
all,1,16,1356823191,-86.6974
all,1,16,1360479120,-84.4315
all,1,16,1360595726,-83.1000
all,1,16,1367920983,-69.6290
all,1,16,1370452686,-74.8143
all,1,16,1371795951,-73.2887
all,1,16,137493304,-76.7208
all,1,16,1375056305,-75.8310
all,1,16,1380206301,-82.3095
all,1,16,138257890,-86.7656
all,1,16,1390070123,-82.9605
all,1,16,1397766369,-81.8333
all,1,16,1409932949,-64.8906
all,1,16,1410120414,-77.6377
all,1,16,1411552849,-71.9722
all,1,16,1411736710,-73.0563
all,1,16,1411740561,-75.9103
all,1,16,1412314167,-78.6875
all,1,16,1414909128,-78.5533
all,1,16,1415951383,-80.2963
all,1,16,1417221407,-78.8841
all,1,16,1417484602,-81.5000
all,1,16,1420211928,-67.2615
all,1,16,1423060993,-82.5286
all,1,16,1423682194,-87.3378
all,1,16,1424869980,-69.6754
all,1,16,142497295,-62.3594
all,1,16,1430247905,-79.1714
all,1,16,1431277483,-80.4267
all,1,16,1440176088,-77.9467
all,1,16,1444118058,-88.4805
all,1,16,1453438136,-67.5455
all,1,16,1457672976,-80.0135
all,1,16,1459827370,-62.8810
all,1,16,1460988487,-72.3836
all,1,16,1461249056,-73.4730
all,1,16,1480296753,-79.0580
all,1,16,1483337579,-74.3846
all,1,16,1486300823,-69.3361
all,1,16,1497824864,-85.1125
all,1,16,1504225597,-89.5000
all,1,16,1504822265,-69.6944
all,1,16,150604100,-82.7879
all,1,16,1507258094,-76.9643
all,1,16,1509632501,-70.1533
all,1,16,1512170075,-97.0529
all,1,16,1513047029,-71.9286
all,1,16,1518358220,-71.0714
all,1,16,1518938308,-79.1918
all,1,16,1523850398,-81.4167
all,1,16,152517913,-83.3797
all,1,16,1526915281,-80.6250
all,1,16,1529081495,-84.5141
all,1,16,1531151360,-68.9552
all,1,16,1533832136,-78.8500
all,1,16,1536985943,-83.4302
all,1,16,1540822946,-91.4211
all,1,16,1542757796,-79.1232
all,1,16,1544125195,-81.6928
all,1,16,1548060002,-64.3727
all,1,16,1550570586,-67.6667
all,1,16,1554121271,-77.9528
all,1,16,1554856959,-76.5125
all,1,16,1558458571,-66.9048
all,1,16,1558620065,-73.9459
all,1,16,1558744933,-65.8333
all,1,16,1560665819,-67.8472
all,1,16,1563161544,-76.2424
all,1,16,1566290996,-71.5000
all,1,16,1567196103,-75.7192
all,1,16,1570020736,-79.8108
all,1,16,1574474500,-75.6111
all,1,16,15748236,-73.7432
all,1,16,158096177,-63.0063
all,1,16,1588781947,-87.9487
all,1,16,1592441808,-71.8676
all,1,16,1603146689,-73.3896
all,1,16,1603190713,-69.2705
all,1,16,160467324,-97.2436
all,1,16,1607319672,-89.0897
all,1,16,1620304846,-82.1667
all,1,16,1626218762,-80.4444
all,1,16,1628223853,-95.9762
all,1,16,1628951581,-75.1538
all,1,16,1631665248,-87.3182
all,1,16,163283632,-64.6418
all,1,16,164235501,-86.0238
